time (sec),ch1,ch2
0,3.858477,-0.081709
0,3.793352,-0.080584
0.000001,3.706517,-0.080584
0.000001,3.641392,-0.081146
0.000002,3.576266,-0.080021
0.000002,3.532849,-0.077769
0.000002,3.446015,-0.076644
0.000003,3.380889,-0.077769
0.000003,3.337472,-0.07383
0.000004,3.250638,-0.073267
0.000004,3.185512,-0.069327
0.000004,3.142095,-0.068764
0.000005,3.07697,-0.069327
0.000005,3.033553,-0.070453
0.000006,2.946719,-0.064262
0.000006,2.903301,-0.063699
0.000006,2.838176,-0.062011
0.000007,2.794759,-0.062011
0.000007,2.751342,-0.060885
0.000008,2.707925,-0.056945
0.000008,2.664507,-0.057508
0.000008,2.577673,-0.058071
0.000009,2.534256,-0.058634
0.000009,2.490839,-0.055257
0.00001,2.447422,-0.053568
0.00001,2.404005,-0.054131
0.00001,2.360588,-0.056945
0.000011,2.295462,-0.054694
0.000011,2.273754,-0.051317
0.000012,2.208628,-0.049629
0.000012,2.18692,-0.050192
0.000012,2.143502,-0.047378
0.000013,2.100085,-0.04794
0.000013,2.056668,-0.046252
0.000014,2.03496,-0.044563
0.000014,1.969834,-0.044563
0.000014,1.948126,-0.042312
0.000015,1.904709,-0.042312
0.000015,1.861291,-0.041749
0.000016,1.839583,-0.041749
0.000016,1.796166,-0.041187
0.000016,1.752749,-0.038372
0.000017,1.73104,-0.038372
0.000017,1.709332,-0.038372
0.000018,1.687623,-0.039498
0.000018,1.644206,-0.038935
0.000018,1.600789,-0.037247
0.000019,1.557372,-0.034996
0.000019,1.557372,-0.036684
0.00002,1.513955,-0.035558
0.00002,1.470538,-0.034996
0.00002,1.470538,-0.032744
0.000021,1.405412,-0.030493
0.000021,1.405412,-0.031619
0.000022,1.383704,-0.032182
0.000022,1.340286,-0.032182
0.000022,1.318578,-0.029367
0.000023,1.318578,-0.029367
0.000023,1.253452,-0.035558
0.000024,1.253452,-0.031056
0.000024,1.231744,-0.025991
0.000024,1.188327,-0.028805
0.000025,1.166618,-0.024865
0.000025,1.14491,-0.027679
0.000026,1.14491,-0.025428
0.000026,1.123201,-0.024302
0.000026,1.079784,-0.024865
0.000027,1.058075,-0.025428
0.000027,1.036367,-0.024865
0.000028,1.036367,-0.025428
0.000028,0.99295,-0.023177
0.000028,0.99295,-0.024302
0.000029,0.971241,-0.024302
0.000029,0.949533,-0.025428
0.00003,0.927824,-0.022614
0.00003,0.906116,-0.025428
0.00003,0.884407,-0.020925
0.000031,0.884407,-0.019237
0.000031,0.84099,-0.018674
0.000032,0.84099,-0.019237
0.000032,0.84099,-0.019237
0.000032,0.819281,-0.019237
0.000033,0.797573,-0.020925
0.000033,0.775864,-0.019237
0.000034,0.775864,-0.0198
0.000034,0.754156,-0.018674
0.000034,0.732447,-0.01586
0.000035,0.710739,-0.016423
0.000035,0.710739,-0.016986
0.000036,0.710739,-0.016423
0.000036,0.68903,-0.016986
0.000036,0.645613,-0.016423
0.000037,0.645613,-0.015297
