Address:,USB0::0x0957::0x179B::MY54313430::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY54313430,,-0.0229125,-0.159497441723943,-0.0736281936988235,,-0.0229125,-0.08578124595806,
Firmware Version:,02.65.2021030741,,-0.02275,-0.159497441723943,-0.0736281936988235,,-0.02275,-0.08578124595806,
Start Time:,2022-02-06 14:36:34.095,,-0.0225875,-0.159497441723943,-0.0736281936988235,,-0.0225875,-0.08578124595806,
,,,-0.022425,-0.159497441723943,-0.0736281936988235,,-0.022425,-0.08578124595806,
,,,-0.0222625,-0.153718547429889,-0.0736281936988235,,-0.0222625,-0.0801562457345426,
,,,-0.0221,-0.159497441723943,-0.0692060831934214,,-0.0221,-0.0914062461815774,
,,,-0.0219375,-0.159497441723943,-0.0692060831934214,,-0.0219375,-0.0914062461815774,
,,,-0.021775,-0.159497441723943,-0.0692060831934214,,-0.021775,-0.0914062461815774,
,,,-0.0216125,-0.159497441723943,-0.0692060831934214,,-0.0216125,-0.0914062461815774,
,,,-0.02145,-0.159497441723943,-0.0736281936988235,,-0.02145,-0.08578124595806,
,,,-0.0212875,-0.159497441723943,-0.0692060831934214,,-0.0212875,-0.0914062461815774,
,,,-0.021125,-0.153718547429889,-0.0647839726880193,,-0.021125,-0.0899999961256981,
,,,-0.0209625,-0.153718547429889,-0.0692060831934214,,-0.0209625,-0.0843749959021807,
,,,-0.0208,-0.153718547429889,-0.0692060831934214,,-0.0208,-0.0843749959021807,
,,,-0.0206375,-0.153718547429889,-0.0692060831934214,,-0.0206375,-0.0843749959021807,
,,,-0.020475,-0.159497441723943,-0.0736281936988235,,-0.020475,-0.08578124595806,
,,,-0.0203125,-0.159497441723943,-0.0692060831934214,,-0.0203125,-0.0914062461815774,
,,,-0.02015,-0.159497441723943,-0.0736281936988235,,-0.02015,-0.08578124595806,
,,,-0.0199875,-0.153718547429889,-0.0692060831934214,,-0.0199875,-0.0843749959021807,
,,,-0.019825,-0.159497441723943,-0.0736281936988235,,-0.019825,-0.08578124595806,
,,,-0.0196625,-0.159497441723943,-0.0692060831934214,,-0.0196625,-0.0914062461815774,
,,,-0.0195,-0.153718547429889,-0.0692060831934214,,-0.0195,-0.0843749959021807,
,,,-0.0193375,-0.153718547429889,-0.0692060831934214,,-0.0193375,-0.0843749959021807,
,,,-0.019175,-0.153718547429889,-0.0692060831934214,,-0.019175,-0.0843749959021807,
,,,-0.0190125,-0.159497441723943,-0.0736281936988235,,-0.0190125,-0.08578124595806,
,,,-0.01885,-0.153718547429889,-0.0692060831934214,,-0.01885,-0.0843749959021807,
,,,-0.0186875,-0.153718547429889,-0.0736281936988235,,-0.0186875,-0.0801562457345426,
,,,-0.018525,-0.153718547429889,-0.0692060831934214,,-0.018525,-0.0843749959021807,
,,,-0.0183625,-0.153718547429889,-0.0692060831934214,,-0.0183625,-0.0843749959021807,
,,,-0.0182,-0.159497441723943,-0.0736281936988235,,-0.0182,-0.08578124595806,
,,,-0.0180375,-0.153718547429889,-0.0736281936988235,,-0.0180375,-0.0801562457345426,
,,,-0.017875,-0.147939653135836,-0.0692060831934214,,-0.017875,-0.0787499956786633,
,,,-0.0177125,-0.153718547429889,-0.0692060831934214,,-0.0177125,-0.0843749959021807,
,,,-0.01755,-0.153718547429889,-0.0692060831934214,,-0.01755,-0.0843749959021807,
,,,-0.0173875,-0.147939653135836,-0.0692060831934214,,-0.0173875,-0.0787499956786633,
,,,-0.017225,-0.153718547429889,-0.0736281936988235,,-0.017225,-0.0801562457345426,
,,,-0.0170625,-0.153718547429889,-0.0692060831934214,,-0.0170625,-0.0843749959021807,
,,,-0.0169,-0.153718547429889,-0.0692060831934214,,-0.0169,-0.0843749959021807,
,,,-0.0167375,-0.159497441723943,-0.0736281936988235,,-0.0167375,-0.08578124595806,
,,,-0.016575,-0.153718547429889,-0.0692060831934214,,-0.016575,-0.0843749959021807,
,,,-0.0164125,-0.153718547429889,-0.0692060831934214,,-0.0164125,-0.0843749959021807,
,,,-0.01625,-0.159497441723943,-0.0692060831934214,,-0.01625,-0.0914062461815774,
,,,-0.0160875,-0.153718547429889,-0.0736281936988235,,-0.0160875,-0.0801562457345426,
,,,-0.015925,-0.153718547429889,-0.0692060831934214,,-0.015925,-0.0843749959021807,
,,,-0.0157625,-0.153718547429889,-0.0692060831934214,,-0.0157625,-0.0843749959021807,
,,,-0.0156,-0.153718547429889,-0.0692060831934214,,-0.0156,-0.0843749959021807,
,,,-0.0154375,-0.153718547429889,-0.0736281936988235,,-0.0154375,-0.0801562457345426,
,,,-0.015275,-0.153718547429889,-0.0736281936988235,,-0.015275,-0.0801562457345426,
,,,-0.0151125,-0.153718547429889,-0.0692060831934214,,-0.0151125,-0.0843749959021807,
,,,-0.01495,-0.153718547429889,-0.0692060831934214,,-0.01495,-0.0843749959021807,
,,,-0.0147875,-0.153718547429889,-0.0736281936988235,,-0.0147875,-0.0801562457345426,
,,,-0.014625,-0.153718547429889,-0.0692060831934214,,-0.014625,-0.0843749959021807,
,,,-0.0144625,-0.147939653135836,-0.0692060831934214,,-0.0144625,-0.0787499956786633,
,,,-0.0143,-0.147939653135836,-0.0692060831934214,,-0.0143,-0.0787499956786633,
,,,-0.0141375,-0.147939653135836,-0.0692060831934214,,-0.0141375,-0.0787499956786633,
,,,-0.013975,-0.153718547429889,-0.0692060831934214,,-0.013975,-0.0843749959021807,
,,,-0.0138125,-0.159497441723943,-0.0692060831934214,,-0.0138125,-0.0914062461815774,
,,,-0.01365,-0.159497441723943,-0.0692060831934214,,-0.01365,-0.0914062461815774,
,,,-0.0134875,-0.153718547429889,-0.0692060831934214,,-0.0134875,-0.0843749959021807,
,,,-0.013325,-0.159497441723943,-0.0692060831934214,,-0.013325,-0.0914062461815774,
,,,-0.0131625,-0.153718547429889,-0.0692060831934214,,-0.0131625,-0.0843749959021807,
,,,-0.013,-0.159497441723943,-0.0736281936988235,,-0.013,-0.08578124595806,
,,,-0.0128375,-0.153718547429889,-0.0692060831934214,,-0.0128375,-0.0843749959021807,
,,,-0.012675,-0.153718547429889,-0.0692060831934214,,-0.012675,-0.0843749959021807,
,,,-0.0125125,-0.153718547429889,-0.0692060831934214,,-0.0125125,-0.0843749959021807,
,,,-0.01235,-0.159497441723943,-0.0692060831934214,,-0.01235,-0.0914062461815774,
,,,-0.0121875,-0.159497441723943,-0.0692060831934214,,-0.0121875,-0.0914062461815774,
,,,-0.012025,-0.153718547429889,-0.0692060831934214,,-0.012025,-0.0843749959021807,
,,,-0.0118625,-0.153718547429889,-0.0692060831934214,,-0.0118625,-0.0843749959021807,
,,,-0.0117,-0.153718547429889,-0.0692060831934214,,-0.0117,-0.0843749959021807,
,,,-0.0115375,-0.153718547429889,-0.0736281936988235,,-0.0115375,-0.0801562457345426,
,,,-0.011375,-0.153718547429889,-0.0692060831934214,,-0.011375,-0.0843749959021807,
,,,-0.0112125,-0.153718547429889,-0.0692060831934214,,-0.0112125,-0.0843749959021807,
,,,-0.01105,-0.153718547429889,-0.0736281936988235,,-0.01105,-0.0801562457345426,
,,,-0.0108875,-0.153718547429889,-0.0692060831934214,,-0.0108875,-0.0843749959021807,
,,,-0.010725,-0.153718547429889,-0.0736281936988235,,-0.010725,-0.0801562457345426,
,,,-0.0105625,-0.153718547429889,-0.0692060831934214,,-0.0105625,-0.0843749959021807,
,,,-0.0104,-0.153718547429889,-0.0692060831934214,,-0.0104,-0.0843749959021807,
,,,-0.0102375,-0.153718547429889,-0.0692060831934214,,-0.0102375,-0.0843749959021807,
,,,-0.010075,-0.153718547429889,-0.0692060831934214,,-0.010075,-0.0843749959021807,
,,,-0.0099125,-0.153718547429889,-0.0692060831934214,,-0.0099125,-0.0843749959021807,
,,,-0.00975,-0.153718547429889,-0.0692060831934214,,-0.00975,-0.0843749959021807,
,,,-0.0095875,-0.159497441723943,-0.0692060831934214,,-0.0095875,-0.0914062461815774,
,,,-0.009425,-0.153718547429889,-0.0692060831934214,,-0.009425,-0.0843749959021807,
,,,-0.0092625,-0.159497441723943,-0.0736281936988235,,-0.0092625,-0.08578124595806,
,,,-0.0091,-0.153718547429889,-0.0692060831934214,,-0.0091,-0.0843749959021807,
,,,-0.0089375,-0.153718547429889,-0.0692060831934214,,-0.0089375,-0.0843749959021807,
,,,-0.008775,-0.153718547429889,-0.0692060831934214,,-0.008775,-0.0843749959021807,
,,,-0.0086125,-0.159497441723943,-0.0736281936988235,,-0.0086125,-0.08578124595806,
,,,-0.00845,-0.159497441723943,-0.0692060831934214,,-0.00845,-0.0914062461815774,
,,,-0.0082875,-0.153718547429889,-0.0692060831934214,,-0.0082875,-0.0843749959021807,
,,,-0.008125,-0.159497441723943,-0.0692060831934214,,-0.008125,-0.0914062461815774,
,,,-0.0079625,-0.159497441723943,-0.0692060831934214,,-0.0079625,-0.0914062461815774,
,,,-0.0078,-0.153718547429889,-0.0692060831934214,,-0.0078,-0.0843749959021807,
,,,-0.0076375,-0.159497441723943,-0.0692060831934214,,-0.0076375,-0.0914062461815774,
,,,-0.007475,-0.153718547429889,-0.0692060831934214,,-0.007475,-0.0843749959021807,
,,,-0.0073125,-0.159497441723943,-0.0736281936988235,,-0.0073125,-0.08578124595806,
,,,-0.00715,-0.159497441723943,-0.0692060831934214,,-0.00715,-0.0914062461815774,
,,,-0.0069875,-0.159497441723943,-0.0692060831934214,,-0.0069875,-0.0914062461815774,
,,,-0.006825,-0.153718547429889,-0.0647839726880193,,-0.006825,-0.0899999961256981,
,,,-0.0066625,-0.153718547429889,-0.0692060831934214,,-0.0066625,-0.0843749959021807,
,,,-0.0065,-0.153718547429889,-0.0692060831934214,,-0.0065,-0.0843749959021807,
,,,-0.0063375,-0.159497441723943,-0.0692060831934214,,-0.0063375,-0.0914062461815774,
,,,-0.006175,-0.153718547429889,-0.0692060831934214,,-0.006175,-0.0843749959021807,
,,,-0.0060125,-0.159497441723943,-0.0692060831934214,,-0.0060125,-0.0914062461815774,
,,,-0.00585,-0.153718547429889,-0.0692060831934214,,-0.00585,-0.0843749959021807,
,,,-0.0056875,-0.153718547429889,-0.0692060831934214,,-0.0056875,-0.0843749959021807,
,,,-0.005525,-0.153718547429889,-0.0692060831934214,,-0.005525,-0.0843749959021807,
,,,-0.0053625,-0.153718547429889,-0.0692060831934214,,-0.0053625,-0.0843749959021807,
,,,-0.0052,-0.153718547429889,-0.0736281936988235,,-0.0052,-0.0801562457345426,
,,,-0.0050375,-0.153718547429889,-0.0692060831934214,,-0.0050375,-0.0843749959021807,
,,,-0.004875,-0.153718547429889,-0.0692060831934214,,-0.004875,-0.0843749959021807,
,,,-0.0047125,-0.153718547429889,-0.0692060831934214,,-0.0047125,-0.0843749959021807,
,,,-0.00455,-0.153718547429889,-0.0692060831934214,,-0.00455,-0.0843749959021807,
,,,-0.0043875,-0.153718547429889,-0.0692060831934214,,-0.0043875,-0.0843749959021807,
,,,-0.004225,-0.153718547429889,-0.0736281936988235,,-0.004225,-0.0801562457345426,
,,,-0.0040625,-0.153718547429889,-0.0692060831934214,,-0.0040625,-0.0843749959021807,
,,,-0.0039,-0.159497441723943,-0.0692060831934214,,-0.0039,-0.0914062461815774,
,,,-0.0037375,-0.153718547429889,-0.0692060831934214,,-0.0037375,-0.0843749959021807,
,,,-0.003575,-0.153718547429889,-0.0692060831934214,,-0.003575,-0.0843749959021807,
,,,-0.0034125,-0.153718547429889,-0.0692060831934214,,-0.0034125,-0.0843749959021807,
,,,-0.00325,-0.153718547429889,-0.0692060831934214,,-0.00325,-0.0843749959021807,
,,,-0.0030875,-0.153718547429889,-0.0692060831934214,,-0.0030875,-0.0843749959021807,
,,,-0.002925,-0.159497441723943,-0.0736281936988235,,-0.002925,-0.08578124595806,
,,,-0.0027625,-0.159497441723943,-0.0692060831934214,,-0.0027625,-0.0914062461815774,
,,,-0.0026,-0.153718547429889,-0.0692060831934214,,-0.0026,-0.0843749959021807,
,,,-0.0024375,-0.153718547429889,-0.0692060831934214,,-0.0024375,-0.0843749959021807,
,,,-0.002275,-0.153718547429889,-0.0692060831934214,,-0.002275,-0.0843749959021807,
,,,-0.0021125,-0.153718547429889,-0.0692060831934214,,-0.0021125,-0.0843749959021807,
,,,-0.00195,-0.153718547429889,-0.0692060831934214,,-0.00195,-0.0843749959021807,
,,,-0.0017875,-0.159497441723943,-0.0692060831934214,,-0.0017875,-0.0914062461815774,
,,,-0.001625,-0.159497441723943,-0.0692060831934214,,-0.001625,-0.0914062461815774,
,,,-0.0014625,-0.153718547429889,-0.0692060831934214,,-0.0014625,-0.0843749959021807,
,,,-0.0013,-0.153718547429889,-0.0692060831934214,,-0.0013,-0.0843749959021807,
,,,-0.0011375,-0.159497441723943,-0.0736281936988235,,-0.0011375,-0.08578124595806,
,,,-0.000975,-0.153718547429889,-0.0692060831934214,,-0.000975,-0.0843749959021807,
,,,-0.000812500000000001,-0.153718547429889,-0.0692060831934214,,-0.000812500000000001,-0.0843749959021807,
,,,-0.000650000000000001,-0.153718547429889,-0.0692060831934214,,-0.000650000000000001,-0.0843749959021807,
,,,-0.000487499999999998,-0.159497441723943,-0.0736281936988235,,-0.000487499999999998,-0.08578124595806,
,,,-0.000324999999999999,-0.159497441723943,-0.0736281936988235,,-0.000324999999999999,-0.08578124595806,
,,,-0.000162499999999999,-0.159497441723943,-0.0736281936988235,,-0.000162499999999999,-0.08578124595806,
,,,0,18.4716577623039,15.1074771713465,,0,3.363750141114,
,,,0.000162499999999999,16.6975372140296,12.5249646361917,,0.000162499999999999,4.17234392324463,
,,,0.000324999999999999,16.5992960110307,12.4055676525459,,0.000324999999999999,4.19343767408282,
,,,0.000487499999999998,16.5588437509723,12.3746128790081,,0.000487499999999998,4.18359392369166,
,,,0.000650000000000001,16.5357281737961,12.3480802159756,,0.000650000000000001,4.1878126738593,
,,,0.000812500000000001,16.524170385208,12.330391773954,,0.000812500000000001,4.19343767408282,
,,,0.000975,16.5183914909139,12.3215475529432,,0.000975,4.19625017419457,
,,,0.0011375,16.5183914909139,12.3215475529432,,0.0011375,4.19625017419457,
,,,0.0013,16.5183914909139,12.3215475529432,,0.0013,4.19625017419457,
,,,0.0014625,16.5126125966199,12.3171254424378,,0.0014625,4.1948439241387,
,,,0.001625,16.5126125966199,12.3171254424378,,0.001625,4.1948439241387,
,,,0.0017875,16.5126125966199,12.3127033319324,,0.0017875,4.19906267430633,
,,,0.00195,16.5126125966199,12.3127033319324,,0.00195,4.19906267430633,
,,,0.0021125,16.5126125966199,12.3127033319324,,0.0021125,4.19906267430633,
,,,0.002275,16.5126125966199,12.308281221427,,0.002275,4.20328142447397,
,,,0.0024375,16.5126125966199,12.308281221427,,0.0024375,4.20328142447397,
,,,0.0026,16.5126125966199,12.308281221427,,0.0026,4.20328142447397,
,,,0.0027625,16.5126125966199,12.3038591109216,,0.0027625,4.20890642469749,
,,,0.002925,16.5126125966199,12.3038591109216,,0.002925,4.20890642469749,
,,,0.0030875,16.5126125966199,12.3038591109216,,0.0030875,4.20890642469749,
,,,0.00325,16.5126125966199,12.2994370004162,,0.00325,4.21312517486513,
,,,0.0034125,16.5126125966199,12.2950148899108,,0.0034125,4.21734392503276,
,,,0.003575,16.5126125966199,12.2950148899108,,0.003575,4.21734392503276,
,,,0.0037375,16.5183914909139,12.2950148899108,,0.0037375,4.22296892525628,
,,,0.0039,16.5126125966199,12.2905927794054,,0.0039,4.2215626752004,
,,,0.0040625,16.5183914909139,12.2861706689,,0.0040625,4.23140642559156,
,,,0.004225,16.5183914909139,12.2861706689,,0.004225,4.23140642559156,
,,,0.0043875,16.5183914909139,12.2861706689,,0.0043875,4.23140642559156,
,,,0.00455,16.5183914909139,12.2861706689,,0.00455,4.23140642559156,
,,,0.0047125,16.5183914909139,12.2817485583946,,0.0047125,4.2356251757592,
,,,0.004875,16.5183914909139,12.2817485583946,,0.004875,4.2356251757592,
,,,0.0050375,16.5183914909139,12.2817485583946,,0.0050375,4.2356251757592,
,,,0.0052,16.5183914909139,12.2773264478892,,0.0052,4.23984392592683,
,,,0.0053625,16.524170385208,12.2729043373838,,0.0053625,4.25109392637387,
,,,0.005525,16.524170385208,12.2729043373838,,0.005525,4.25109392637387,
,,,0.0056875,16.524170385208,12.2729043373838,,0.0056875,4.25109392637387,
,,,0.00585,16.524170385208,12.2729043373838,,0.00585,4.25109392637387,
,,,0.0060125,16.524170385208,12.2684822268784,,0.0060125,4.25531267654151,
,,,0.006175,16.524170385208,12.264060116373,,0.006175,4.25953142670915,
,,,0.0063375,16.524170385208,12.264060116373,,0.0063375,4.25953142670915,
,,,0.0065,16.524170385208,12.264060116373,,0.0065,4.25953142670915,
,,,0.0066625,16.5183914909139,12.264060116373,,0.0066625,4.25390642648563,
,,,0.006825,16.524170385208,12.2596380058676,,0.006825,4.26375017687678,
,,,0.0069875,16.524170385208,12.2596380058676,,0.0069875,4.26375017687678,
,,,0.00715,16.524170385208,12.2596380058676,,0.00715,4.26375017687678,
,,,0.0073125,16.524170385208,12.2596380058676,,0.0073125,4.26375017687678,
,,,0.007475,16.524170385208,12.2552158953622,,0.007475,4.26796892704442,
,,,0.0076375,16.524170385208,12.2596380058676,,0.0076375,4.26375017687678,
,,,0.0078,16.529949279502,12.2552158953622,,0.0078,4.27359392726794,
,,,0.0079625,16.529949279502,12.2552158953622,,0.0079625,4.27359392726794,
,,,0.008125,16.524170385208,12.2552158953622,,0.008125,4.26796892704442,
,,,0.0082875,16.529949279502,12.2552158953622,,0.0082875,4.27359392726794,
,,,0.00845,16.524170385208,12.2507937848568,,0.00845,4.27218767721206,
,,,0.0086125,16.529949279502,12.2507937848568,,0.0086125,4.27921892749146,
,,,0.008775,16.529949279502,12.2507937848568,,0.008775,4.27921892749146,
,,,0.0089375,16.529949279502,12.2507937848568,,0.0089375,4.27921892749146,
,,,0.0091,16.529949279502,12.2507937848568,,0.0091,4.27921892749146,
,,,0.0092625,16.529949279502,12.2463716743514,,0.0092625,4.28343767765909,
,,,0.009425,16.529949279502,12.2463716743514,,0.009425,4.28343767765909,
,,,0.0095875,16.529949279502,12.2463716743514,,0.0095875,4.28343767765909,
,,,0.00975,16.529949279502,12.2463716743514,,0.00975,4.28343767765909,
,,,0.0099125,16.529949279502,12.2463716743514,,0.0099125,4.28343767765909,
,,,0.010075,16.529949279502,12.2463716743514,,0.010075,4.28343767765909,
,,,0.0102375,16.529949279502,12.2463716743514,,0.0102375,4.28343767765909,
,,,0.0104,16.5357281737961,12.241949563846,,0.0104,4.29328142805025,
,,,0.0105625,16.5357281737961,12.241949563846,,0.0105625,4.29328142805025,
,,,0.010725,16.529949279502,12.241949563846,,0.010725,4.28765642782673,
,,,0.0108875,16.529949279502,12.2375274533406,,0.0108875,4.29187517799437,
,,,0.01105,16.5357281737961,12.2375274533406,,0.01105,4.29750017821789,
,,,0.0112125,16.5357281737961,12.2375274533406,,0.0112125,4.29750017821789,
,,,0.011375,16.5357281737961,12.2375274533406,,0.011375,4.29750017821789,
,,,0.0115375,16.5357281737961,12.2375274533406,,0.0115375,4.29750017821789,
,,,0.0117,16.529949279502,12.2331053428352,,0.0117,4.29609392816201,
,,,0.0118625,16.5357281737961,12.2331053428352,,0.0118625,4.30171892838553,
,,,0.012025,16.5357281737961,12.2331053428352,,0.012025,4.30171892838553,
,,,0.0121875,16.5357281737961,12.2286832323298,,0.0121875,4.30593767855316,
,,,0.01235,16.5357281737961,12.2242611218244,,0.01235,4.31156267877668,
,,,0.0125125,16.5357281737961,12.2242611218244,,0.0125125,4.31156267877668,
,,,0.012675,16.5357281737961,12.219839011319,,0.012675,4.31578142894432,
,,,0.0128375,16.5357281737961,12.2154169008136,,0.0128375,4.32000017911196,
,,,0.013,16.5357281737961,12.2109947903082,,0.013,4.3242189292796,
,,,0.0131625,16.5357281737961,12.2154169008136,,0.0131625,4.32000017911196,
,,,0.013325,16.5357281737961,12.2109947903082,,0.013325,4.3242189292796,
,,,0.0134875,16.529949279502,12.2109947903082,,0.0134875,4.31859392905608,
,,,0.01365,16.5357281737961,12.2109947903082,,0.01365,4.3242189292796,
,,,0.0138125,16.529949279502,12.2065726798028,,0.0138125,4.32281267922372,
,,,0.013975,16.5357281737961,12.2021505692974,,0.013975,4.33265642961487,
,,,0.0141375,16.529949279502,12.2021505692974,,0.0141375,4.32703142939135,
,,,0.0143,16.529949279502,12.2021505692974,,0.0143,4.32703142939135,
,,,0.0144625,16.529949279502,12.197728458792,,0.0144625,4.33125017955899,
,,,0.014625,16.529949279502,12.197728458792,,0.014625,4.33125017955899,
,,,0.0147875,16.5357281737961,12.1933063482866,,0.0147875,4.34250018000603,
,,,0.01495,16.529949279502,12.1888842377812,,0.01495,4.34109392995015,
,,,0.0151125,16.5357281737961,12.1933063482866,,0.0151125,4.34250018000603,
,,,0.015275,16.5357281737961,12.1888842377812,,0.015275,4.34671893017367,
,,,0.0154375,16.5357281737961,12.1844621272758,,0.0154375,4.3509376803413,
,,,0.0156,16.529949279502,12.1888842377812,,0.0156,4.34109392995015,
,,,0.0157625,16.529949279502,12.1844621272758,,0.0157625,4.34531268011779,
,,,0.015925,16.5357281737961,12.1844621272758,,0.015925,4.3509376803413,
,,,0.0160875,16.5357281737961,12.1844621272758,,0.0160875,4.3509376803413,
,,,0.01625,16.529949279502,12.1800400167704,,0.01625,4.34953143028542,
,,,0.0164125,16.529949279502,12.1800400167704,,0.0164125,4.34953143028542,
,,,0.016575,16.529949279502,12.1800400167704,,0.016575,4.34953143028542,
,,,0.0167375,16.529949279502,12.1800400167704,,0.0167375,4.34953143028542,
,,,0.0169,16.529949279502,12.1800400167704,,0.0169,4.34953143028542,
,,,0.0170625,16.524170385208,12.1800400167704,,0.0170625,4.34390643006191,
,,,0.017225,16.529949279502,12.175617906265,,0.017225,4.35375018045306,
,,,0.0173875,16.529949279502,12.175617906265,,0.0173875,4.35375018045306,
,,,0.01755,16.529949279502,12.175617906265,,0.01755,4.35375018045306,
,,,0.0177125,16.529949279502,12.175617906265,,0.0177125,4.35375018045306,
,,,0.017875,16.529949279502,12.1711957957596,,0.017875,4.3579689306207,
,,,0.0180375,16.529949279502,12.1711957957596,,0.0180375,4.3579689306207,
,,,0.0182,16.529949279502,12.1711957957596,,0.0182,4.3579689306207,
,,,0.0183625,16.529949279502,12.1711957957596,,0.0183625,4.3579689306207,
,,,0.018525,16.529949279502,12.1711957957596,,0.018525,4.3579689306207,
,,,0.0186875,16.524170385208,12.1711957957596,,0.0186875,4.35234393039718,
,,,0.01885,16.529949279502,12.1711957957596,,0.01885,4.3579689306207,
,,,0.0190125,16.524170385208,12.1667736852542,,0.0190125,4.35656268056482,
,,,0.019175,16.529949279502,12.1667736852542,,0.019175,4.36218768078834,
,,,0.0193375,16.529949279502,12.1623515747488,,0.0193375,4.36640643095598,
,,,0.0195,16.524170385208,12.1623515747488,,0.0195,4.36078143073246,
,,,0.0196625,16.529949279502,12.1623515747488,,0.0196625,4.36640643095598,
,,,0.019825,16.529949279502,12.1579294642434,,0.019825,4.37203143117949,
,,,0.0199875,16.524170385208,12.1579294642434,,0.0199875,4.36640643095598,
,,,0.02015,16.524170385208,12.153507353738,,0.02015,4.37062518112361,
,,,0.0203125,16.529949279502,12.153507353738,,0.0203125,4.37625018134713,
,,,0.020475,16.524170385208,12.1490852432325,,0.020475,4.37484393129125,
,,,0.0206375,16.524170385208,12.1490852432325,,0.0206375,4.37484393129125,
,,,0.0208,16.524170385208,12.1490852432325,,0.0208,4.37484393129125,
,,,0.0209625,16.524170385208,12.1446631327271,,0.0209625,4.37906268145889,
,,,0.021125,16.524170385208,12.1446631327271,,0.021125,4.37906268145889,
,,,0.0212875,16.524170385208,12.1402410222217,,0.0212875,4.38328143162653,
,,,0.02145,16.5183914909139,12.1402410222217,,0.02145,4.37765643140301,
,,,0.0216125,16.524170385208,12.1313968012109,,0.0216125,4.3917189319618,
,,,0.021775,16.5183914909139,12.1313968012109,,0.021775,4.38609393173829,
,,,0.0219375,16.5183914909139,12.1269746907055,,0.0219375,4.39031268190593,
,,,0.0221,16.5183914909139,12.1269746907055,,0.0221,4.39031268190593,
