Current [A],Voltage [V],Amplitude(X),Amplitude(Y),Phase(XY),Avg(X) = I_0,Amp(Y)/Amp(X)
0.378,9.30,13.3,38,1,313.21,2.857
0.388,9.56,13.3,44,1,321.63,3.308
0.398,9.78,13.1,60,1,329.81,4.580
0.410,10.04,13.3,92,1,337.79,6.917
0.418,10.27,13.3,144,1,346.11,10.827
0.428,10.5,13.3,233.5,1,353.83,17.556
0.438,10.75,13.6,379.9,1,362.51,27.934
0.440,10.8,13.6,406,1,363.97,29.853
0.441,10.85,13.6,434.2,1,365.77,31.926
0.442,10.87,13.8,444.2,1,366.66,32.188
0.443,10.89,13.6,452.3,1,367.38,33.257
0.444,10.92,13.8,458.3,1,368.13,33.210
0.445,10.94,13.8,462.3,1,368.8,33.500
0.446,10.97,13.6,464.3,1,370.09,34.140
0.448,10.99,13.8,460.3,1,370.77,33.355
0.450,11.06,13.6,432.2,1,373.04,31.779
0.457,11.22,13.3,245.9,1,379.99,18.489
0.462,11.31,13.1,142,1,381.68,10.840
0.462,11.36,13.1,174.8,-1,383.09,-13.344
0.466,11.46,13.1,285.4,-1,386.5,-21.786
0.47,11.53,12.8,402,-1,389.15,-31.406
0.477,11.70,12.8,470.4,-1,395.31,-36.750
0.483,11.86,12.8,402,-1,400.23,-31.406
0.487,11.94,13.1,341.7,-1,403.21,-26.084
0.493,12.1,12.8,249.5,-1,408.45,-19.492
0.499,12.20,13.1,192.4,-1,412.21,-14.687
0.508,12.45,14.1,130.7,-1,420.06,-9.270
