Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127617,,-0.025,-0.347236136964057,0.0471985053736717,
Firmware Version:,02.50.2019022736,,-0.0249479166675,-0.346733624464832,0.0506155907642096,
Start Time:,2023-04-20 15:19:23.471,,-0.024895833335,-0.346231111965608,0.0386557918973267,
,,,-0.0248437500025,-0.346231111965608,0.0352387065067887,
Analog Sample Count:,960,,-0.02479166667,-0.345728599466383,0.0326758924638852,
Function Sample Count:,0,,-0.0247395833375,-0.344723574467935,0.0181532795540988,
Waveform Memory Sample Count:,0,,-0.024687500005,-0.344723574467935,0.0181532795540988,
Digital Sample Count:,0,,-0.0246354166725,-0.34422106196871,0.0155904655111954,
,,,-0.02458333334,-0.343216036970261,0.0130276514682919,
Setup Text Information:,,,-0.0245312500075,-0.342713524471037,0.0164447368588299,
ANALOG,,,-0.024479166675,-0.342211011971813,0.00448493799194694,
Channel 1,,,-0.0244270833425,-0.341205986973364,0.0096105660777539,
Scale,200 mV/,,-0.02437500001,-0.34070347447414,0.00704775203485042,
Pos,0 V,,-0.0243229166775,-0.340200961974915,-0.0151633030036464,
Coup,,,-0.024270833345,-0.339698449475691,-0.00149496144149452,
BW,Off,,-0.0242187500125,-0.338693424477242,-0.00405777548439801,
Inv,Off,,-0.02416666668,-0.338190911978018,-0.010891946265474,
Imp,1M Ohm,,-0.0241145833475,-0.337688399478793,-0.0194346597418189,
Trace Label,1,,-0.024062500015,-0.337185886979569,-0.0194346597418189,
Probe,1,,-0.0240104166825,-0.33618086198112,-0.0331030013039708,
Skew,0 s,,-0.02395833335,-0.335678349481896,-0.0168718456989154,
,,,-0.0239062500175,-0.334673324483447,-0.0245602878276259,
Channel 2,,,-0.023854166685,-0.334170811984222,-0.0279773732181638,
Scale,340 mV/,,-0.0238020833525,-0.333165786985774,-0.0348115439992398,
Pos,807.5 mV,,-0.02375000002,-0.332160761987325,-0.0365200866945088,
Coup,,,-0.0236979166875,-0.3316582494881,-0.0373743580421433,
BW,Off,,-0.023645833355,-0.330653224489652,-0.0313944586087018,
Inv,Off,,-0.0235937500225,-0.330150711990427,-0.0339572726516053,
Imp,1M Ohm,,-0.02354166669,-0.329145686991978,-0.0382286293897778,
Trace Label,2,,-0.0234895833575,-0.32814066199353,-0.0382286293897778,
Probe,1,,-0.023437500025,-0.327638149494305,-0.0442085288232192,
Skew,0 s,,-0.0233854166925,-0.326633124495856,-0.0442085288232192,
