Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127617,,-0.025,-0.557286361639854,-0.0561683276901022,
Firmware Version:,02.50.2019022736,,-0.0249479166675,-0.556281336641405,-0.0570225990377367,
Start Time:,2023-04-20 15:22:26.073,,-0.024895833335,-0.555276311642956,-0.0536055136471987,
,,,-0.0248437500025,-0.553768774145283,-0.0612939557759091,
Analog Sample Count:,960,,-0.02479166667,-0.552763749146834,-0.0331030013039708,
Function Sample Count:,0,,-0.0247395833375,-0.551256211649161,-0.0450628001708537,
Waveform Memory Sample Count:,0,,-0.024687500005,-0.549748674151488,-0.0459170715184882,
Digital Sample Count:,0,,-0.0246354166725,-0.548241136653814,-0.0484798855613917,
,,,-0.02458333334,-0.546733599156141,-0.0433542574755847,
Setup Text Information:,,,-0.0245312500075,-0.545226061658468,-0.0510426996042952,
ANALOG,,,-0.024479166675,-0.543216011661571,-0.0262688305228949,
Channel 1,,,-0.0244270833425,-0.541708474163897,-0.0416457147803158,
Scale,200 mV/,,-0.02437500001,-0.540200936666224,-0.0382286293897778,
Pos,0 V,,-0.0243229166775,-0.538693399168551,-0.0365200866945088,
Coup,,,-0.024270833345,-0.536683349171653,-0.0433542574755847,
BW,Off,,-0.0242187500125,-0.53517581167398,-0.0365200866945088,
Inv,Off,,-0.02416666668,-0.533165761677083,-0.0442085288232192,
Imp,1M Ohm,,-0.0241145833475,-0.531155711680185,-0.0339572726516053,
Trace Label,1,,-0.024062500015,-0.529648174182512,-0.0390829007374123,
Probe,1,,-0.0240104166825,-0.527638124185614,-0.0322487299563363,
Skew,0 s,,-0.02395833335,-0.525628074188717,-0.0237060164799914,
,,,-0.0239062500175,-0.524120536691044,-0.0322487299563363,
Channel 2,,,-0.023854166685,-0.52261299919337,-0.0313944586087018,
Scale,340 mV/,,-0.0238020833525,-0.520602949196473,-0.0245602878276259,
Pos,807.5 mV,,-0.02375000002,-0.518592899199575,-0.0348115439992398,
Coup,,,-0.0236979166875,-0.516582849202678,-0.0245602878276259,
BW,Off,,-0.023645833355,-0.51457279920578,-0.0331030013039708,
Inv,Off,,-0.0235937500225,-0.512562749208882,-0.0202889310894534,
Imp,1M Ohm,,-0.02354166669,-0.510552699211985,-0.0271231018705294,
Trace Label,2,,-0.0234895833575,-0.508542649215087,-0.0271231018705294,
Probe,1,,-0.023437500025,-0.50653259921819,-0.0134547603083774,
Skew,0 s,,-0.0233854166925,-0.504522549221292,-0.0313944586087018,
,,,-0.02333333336,-0.502512499224395,-0.0177261170465499,
MATH,,,-0.0232812500275,-0.500502449227497,-0.0185803883941844,
REFERENCE WAVEFORM,,,-0.023229166695,-0.497989886731375,-0.0194346597418189,
TRIGGER,,,-0.0231770833625,-0.495979836734477,-0.0151633030036464,
Sweep Mode,AUTO,,-0.02312500003,-0.492964761739131,-0.0160175743512809,
Coup,DC,,-0.0230729166975,-0.490452199243009,-0.0288316445657983,
Noise Rej,Off,,-0.023020833365,-0.486934611748438,-0.00747486087493598,
HF Rej,Off,,-0.0229687500325,-0.483417024253868,-0.0168718456989154,
Holdoff,40.0 ns,,-0.0229166667,-0.479899436759297,-0.0177261170465499,
Mode,EDGE,,-0.0228645833675,-0.475879336765502,-0.0117462176131085,
Source,CHAN1,,-0.022812500035,-0.471356724272482,-0.0049120468320325,
Slope,POS,,-0.0227604167025,-0.467336624278687,0.00875629473011941,
Level,-8.23 mV V,,-0.02270833337,-0.462311499286443,0.00106785260140896,
,,,-0.0226562500375,-0.45628134929575,0.0121733801206574,
HORIZONTAL,,,-0.022604166705,-0.449748686805833,0.0249874503351748,
Mode,MAIN,,-0.0225520833725,-0.443216024315916,0.0292588070733473,
Ref,CENT,,-0.02250000004,-0.436180849326774,0.0583040328929201,
Main Scale,5 ms/,,-0.0224479167075,-0.429145674337633,0.0899120727553964,
Main Delay,0 s,,-0.022395833375,-0.421607986849267,0.131771368789487,
,,,-0.0223437500425,-0.41507532435935,0.212072875467129,
ACQUISITION,,,-0.02229166671,-0.408040149370208,0.361570361303166,
Mode,HRES,,-0.0222395833775,-0.399497436883394,0.571721112821251,
RealTime,On,,-0.022187500045,-0.391959749395028,0.881821612012573,
Vectors,On,,-0.0221354167125,-0.383919549407437,1.03046482650097,
Persistence,Off,,-0.02208333338,-0.374874324421398,0.766494980081916,
,,,-0.0220312500475,-0.366834124433808,0.376092974212952,
MEASUREMENTS,,,-0.021979166715,-0.357788899447769,0.107851771055721,
Maximum(1),,,-0.0219270833825,-0.34874367446173,-0.0476256142137572,
Cur,0.555 V,,-0.02187500005,-0.339698449475691,-0.139032648410648,
,,,-0.0218229167175,-0.330653224489652,-0.180891944444738,
Minimum(1),,,-0.021770833385,-0.322613024502061,-0.21164571295958,
Cur,-0.559 V,,-0.0217187500525,-0.313567799516022,-0.220188426435925,
,,,-0.02166666672,-0.304522574529983,-0.22104269778356,
,,,-0.0216145833875,-0.295477349543944,-0.218479883740656,
,,,-0.021562500055,-0.286934637057129,-0.171494959620759,
,,,-0.0215104167225,-0.277386899571866,-0.209937170264311,
,,,-0.02145833339,-0.268341674585827,-0.206520084873773,
,,,-0.0214062500575,-0.259296449599788,-0.195414557354525,
,,,-0.021354166725,-0.250753737112973,-0.189434657921083,
,,,-0.0213020833925,-0.241708512126934,-0.190288929268718,
,,,-0.02125000006,-0.23216077464167,-0.170640688273124,
,,,-0.0211979167275,-0.223115549655631,-0.163806517492048,
,,,-0.021145833395,-0.213567812170368,-0.168077874230221,
,,,-0.0210937500625,-0.204522587184329,-0.142449733801186,
,,,-0.02104166673,-0.195477362198289,-0.161243703449145,
,,,-0.0209895833975,-0.18643213721225,-0.150992447277531,
,,,-0.020937500065,-0.177386912226211,-0.141595462453552,
,,,-0.0208854167325,-0.169346712238621,-0.150992447277531,
,,,-0.0208333334,-0.160803999751806,-0.123655764153227,
,,,-0.0207812500675,-0.151758774765767,-0.109987422591075,
,,,-0.020729166735,-0.143216062278952,-0.109987422591075,
,,,-0.0206770834025,-0.134673349792138,-0.100590437767096,
,,,-0.02062500007,-0.126130637305323,-0.0946105383336544,
,,,-0.0205729167375,-0.117587924818508,-0.115967322024517,
,,,-0.020520833405,-0.108542699832469,-0.0980276237241924,
,,,-0.0204687500725,-0.100502499844879,-0.0877763675525784,
,,,-0.02041666674,-0.0924622998572886,-0.0843592821620405,
,,,-0.0203645834075,-0.0839195873704739,-0.0809421967715025,
,,,-0.020312500075,-0.0753768748836592,-0.078379382728599,
,,,-0.0202604167425,-0.0668341623968445,-0.083505010814406,
,,,-0.02020833341,-0.0577889374108054,-0.0561683276901022,
,,,-0.0201562500775,-0.0497487374232151,-0.0706909405998886,
,,,-0.020104166745,-0.040703512437176,-0.0723994832951576,
,,,-0.0200520834125,-0.0326633124495856,-0.0587311417330056,
,,,-0.02000000008,-0.0246231124619953,-0.0715452119475231,
,,,-0.0199479167475,-0.0160803999751806,-0.0681281265569851,
,,,-0.019895833415,-0.00653266248991713,-0.0664195838617161,
,,,-0.0198437500825,0.00251256249612197,-0.0536055136471987,
,,,-0.01979166675,0.0115577874821611,-0.0536055136471987,
,,,-0.0197395834175,0.0206030124682002,-0.0450628001708537,
,,,-0.019687500085,0.0296482374542393,-0.0527512422995642,
,,,-0.0196354167525,0.0391959749395028,-0.0476256142137572,
,,,-0.01958333342,0.0487437124247663,-0.0595854130806401,
,,,-0.0195312500875,0.0577889374108054,-0.0604396844282746,
,,,-0.019479166755,0.0673366748960689,-0.0467713428661227,
,,,-0.0194270834225,0.0773869248805568,-0.0365200866945088,
,,,-0.01937500009,0.0864321498665959,-0.0416457147803158,
,,,-0.0193229167575,0.0959798873518594,-0.0348115439992398,
,,,-0.019270833425,0.105025112337898,-0.0518969709519297,
,,,-0.0192187500925,0.114572849823162,-0.0382286293897778,
,,,-0.01916666676,0.124120587308425,-0.0382286293897778,
,,,-0.0191145834275,0.133668324793689,-0.0271231018705294,
,,,-0.019062500095,0.142211037280504,-0.0288316445657983,
,,,-0.0190104167625,0.150753749767318,-0.0390829007374123,
,,,-0.01895833343,0.159798974753357,-0.0331030013039708,
,,,-0.0189062500975,0.168341687240172,-0.0185803883941844,
,,,-0.018854166765,0.176884399726987,-0.0313944586087018,
,,,-0.0188020834325,0.185427112213802,-0.0219974737847224,
,,,-0.0187500001,0.193969824700616,-0.0262688305228949,
,,,-0.0186979167675,0.202010024688207,-0.0211432024370879,
,,,-0.018645833435,0.210552737175021,-0.0288316445657983,
,,,-0.0185937501025,0.218592937162612,-0.0254145591752604,
,,,-0.01854166677,0.226633137150202,-0.0117462176131085,
,,,-0.0184895834375,0.234673337137792,-0.0151633030036464,
,,,-0.018437500105,0.243216049624607,-0.012600488960743,
,,,-0.0183854167725,0.250251224613748,-0.0168718456989154,
,,,-0.01833333344,0.258291424601339,-0.00405777548439801,
,,,-0.0182812501075,0.265829112089705,-0.00747486087493598,
,,,-0.018229166775,0.273366799578071,-0.00918340357020497,
,,,-0.0181770834425,0.281406999565661,0.00192212394904345,
,,,-0.01812500011,0.288442174554802,0.00704775203485042,
,,,-0.0180729167775,0.295979862043168,0.0138819228159264,
,,,-0.018020833445,0.303517549531534,0.00704775203485042,
,,,-0.0179687501125,0.3110552370199,0.0284045357257128,
,,,-0.01791666678,0.318090412009042,0.0378015205496922,
,,,-0.0178645834475,0.325125586998183,0.0463442340260372,
,,,-0.017812500115,0.332160761987325,0.0514698621118441,
,,,-0.0177604167825,0.339195936976466,0.0967462435364723,
,,,-0.01770833345,0.346733624464832,0.130062826094218,
,,,-0.0176562501175,0.353768799453974,0.188153277733363,
,,,-0.017604166785,0.360803974443115,0.270163327106275,
,,,-0.0175520834525,0.367839149432257,0.417097998899408,
,,,-0.01750000012,0.374371811922174,0.638354277936742,
,,,-0.0174479167875,0.380904474412091,0.933077892870642,
,,,-0.017395833455,0.387939649401233,1.04071608267259,
,,,-0.0173437501225,0.39447231189115,0.861319099669345,
,,,-0.01729166679,0.401004974381067,0.511922118486837,
,,,-0.0172395834575,0.407537636870984,0.223178402986377,
,,,-0.017187500125,0.414070299360901,0.0395100632449612,
