Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127617,,-0.05,0.51296479254961,-0.000282673165202141,
Firmware Version:,02.50.2019022736,,-0.0498992,0.49688439257443,0.0399183314293623,
Start Time:,2023-04-20 16:32:01.712,,-0.0497984,0.488844192586839,-0.0404836777597666,
,,,-0.0496976,0.472763792611659,0.0801193360239267,
Analog Sample Count:,992,,-0.0495968,0.464723592624068,0.0801193360239267,
Function Sample Count:,0,,-0.049496,0.448643192648888,-0.0404836777597666,
Waveform Memory Sample Count:,0,,-0.0493952,0.432562792673707,0.160521345213056,
Digital Sample Count:,0,,-0.0492944,0.424522592686117,-0.0404836777597666,
,,,-0.0491936,0.408442192710936,0.160521345213056,
Setup Text Information:,,,-0.0490928,0.392361792735755,0.441928377375007,
ANALOG,,,-0.048992,0.376281392760575,1.04494344629347,
Channel 1,,,-0.0488912,0.360200992785394,0.683134404942393,
Scale,200 mV/,,-0.0487904,0.352160792797804,0.120320340618491,
Pos,320 mV,,-0.0486896,0.328040192835033,-0.0605841800570488,
Coup,,,-0.0485888,0.311959792859852,-0.16108669154346,
BW,Off,,-0.048488,0.303919592872262,-0.201287696138024,
Inv,Off,,-0.0483872,0.287839192897081,-0.181187193840742,
Imp,1M Ohm,,-0.0482864,0.279798992909491,-0.16108669154346,
Trace Label,1,,-0.0481856,0.26371859293431,-0.120885686948895,
Probe,1,,-0.0480848,0.25567839294672,-0.120885686948895,
Skew,0 s,,-0.047984,0.239597992971539,-0.120885686948895,
,,,-0.0478832,0.231557792983949,-0.100785184651613,
Channel 2,,,-0.0477824,0.215477393008769,-0.100785184651613,
Scale,500 mV/,,-0.0476816,0.199396993033588,-0.0404836777597666,
Pos,1.30625 V,,-0.0475808,0.191356793045998,-0.0404836777597666,
Coup,,,-0.04748,0.183316593058407,-0.120885686948895,
BW,Off,,-0.0473792,0.159195993095636,-0.140986189246178,
Inv,Off,,-0.0472784,0.151155793108046,-0.0203831754624844,
Imp,1M Ohm,,-0.0471776,0.143115593120456,-0.120885686948895,
Trace Label,2,,-0.0470768,0.127035193145275,-0.120885686948895,
Probe,1,,-0.046976,0.118994993157685,-0.080684682354331,
Skew,0 s,,-0.0468752,0.102914593182504,-0.080684682354331,
,,,-0.0467744,0.0948743931949139,-0.080684682354331,
MATH,,,-0.0466736,0.0868341932073236,-0.0404836777597666,
REFERENCE WAVEFORM,,,-0.0465728,0.0627135932445526,-0.000282673165202141,
TRIGGER,,,-0.046472,0.0707537932321429,-0.0605841800570488,
Sweep Mode,AUTO,,-0.0463712,0.0546733932569623,-0.0605841800570488,
Coup,DC,,-0.0462704,0.046633193269372,-0.0203831754624844,
Noise Rej,Off,,-0.0461696,0.0305527932941914,-0.0605841800570488,
HF Rej,Off,,-0.0460688,0.0144723933190107,-0.0404836777597666,
