Description	
Number of Runs	141
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	500
Step Voltage	5
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	500	2	5	05/11/23 02:37:04 PM	
2	505	0	5	05/11/23 02:37:09 PM	
3	510	0	5	05/11/23 02:37:14 PM	
4	515	0	5	05/11/23 02:37:20 PM	
5	520	0	5	05/11/23 02:37:25 PM	
6	525	0	5	05/11/23 02:37:30 PM	
7	530	0	5	05/11/23 02:37:35 PM	
8	535	0	5	05/11/23 02:37:40 PM	
9	540	0	5	05/11/23 02:37:46 PM	
10	545	0	5	05/11/23 02:37:51 PM	
11	550	0	5	05/11/23 02:37:56 PM	
12	555	0	5	05/11/23 02:38:01 PM	
13	560	0	5	05/11/23 02:38:07 PM	
14	565	0	5	05/11/23 02:38:12 PM	
15	570	0	5	05/11/23 02:38:17 PM	
16	575	0	5	05/11/23 02:38:22 PM	
17	580	0	5	05/11/23 02:38:27 PM	
18	585	0	5	05/11/23 02:38:33 PM	
19	590	0	5	05/11/23 02:38:38 PM	
20	595	0	5	05/11/23 02:38:43 PM	
21	600	0	5	05/11/23 02:38:48 PM	
22	605	0	5	05/11/23 02:38:53 PM	
23	610	0	5	05/11/23 02:38:59 PM	
24	615	0	5	05/11/23 02:39:04 PM	
25	620	0	5	05/11/23 02:39:09 PM	
26	625	0	5	05/11/23 02:39:14 PM	
27	630	0	5	05/11/23 02:39:19 PM	
28	635	0	5	05/11/23 02:39:25 PM	
29	640	0	5	05/11/23 02:39:30 PM	
30	645	0	5	05/11/23 02:39:35 PM	
31	650	0	5	05/11/23 02:39:40 PM	
32	655	0	5	05/11/23 02:39:45 PM	
33	660	0	5	05/11/23 02:39:51 PM	
34	665	0	5	05/11/23 02:39:56 PM	
35	670	0	5	05/11/23 02:40:01 PM	
36	675	6	5	05/11/23 02:40:06 PM	
37	680	482	5	05/11/23 02:40:11 PM	
38	685	467	5	05/11/23 02:40:16 PM	
39	690	489	5	05/11/23 02:40:22 PM	
40	695	564	5	05/11/23 02:40:27 PM	
41	700	584	5	05/11/23 02:40:32 PM	
42	705	546	5	05/11/23 02:40:37 PM	
43	710	624	5	05/11/23 02:40:42 PM	
44	715	615	5	05/11/23 02:40:47 PM	
45	720	637	5	05/11/23 02:40:53 PM	
46	725	601	5	05/11/23 02:40:58 PM	
47	730	610	5	05/11/23 02:41:03 PM	
48	735	627	5	05/11/23 02:41:08 PM	
49	740	598	5	05/11/23 02:41:13 PM	
50	745	641	5	05/11/23 02:41:19 PM	
51	750	639	5	05/11/23 02:41:24 PM	
52	755	657	5	05/11/23 02:41:29 PM	
53	760	619	5	05/11/23 02:41:34 PM	
54	765	626	5	05/11/23 02:41:40 PM	
55	770	620	5	05/11/23 02:41:45 PM	
56	775	629	5	05/11/23 02:41:50 PM	
57	780	655	5	05/11/23 02:41:55 PM	
58	785	658	5	05/11/23 02:42:00 PM	
59	790	687	5	05/11/23 02:42:05 PM	
60	795	667	5	05/11/23 02:42:10 PM	
61	800	676	5	05/11/23 02:42:16 PM	
62	805	661	5	05/11/23 02:42:21 PM	
63	810	660	5	05/11/23 02:42:26 PM	
64	815	710	5	05/11/23 02:42:31 PM	
65	820	705	5	05/11/23 02:42:36 PM	
66	825	722	5	05/11/23 02:42:41 PM	
67	830	676	5	05/11/23 02:42:47 PM	
68	835	712	5	05/11/23 02:42:52 PM	
69	840	694	5	05/11/23 02:42:57 PM	
70	845	694	5	05/11/23 02:43:02 PM	
71	850	726	5	05/11/23 02:43:07 PM	
