Description	
Number of Runs	780
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1020
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1020	7	1	05/11/23 03:10:34 PM	
2	1020	6	1	05/11/23 03:10:35 PM	
3	1020	5	1	05/11/23 03:10:36 PM	
4	1020	5	1	05/11/23 03:10:37 PM	
5	1020	6	1	05/11/23 03:10:38 PM	
6	1020	2	1	05/11/23 03:10:40 PM	
7	1020	5	1	05/11/23 03:10:41 PM	
8	1020	5	1	05/11/23 03:10:42 PM	
9	1020	6	1	05/11/23 03:10:43 PM	
10	1020	5	1	05/11/23 03:10:44 PM	
11	1020	5	1	05/11/23 03:10:45 PM	
12	1020	5	1	05/11/23 03:10:46 PM	
13	1020	4	1	05/11/23 03:10:48 PM	
14	1020	4	1	05/11/23 03:10:49 PM	
15	1020	6	1	05/11/23 03:10:50 PM	
16	1020	3	1	05/11/23 03:10:51 PM	
17	1020	5	1	05/11/23 03:10:52 PM	
18	1020	6	1	05/11/23 03:10:53 PM	
19	1020	8	1	05/11/23 03:10:54 PM	
20	1020	8	1	05/11/23 03:10:56 PM	
21	1020	5	1	05/11/23 03:10:57 PM	
22	1020	2	1	05/11/23 03:10:58 PM	
23	1020	4	1	05/11/23 03:10:59 PM	
24	1020	5	1	05/11/23 03:11:00 PM	
25	1020	3	1	05/11/23 03:11:01 PM	
26	1020	1	1	05/11/23 03:11:02 PM	
27	1020	7	1	05/11/23 03:11:04 PM	
28	1020	6	1	05/11/23 03:11:05 PM	
29	1020	3	1	05/11/23 03:11:06 PM	
30	1020	3	1	05/11/23 03:11:07 PM	
31	1020	9	1	05/11/23 03:11:08 PM	
32	1020	4	1	05/11/23 03:11:09 PM	
33	1020	3	1	05/11/23 03:11:10 PM	
34	1020	8	1	05/11/23 03:11:12 PM	
35	1020	7	1	05/11/23 03:11:13 PM	
36	1020	4	1	05/11/23 03:11:14 PM	
37	1020	8	1	05/11/23 03:11:15 PM	
38	1020	11	1	05/11/23 03:11:16 PM	
39	1020	9	1	05/11/23 03:11:17 PM	
40	1020	8	1	05/11/23 03:11:19 PM	
41	1020	7	1	05/11/23 03:11:20 PM	
42	1020	4	1	05/11/23 03:11:21 PM	
43	1020	8	1	05/11/23 03:11:22 PM	
44	1020	5	1	05/11/23 03:11:23 PM	
45	1020	2	1	05/11/23 03:11:24 PM	
46	1020	4	1	05/11/23 03:11:25 PM	
47	1020	8	1	05/11/23 03:11:26 PM	
48	1020	5	1	05/11/23 03:11:28 PM	
49	1020	4	1	05/11/23 03:11:29 PM	
50	1020	13	1	05/11/23 03:11:30 PM	
51	1020	6	1	05/11/23 03:11:31 PM	
52	1020	7	1	05/11/23 03:11:32 PM	
53	1020	8	1	05/11/23 03:11:33 PM	
54	1020	4	1	05/11/23 03:11:35 PM	
55	1020	2	1	05/11/23 03:11:36 PM	
56	1020	5	1	05/11/23 03:11:37 PM	
57	1020	5	1	05/11/23 03:11:38 PM	
58	1020	5	1	05/11/23 03:11:39 PM	
59	1020	6	1	05/11/23 03:11:40 PM	
60	1020	5	1	05/11/23 03:11:41 PM	
61	1020	6	1	05/11/23 03:11:43 PM	
62	1020	6	1	05/11/23 03:11:44 PM	
63	1020	5	1	05/11/23 03:11:45 PM	
64	1020	5	1	05/11/23 03:11:46 PM	
65	1020	3	1	05/11/23 03:11:47 PM	
66	1020	5	1	05/11/23 03:11:48 PM	
67	1020	9	1	05/11/23 03:11:49 PM	
68	1020	5	1	05/11/23 03:11:51 PM	
69	1020	2	1	05/11/23 03:11:52 PM	
70	1020	9	1	05/11/23 03:11:53 PM	
71	1020	6	1	05/11/23 03:11:54 PM	
72	1020	5	1	05/11/23 03:11:55 PM	
73	1020	2	1	05/11/23 03:11:56 PM	
74	1020	8	1	05/11/23 03:11:57 PM	
75	1020	4	1	05/11/23 03:11:59 PM	
76	1020	3	1	05/11/23 03:12:00 PM	
77	1020	6	1	05/11/23 03:12:01 PM	
78	1020	2	1	05/11/23 03:12:02 PM	
79	1020	4	1	05/11/23 03:12:03 PM	
80	1020	6	1	05/11/23 03:12:04 PM	
81	1020	6	1	05/11/23 03:12:06 PM	
82	1020	4	1	05/11/23 03:12:07 PM	
83	1020	7	1	05/11/23 03:12:08 PM	
84	1020	7	1	05/11/23 03:12:09 PM	
85	1020	2	1	05/11/23 03:12:10 PM	
86	1020	6	1	05/11/23 03:12:11 PM	
87	1020	8	1	05/11/23 03:12:12 PM	
88	1020	3	1	05/11/23 03:12:14 PM	
89	1020	3	1	05/11/23 03:12:15 PM	
90	1020	5	1	05/11/23 03:12:16 PM	
91	1020	3	1	05/11/23 03:12:17 PM	
92	1020	8	1	05/11/23 03:12:18 PM	
93	1020	8	1	05/11/23 03:12:19 PM	
94	1020	4	1	05/11/23 03:12:20 PM	
95	1020	5	1	05/11/23 03:12:22 PM	
96	1020	0	1	05/11/23 03:12:23 PM	
97	1020	4	1	05/11/23 03:12:24 PM	
98	1020	7	1	05/11/23 03:12:25 PM	
99	1020	6	1	05/11/23 03:12:26 PM	
100	1020	2	1	05/11/23 03:12:27 PM	
101	1020	11	1	05/11/23 03:12:28 PM	
102	1020	9	1	05/11/23 03:12:30 PM	
103	1020	7	1	05/11/23 03:12:31 PM	
104	1020	5	1	05/11/23 03:12:32 PM	
105	1020	6	1	05/11/23 03:12:33 PM	
106	1020	5	1	05/11/23 03:12:34 PM	
107	1020	10	1	05/11/23 03:12:35 PM	
108	1020	6	1	05/11/23 03:12:37 PM	
109	1020	5	1	05/11/23 03:12:38 PM	
110	1020	5	1	05/11/23 03:12:39 PM	
111	1020	4	1	05/11/23 03:12:40 PM	
112	1020	3	1	05/11/23 03:12:41 PM	
113	1020	9	1	05/11/23 03:12:42 PM	
114	1020	6	1	05/11/23 03:12:43 PM	
115	1020	8	1	05/11/23 03:12:45 PM	
116	1020	5	1	05/11/23 03:12:46 PM	
117	1020	1	1	05/11/23 03:12:47 PM	
118	1020	4	1	05/11/23 03:12:48 PM	
119	1020	9	1	05/11/23 03:12:49 PM	
120	1020	6	1	05/11/23 03:12:50 PM	
121	1020	5	1	05/11/23 03:12:51 PM	
122	1020	7	1	05/11/23 03:12:53 PM	
123	1020	5	1	05/11/23 03:12:54 PM	
124	1020	8	1	05/11/23 03:12:55 PM	
125	1020	3	1	05/11/23 03:12:56 PM	
126	1020	10	1	05/11/23 03:12:57 PM	
127	1020	3	1	05/11/23 03:12:58 PM	
128	1020	5	1	05/11/23 03:13:00 PM	
129	1020	7	1	05/11/23 03:13:01 PM	
130	1020	5	1	05/11/23 03:13:02 PM	
131	1020	3	1	05/11/23 03:13:03 PM	
132	1020	3	1	05/11/23 03:13:04 PM	
133	1020	6	1	05/11/23 03:13:05 PM	
134	1020	9	1	05/11/23 03:13:06 PM	
135	1020	5	1	05/11/23 03:13:08 PM	
136	1020	3	1	05/11/23 03:13:09 PM	
137	1020	4	1	05/11/23 03:13:10 PM	
138	1020	8	1	05/11/23 03:13:11 PM	
139	1020	7	1	05/11/23 03:13:12 PM	
140	1020	4	1	05/11/23 03:13:13 PM	
141	1020	4	1	05/11/23 03:13:15 PM	
142	1020	2	1	05/11/23 03:13:16 PM	
143	1020	4	1	05/11/23 03:13:17 PM	
144	1020	7	1	05/11/23 03:13:18 PM	
145	1020	6	1	05/11/23 03:13:19 PM	
146	1020	4	1	05/11/23 03:13:20 PM	
147	1020	8	1	05/11/23 03:13:22 PM	
148	1020	4	1	05/11/23 03:13:23 PM	
149	1020	6	1	05/11/23 03:13:24 PM	
150	1020	5	1	05/11/23 03:13:25 PM	
151	1020	7	1	05/11/23 03:13:26 PM	
152	1020	2	1	05/11/23 03:13:27 PM	
153	1020	3	1	05/11/23 03:13:28 PM	
154	1020	3	1	05/11/23 03:13:30 PM	
155	1020	5	1	05/11/23 03:13:31 PM	
156	1020	6	1	05/11/23 03:13:32 PM	
157	1020	6	1	05/11/23 03:13:33 PM	
158	1020	8	1	05/11/23 03:13:34 PM	
159	1020	3	1	05/11/23 03:13:35 PM	
160	1020	5	1	05/11/23 03:13:37 PM	
161	1020	2	1	05/11/23 03:13:38 PM	
162	1020	11	1	05/11/23 03:13:39 PM	
163	1020	4	1	05/11/23 03:13:40 PM	
164	1020	8	1	05/11/23 03:13:41 PM	
165	1020	6	1	05/11/23 03:13:42 PM	
166	1020	7	1	05/11/23 03:13:43 PM	
167	1020	4	1	05/11/23 03:13:45 PM	
168	1020	7	1	05/11/23 03:13:46 PM	
169	1020	5	1	05/11/23 03:13:47 PM	
170	1020	3	1	05/11/23 03:13:48 PM	
171	1020	8	1	05/11/23 03:13:49 PM	
172	1020	1	1	05/11/23 03:13:50 PM	
173	1020	3	1	05/11/23 03:13:51 PM	
174	1020	3	1	05/11/23 03:13:53 PM	
175	1020	7	1	05/11/23 03:13:54 PM	
176	1020	3	1	05/11/23 03:13:55 PM	
177	1020	7	1	05/11/23 03:13:56 PM	
178	1020	5	1	05/11/23 03:13:57 PM	
179	1020	6	1	05/11/23 03:13:58 PM	
180	1020	10	1	05/11/23 03:14:00 PM	
181	1020	2	1	05/11/23 03:14:01 PM	
182	1020	5	1	05/11/23 03:14:02 PM	
183	1020	6	1	05/11/23 03:14:03 PM	
184	1020	5	1	05/11/23 03:14:04 PM	
185	1020	13	1	05/11/23 03:14:05 PM	
186	1020	4	1	05/11/23 03:14:06 PM	
187	1020	9	1	05/11/23 03:14:08 PM	
188	1020	8	1	05/11/23 03:14:09 PM	
189	1020	3	1	05/11/23 03:14:10 PM	
190	1020	7	1	05/11/23 03:14:11 PM	
191	1020	4	1	05/11/23 03:14:12 PM	
192	1020	5	1	05/11/23 03:14:13 PM	
193	1020	4	1	05/11/23 03:14:14 PM	
194	1020	8	1	05/11/23 03:14:16 PM	
195	1020	5	1	05/11/23 03:14:17 PM	
196	1020	3	1	05/11/23 03:14:18 PM	
197	1020	6	1	05/11/23 03:14:19 PM	
198	1020	8	1	05/11/23 03:14:20 PM	
199	1020	5	1	05/11/23 03:14:21 PM	
200	1020	7	1	05/11/23 03:14:22 PM	
201	1020	3	1	05/11/23 03:14:24 PM	
202	1020	7	1	05/11/23 03:14:25 PM	
203	1020	5	1	05/11/23 03:14:26 PM	
204	1020	7	1	05/11/23 03:14:27 PM	
205	1020	5	1	05/11/23 03:14:28 PM	
206	1020	6	1	05/11/23 03:14:29 PM	
207	1020	5	1	05/11/23 03:14:31 PM	
208	1020	5	1	05/11/23 03:14:32 PM	
209	1020	7	1	05/11/23 03:14:33 PM	
210	1020	7	1	05/11/23 03:14:34 PM	
211	1020	12	1	05/11/23 03:14:35 PM	
212	1020	1	1	05/11/23 03:14:36 PM	
213	1020	6	1	05/11/23 03:14:37 PM	
214	1020	7	1	05/11/23 03:14:39 PM	
215	1020	6	1	05/11/23 03:14:40 PM	
216	1020	1	1	05/11/23 03:14:41 PM	
217	1020	7	1	05/11/23 03:14:42 PM	
218	1020	5	1	05/11/23 03:14:43 PM	
219	1020	4	1	05/11/23 03:14:44 PM	
220	1020	6	1	05/11/23 03:14:45 PM	
221	1020	6	1	05/11/23 03:14:47 PM	
222	1020	8	1	05/11/23 03:14:48 PM	
223	1020	4	1	05/11/23 03:14:49 PM	
224	1020	4	1	05/11/23 03:14:50 PM	
225	1020	5	1	05/11/23 03:14:51 PM	
226	1020	5	1	05/11/23 03:14:47 PM	
227	1020	6	1	05/11/23 03:14:48 PM	
228	1020	5	1	05/11/23 03:14:49 PM	
229	1020	6	1	05/11/23 03:14:50 PM	
230	1020	5	1	05/11/23 03:14:51 PM	
231	1020	4	1	05/11/23 03:14:52 PM	
232	1020	4	1	05/11/23 03:14:53 PM	
233	1020	7	1	05/11/23 03:14:55 PM	
