Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	0
47	0
48	0
49	0
50	0
51	1
52	2
53	1
54	2
55	6
56	3
57	8
58	10
59	12
60	9
61	11
62	7
63	17
64	2
65	11
66	7
67	6
68	10
69	10
70	7
71	14
72	10
73	11
74	8
75	4
76	11
77	12
78	8
79	14
80	9
81	10
82	9
83	9
84	9
85	7
86	6
87	16
88	6
89	11
90	9
91	9
92	8
93	10
94	11
95	11
96	4
97	8
98	13
99	12
100	4
101	7
102	8
103	9
104	8
105	6
106	9
107	11
108	17
109	6
110	6
111	18
112	2
113	15
114	9
115	9
116	6
117	6
118	9
119	8
120	6
121	6
122	7
123	9
124	12
125	7
126	12
127	16
128	5
129	7
130	8
131	10
132	12
133	8
134	7
135	7
136	9
137	15
138	6
139	10
140	10
141	8
142	8
143	9
144	5
145	6
146	7
147	16
148	9
149	12
150	7
151	12
152	3
153	9
154	6
155	4
156	12
157	5
158	10
159	11
160	2
161	13
162	7
163	10
164	4
165	10
166	5
167	11
168	4
169	10
170	8
171	4
172	6
173	15
174	8
175	8
176	5
177	11
178	9
179	12
180	8
181	7
182	7
183	8
184	8
185	8
186	6
187	8
188	7
189	16
190	3
191	19
192	4
193	8
194	9
195	14
196	8
197	4
198	12
199	4
200	6
201	10
202	5
203	9
204	9
205	10
206	8
207	14
208	5
209	9
210	4
211	8
212	9
213	16
214	8
215	6
216	8
217	7
218	10
219	13
220	5
221	7
222	10
223	14
224	8
225	15
226	8
227	3
228	11
229	13
230	13
231	18
232	9
233	15
234	7
235	11
236	12
237	15
238	12
239	9
240	10
241	7
242	5
243	7
244	12
245	11
246	9
247	10
248	5
249	8
250	8
251	15
252	7
253	11
254	5
255	18
256	1
257	10
258	9
259	11
260	9
261	9
262	10
263	9
264	7
265	14
266	12
267	12
268	13
269	10
270	9
271	13
272	8
273	10
274	11
275	11
276	12
277	12
278	6
279	20
280	4
281	12
282	9
283	16
284	12
285	12
286	14
287	18
288	7
289	18
290	10
291	15
292	10
293	11
294	16
295	19
296	11
297	19
298	10
299	11
300	12
301	20
302	16
303	31
304	8
305	13
306	7
307	10
308	16
309	10
310	13
311	14
312	4
313	14
314	13
315	23
316	15
317	22
318	12
319	16
320	4
321	16
322	17
323	17
324	11
325	17
326	11
327	25
328	10
329	15
330	9
331	6
332	16
333	20
334	14
335	24
336	14
337	10
338	16
339	18
340	14
341	10
342	22
343	14
344	11
345	15
346	9
347	14
348	14
349	16
350	12
351	17
352	10
353	8
354	13
355	17
356	11
357	14
358	10
359	9
360	11
361	9
362	9
363	15
364	20
365	11
366	12
367	14
368	12
369	13
370	15
371	12
372	11
373	9
374	12
375	15
376	10
377	16
378	12
379	17
380	11
381	12
382	13
383	27
384	6
385	13
386	12
387	16
388	11
389	5
390	11
391	14
392	13
393	12
394	12
395	2
396	14
397	9
398	8
399	13
400	12
401	9
402	20
403	11
404	7
405	9
406	8
407	9
408	4
409	10
410	17
411	11
412	9
413	15
414	6
415	17
416	5
417	8
418	9
419	11
420	14
421	15
422	16
423	7
424	11
425	20
426	13
427	5
428	7
429	10
430	12
431	8
432	6
433	12
434	11
435	12
436	14
437	12
438	9
439	13
440	7
441	9
442	4
443	9
444	16
445	17
446	11
447	23
448	5
449	8
450	6
451	9
452	17
453	13
454	8
455	10
456	10
457	13
458	8
459	12
460	8
461	4
462	10
463	17
464	11
465	12
466	8
467	9
468	11
469	6
470	13
471	6
472	12
473	12
474	16
475	18
476	12
477	9
478	16
479	14
480	7
481	11
482	10
483	9
484	14
485	9
486	14
487	7
488	5
489	13
490	14
491	8
492	10
493	14
494	14
495	14
496	12
497	11
498	13
499	15
500	13
501	12
502	17
503	9
504	10
505	9
506	11
507	14
508	17
509	10
510	15
511	24
512	3
513	12
514	11
515	16
516	15
517	14
518	15
519	14
520	8
521	17
522	10
523	16
524	15
525	15
526	31
527	11
528	9
529	18
530	14
531	18
532	16
533	11
534	18
535	18
536	13
537	18
538	16
539	19
540	18
541	16
542	7
543	25
544	11
545	24
546	18
547	15
548	10
549	17
550	14
551	20
552	12
553	15
554	12
555	29
556	22
557	21
558	22
559	24
560	14
561	18
562	21
563	21
564	18
565	10
566	23
567	22
568	9
569	15
570	18
571	23
572	12
573	19
574	21
575	21
576	10
577	17
578	23
579	22
580	25
581	19
582	18
583	16
584	7
585	22
586	15
587	13
588	21
589	22
590	15
591	29
592	8
593	15
594	14
595	19
596	18
597	21
598	17
599	13
600	11
601	20
602	22
603	14
604	11
605	14
606	19
607	18
608	11
609	9
610	22
611	20
612	17
613	17
614	20
615	12
616	15
617	25
618	12
619	10
620	19
621	23
622	14
623	24
624	12
625	13
626	17
627	16
628	23
629	23
630	23
631	24
632	16
633	14
634	19
635	23
636	18
637	25
638	22
639	30
640	8
641	15
642	21
643	16
644	19
645	17
646	27
647	13
648	15
649	24
650	16
651	15
652	21
653	30
654	22
655	26
656	19
657	23
658	34
659	20
660	23
661	16
662	22
663	19
664	22
665	25
666	26
667	31
668	21
669	38
670	30
671	42
672	19
673	37
674	35
675	41
676	36
677	29
678	48
679	46
680	32
681	44
682	38
683	53
684	63
685	52
686	65
687	71
688	52
689	88
690	81
691	81
692	69
693	69
694	100
695	90
696	87
697	124
698	82
699	142
700	124
701	122
702	110
703	168
704	106
705	172
706	189
707	209
708	218
709	160
710	271
711	218
712	209
713	282
714	250
715	293
716	335
717	342
718	334
719	453
720	256
721	407
722	434
723	497
724	482
725	400
726	569
727	533
728	499
729	711
730	589
731	658
732	619
733	678
734	739
735	1051
736	557
737	791
738	840
739	839
740	1001
741	864
742	1153
743	1087
744	928
745	1220
746	964
747	1184
748	1293
749	1233
750	1262
751	1463
752	958
753	1247
754	1371
755	1467
756	1351
757	1250
758	1659
759	1561
760	1210
761	1674
762	1370
763	1615
764	1554
765	1549
766	1669
767	2294
768	716
769	1378
770	1609
771	1668
772	1693
773	1487
774	1759
775	1549
776	1423
777	1765
778	1338
779	1608
780	1596
781	1511
782	1495
783	1596
784	1192
785	1540
786	1465
787	1655
788	1305
789	1210
790	1468
791	1198
792	1116
793	1299
794	1041
795	1290
796	1069
797	1052
798	1025
799	1297
800	699
801	923
802	883
803	900
804	878
805	696
806	895
807	711
808	565
809	761
810	524
811	592
812	588
813	558
814	526
815	518
816	399
817	472
818	476
819	431
820	409
821	333
822	433
823	338
824	251
825	357
826	270
827	338
828	258
829	284
830	273
831	335
832	165
833	217
834	247
835	248
836	240
837	190
838	262
839	215
840	212
841	268
842	204
843	231
844	226
845	220
846	191
847	243
848	158
849	208
850	250
851	263
852	250
853	189
854	263
855	221
856	218
857	295
858	242
859	266
860	282
861	247
862	223
863	330
864	185
865	269
866	297
867	271
868	305
869	209
870	290
871	305
872	238
873	322
874	244
875	248
876	283
877	271
878	273
879	305
880	219
881	242
882	283
883	283
884	248
885	233
886	277
887	206
888	200
889	285
890	189
891	258
892	206
893	182
894	211
895	302
896	145
897	162
898	176
899	170
900	193
901	142
902	169
903	130
904	140
905	168
906	113
907	129
908	135
909	128
910	111
911	111
912	91
913	102
914	93
915	110
916	76
917	80
918	74
919	56
920	57
921	77
922	53
923	54
924	44
925	48
926	52
927	64
928	33
929	40
930	45
931	25
932	40
933	14
934	37
935	27
936	27
937	26
938	20
939	18
940	25
941	6
942	22
943	20
944	11
945	23
946	16
947	8
948	11
949	14
950	6
951	11
952	8
953	9
954	11
955	6
956	4
957	1
958	4
959	7
960	4
961	6
962	12
963	6
964	2
965	9
966	7
967	9
968	5
969	6
970	4
971	3
972	12
973	7
974	11
975	9
976	1
977	6
978	5
979	6
980	4
981	4
982	5
983	1
984	5
985	4
986	9
987	6
988	5
989	11
990	5
991	7
992	5
993	3
994	7
995	4
996	6
997	5
998	7
999	4
1000	7
1001	8
1002	9
1003	6
1004	4
1005	5
1006	8
1007	13
1008	3
1009	9
1010	3
1011	7
1012	7
1013	3
1014	6
1015	0
1016	5
1017	12
1018	9
1019	3
1020	4
1021	6
1022	6
1023	8
1024	0
1025	1
1026	3
1027	5
1028	3
1029	1
1030	4
1031	4
1032	5
1033	4
1034	3
1035	3
1036	1
1037	2
1038	3
1039	8
1040	2
1041	2
1042	1
1043	2
1044	1
1045	4
1046	3
1047	1
1048	3
1049	3
1050	1
1051	6
1052	3
1053	4
1054	2
1055	3
1056	1
1057	3
1058	2
1059	4
1060	5
1061	1
1062	6
1063	6
1064	5
1065	4
1066	4
1067	6
1068	3
1069	4
1070	1
1071	3
1072	1
1073	2
1074	4
1075	7
1076	5
1077	2
1078	2
1079	3
1080	4
1081	2
1082	2
1083	2
1084	6
1085	2
1086	2
1087	2
1088	0
1089	6
1090	7
1091	3
1092	6
1093	2
1094	2
1095	2
1096	4
1097	3
1098	6
1099	2
1100	2
1101	1
1102	5
1103	8
1104	1
1105	3
1106	1
1107	4
1108	4
1109	2
1110	2
1111	8
1112	4
1113	7
1114	3
1115	7
1116	5
1117	4
1118	9
1119	8
1120	3
1121	2
1122	2
1123	2
1124	5
1125	4
1126	4
1127	2
1128	2
1129	8
1130	4
1131	3
1132	5
1133	4
1134	3
1135	5
1136	2
1137	4
1138	1
1139	1
1140	1
1141	3
1142	4
1143	4
1144	2
1145	6
1146	1
1147	8
1148	5
1149	3
1150	1
1151	4
1152	3
1153	1
1154	4
1155	4
1156	3
1157	4
1158	8
1159	3
1160	6
1161	3
1162	1
1163	3
1164	3
1165	1
1166	5
1167	5
1168	4
1169	4
1170	6
1171	5
1172	2
1173	2
1174	7
1175	1
1176	4
1177	4
1178	3
1179	4
1180	2
1181	1
1182	5
1183	8
1184	1
1185	3
1186	6
1187	6
1188	4
1189	5
1190	8
1191	3
1192	5
1193	1
1194	2
1195	0
1196	1
1197	6
1198	1
1199	2
1200	4
1201	3
1202	3
1203	5
1204	5
1205	3
1206	4
1207	2
1208	1
1209	3
1210	7
1211	3
1212	5
1213	4
1214	0
1215	6
1216	5
1217	3
1218	3
1219	1
1220	6
1221	4
1222	4
1223	3
1224	1
1225	2
1226	5
1227	9
1228	6
1229	2
1230	3
1231	3
1232	3
1233	6
1234	2
1235	0
1236	2
1237	1
1238	4
1239	1
1240	3
1241	7
1242	2
1243	2
1244	1
1245	4
1246	2
1247	3
1248	2
1249	2
1250	2
1251	5
1252	6
1253	1
1254	9
1255	6
1256	2
1257	3
1258	0
1259	5
1260	5
1261	3
1262	11
1263	2
1264	5
1265	3
1266	4
1267	3
1268	2
1269	3
1270	5
1271	2
1272	2
1273	2
1274	1
1275	1
1276	4
1277	3
1278	3
1279	4
1280	2
1281	3
1282	3
1283	3
1284	1
1285	7
1286	4
1287	9
1288	2
1289	5
1290	1
1291	5
1292	6
1293	6
1294	4
1295	4
1296	3
1297	2
1298	5
1299	8
1300	3
1301	2
1302	5
1303	4
1304	4
1305	1
1306	2
1307	6
1308	1
1309	4
1310	1
1311	9
1312	1
1313	3
1314	3
1315	5
1316	4
1317	3
1318	4
1319	7
1320	5
1321	3
1322	4
1323	7
1324	2
1325	5
1326	5
1327	5
1328	1
1329	2
1330	2
1331	4
1332	3
1333	3
1334	6
1335	2
1336	3
1337	6
1338	1
1339	5
1340	4
1341	6
1342	5
1343	6
1344	1
1345	3
1346	3
1347	3
1348	3
1349	4
1350	3
1351	4
1352	3
1353	6
1354	1
1355	4
1356	6
1357	7
1358	1
1359	6
1360	2
1361	5
1362	3
1363	2
1364	3
1365	2
1366	2
1367	1
1368	6
1369	4
1370	4
1371	3
1372	4
1373	4
1374	4
1375	5
1376	2
1377	7
1378	4
1379	1
1380	9
1381	4
1382	4
1383	2
1384	3
1385	4
1386	4
1387	0
1388	5
1389	1
1390	3
1391	6
1392	2
1393	3
1394	2
1395	3
1396	3
1397	4
1398	6
1399	1
1400	1
1401	5
1402	3
1403	6
1404	6
1405	6
1406	5
1407	1
1408	3
1409	3
1410	5
1411	3
1412	3
1413	7
1414	3
1415	2
1416	3
1417	6
1418	4
1419	2
1420	2
1421	2
1422	0
1423	3
1424	7
1425	3
1426	3
1427	3
1428	6
1429	7
1430	3
1431	5
1432	6
1433	6
1434	3
1435	4
1436	4
1437	1
1438	1
1439	5
1440	2
1441	4
1442	4
1443	4
1444	6
1445	2
1446	5
1447	2
1448	2
1449	7
1450	4
1451	1
1452	4
1453	4
1454	4
1455	2
1456	2
1457	2
1458	3
1459	4
1460	6
1461	4
1462	4
1463	4
1464	4
1465	4
1466	1
1467	10
1468	7
1469	4
1470	3
1471	6
1472	3
1473	4
1474	1
1475	3
1476	5
1477	3
1478	2
1479	1
1480	1
1481	2
1482	2
1483	2
1484	4
1485	2
1486	2
1487	3
1488	4
1489	7
1490	6
1491	8
1492	2
1493	2
1494	4
1495	1
1496	3
1497	1
1498	4
1499	5
1500	8
1501	5
1502	6
1503	6
1504	4
1505	3
1506	1
1507	4
1508	1
1509	6
1510	8
1511	7
1512	1
1513	4
1514	4
1515	4
1516	1
1517	3
1518	5
1519	10
1520	2
1521	5
1522	3
1523	6
1524	5
1525	1
1526	4
1527	6
1528	3
1529	8
1530	5
1531	1
1532	5
1533	6
1534	3
1535	7
1536	3
1537	0
1538	4
1539	6
1540	10
1541	3
1542	7
1543	7
1544	5
1545	7
1546	7
1547	5
1548	2
1549	7
1550	1
1551	5
1552	3
1553	6
1554	4
1555	7
1556	4
1557	3
1558	6
1559	4
1560	3
1561	2
1562	4
1563	6
1564	4
1565	3
1566	6
1567	4
1568	3
1569	5
1570	5
1571	3
1572	5
1573	3
1574	5
1575	4
1576	4
1577	6
1578	5
1579	2
1580	4
1581	9
1582	7
1583	7
1584	3
1585	7
1586	3
1587	3
1588	3
1589	3
1590	5
1591	8
1592	4
1593	2
1594	3
1595	7
1596	4
1597	1
1598	4
1599	4
1600	4
1601	2
1602	2
1603	2
1604	11
1605	7
1606	9
1607	4
1608	3
1609	3
1610	5
1611	3
1612	5
1613	5
1614	5
1615	5
1616	4
1617	4
1618	1
1619	4
1620	2
1621	4
1622	4
1623	1
1624	4
1625	5
1626	3
1627	5
1628	4
1629	7
1630	4
1631	5
1632	5
1633	7
1634	7
1635	9
1636	5
1637	5
1638	9
1639	7
1640	4
1641	8
1642	2
1643	5
1644	5
1645	5
1646	2
1647	4
1648	2
1649	4
1650	7
1651	6
1652	6
1653	6
1654	9
1655	4
1656	5
1657	6
1658	4
1659	2
1660	2
1661	9
1662	3
1663	10
1664	4
1665	3
1666	9
1667	4
1668	2
1669	4
1670	6
1671	5
1672	2
1673	6
1674	2
1675	5
1676	9
1677	5
1678	6
1679	7
1680	2
1681	5
1682	5
1683	11
1684	7
1685	7
1686	8
1687	3
1688	2
1689	2
1690	4
1691	11
1692	3
1693	5
1694	8
1695	2
1696	2
1697	4
1698	4
1699	3
1700	12
1701	6
1702	10
1703	7
1704	4
1705	8
1706	5
1707	13
1708	8
1709	6
1710	6
1711	6
1712	5
1713	7
1714	4
1715	10
1716	10
1717	12
1718	4
1719	6
1720	3
1721	11
1722	5
1723	9
1724	10
1725	5
1726	4
1727	5
1728	2
1729	7
1730	5
1731	4
1732	11
1733	4
1734	9
1735	4
1736	6
1737	5
1738	4
1739	5
1740	4
1741	9
1742	7
1743	4
1744	4
1745	6
1746	8
1747	5
1748	2
1749	5
1750	7
1751	3
1752	7
1753	6
1754	3
1755	5
1756	4
1757	11
1758	8
1759	5
1760	3
1761	7
1762	6
1763	2
1764	9
1765	1
1766	12
1767	4
1768	3
1769	5
1770	3
1771	9
1772	5
1773	4
1774	2
1775	9
1776	5
1777	5
1778	7
1779	10
1780	9
1781	5
1782	3
1783	4
1784	3
1785	12
1786	5
1787	4
1788	3
1789	1
1790	6
1791	8
1792	5
1793	5
1794	5
1795	5
1796	7
1797	4
1798	5
1799	6
1800	5
1801	6
1802	9
1803	10
1804	10
1805	5
1806	4
1807	9
1808	4
1809	5
1810	12
1811	5
1812	8
1813	2
1814	11
1815	2
1816	4
1817	8
1818	2
1819	6
1820	11
1821	14
1822	7
1823	13
1824	5
1825	6
1826	7
1827	4
1828	9
1829	5
1830	12
1831	8
1832	6
1833	12
1834	7
1835	10
1836	15
1837	12
1838	7
1839	3
1840	10
1841	9
1842	14
1843	5
1844	7
1845	6
1846	6
1847	10
1848	8
1849	14
1850	10
1851	15
1852	14
1853	6
1854	12
1855	9
1856	7
1857	11
1858	13
1859	11
1860	12
1861	12
1862	10
1863	10
1864	17
1865	5
1866	7
1867	9
1868	15
1869	12
1870	13
1871	13
1872	14
1873	9
1874	5
1875	19
1876	6
1877	14
1878	14
1879	17
1880	9
1881	12
1882	9
1883	16
1884	16
1885	18
1886	16
1887	11
1888	11
1889	10
1890	11
1891	10
1892	18
1893	10
1894	22
1895	10
1896	11
1897	17
1898	6
1899	8
1900	12
1901	14
1902	11
1903	12
1904	14
1905	14
1906	12
1907	16
1908	19
1909	13
1910	18
1911	13
1912	10
1913	12
1914	8
1915	13
1916	14
1917	11
1918	6
1919	19
1920	6
1921	9
1922	11
1923	11
1924	11
1925	9
1926	7
1927	8
1928	8
1929	10
1930	11
1931	8
1932	5
1933	10
1934	4
1935	4
1936	10
1937	3
1938	8
1939	11
1940	5
1941	5
1942	6
1943	3
1944	3
1945	4
1946	3
1947	3
1948	6
1949	1
1950	3
1951	6
1952	4
1953	1
1954	7
1955	5
1956	9
1957	1
1958	2
1959	2
1960	1
1961	5
1962	1
1963	0
1964	6
1965	3
1966	4
1967	0
1968	4
1969	6
1970	4
1971	5
1972	4
1973	1
1974	3
1975	0
1976	2
1977	2
1978	1
1979	1
1980	2
1981	1
1982	2
1983	2
1984	0
1985	2
1986	5
1987	3
1988	3
1989	3
1990	5
1991	2
1992	2
1993	2
1994	2
1995	4
1996	1
1997	1
1998	3
1999	3
2000	4
2001	4
2002	4
2003	3
2004	2
2005	3
2006	1
2007	2
2008	1
2009	3
2010	4
2011	5
2012	7
2013	2
2014	6
2015	1
2016	1
2017	2
2018	4
2019	1
2020	3
2021	1
