Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	0
51	1
52	1
53	0
54	1
55	0
56	1
57	2
58	2
59	7
60	9
61	3
62	5
63	11
64	1
65	6
66	3
67	8
68	6
69	2
70	6
71	4
72	1
73	6
74	3
75	4
76	5
77	7
78	4
79	5
80	4
81	12
82	10
83	7
84	3
85	4
86	7
87	6
88	3
89	2
90	8
91	9
92	11
93	8
94	7
95	9
96	3
97	5
98	7
99	8
100	4
101	4
102	6
103	2
104	1
105	9
106	5
107	2
108	1
109	5
110	3
111	6
112	4
113	5
114	5
115	4
116	5
117	3
118	6
119	6
120	5
121	4
122	6
123	4
124	1
125	4
126	2
127	11
128	3
129	7
130	5
131	6
132	2
133	2
134	7
135	3
136	5
137	6
138	6
139	9
140	2
141	4
142	3
143	4
144	1
145	6
146	5
147	4
148	6
149	3
150	9
151	6
152	5
153	7
154	3
155	7
156	6
157	6
158	3
159	7
160	1
161	9
162	4
163	3
164	4
165	8
166	5
167	5
168	4
169	6
170	4
171	5
172	3
173	4
174	4
175	6
176	1
177	7
178	5
179	7
180	4
181	7
182	7
183	6
184	1
185	9
186	3
187	8
188	6
189	9
190	3
191	4
192	2
193	5
194	6
195	4
196	2
197	3
198	7
199	4
200	5
201	10
202	6
203	2
204	5
205	4
206	2
207	4
208	4
209	6
210	8
211	5
212	7
213	8
214	3
215	5
216	4
217	8
218	5
219	6
220	2
221	4
222	6
223	6
224	1
225	6
226	3
227	7
228	5
229	3
230	2
231	5
232	3
233	3
234	8
235	5
236	7
237	3
238	7
239	5
240	2
241	5
242	4
243	5
244	5
245	2
246	4
247	9
248	1
249	5
250	4
251	4
252	6
253	6
254	5
255	9
256	1
257	5
258	2
259	3
260	1
261	4
262	3
263	4
264	4
265	5
266	4
267	7
268	3
269	8
270	3
271	6
272	3
273	8
274	5
275	6
276	4
277	2
278	4
279	1
280	2
281	1
282	2
283	4
284	2
285	6
286	2
287	3
288	5
289	4
290	2
291	2
292	6
293	5
294	7
295	4
296	2
297	10
298	4
299	9
300	2
301	4
302	4
303	8
304	4
305	9
306	5
307	8
308	4
309	2
310	4
311	6
312	6
313	6
314	4
315	3
316	4
317	6
318	5
319	8
320	2
321	3
322	3
323	11
324	3
325	8
326	2
327	2
328	4
329	8
330	8
331	4
332	1
333	4
334	4
335	6
336	3
337	4
338	3
339	3
340	1
341	6
342	5
343	4
344	6
345	4
346	4
347	3
348	4
349	6
350	7
351	6
352	3
353	3
354	5
355	9
356	5
357	5
358	7
359	4
360	7
361	4
362	1
363	4
364	5
365	2
366	2
367	7
368	5
369	5
370	2
371	2
372	4
373	7
374	8
375	7
376	5
377	5
378	3
379	2
380	6
381	2
382	2
383	6
384	3
385	2
386	4
387	5
388	6
389	4
390	2
391	1
392	2
393	7
394	10
395	4
396	5
397	5
398	2
399	2
400	1
401	4
402	5
403	3
404	8
405	6
406	6
407	4
408	5
409	5
410	1
411	1
412	5
413	3
414	1
415	4
416	3
417	4
418	5
419	5
420	3
421	2
422	5
423	4
424	3
425	7
426	3
427	3
428	7
429	11
430	6
431	1
432	4
433	5
434	1
435	6
436	4
437	5
438	3
439	2
440	3
441	3
442	6
443	4
444	2
445	4
446	3
447	9
448	4
449	1
450	6
451	6
452	6
453	5
454	7
455	3
456	2
457	7
458	6
459	4
460	4
461	3
462	2
463	6
464	5
465	2
466	4
467	1
468	3
469	8
470	5
471	0
472	7
473	8
474	5
475	4
476	5
477	4
478	4
479	5
480	3
481	4
482	4
483	6
484	6
485	3
486	4
487	4
488	7
489	4
490	4
491	5
492	2
493	5
494	4
495	4
496	2
497	2
498	4
499	4
500	4
501	1
502	4
503	3
504	2
505	1
506	3
507	11
508	7
509	3
510	5
511	3
512	0
513	5
514	1
515	4
516	4
517	0
518	3
519	4
520	3
521	5
522	1
523	6
524	5
525	1
526	1
527	7
528	4
529	4
530	4
531	6
532	5
533	6
534	5
535	6
536	2
537	11
538	5
539	8
540	2
541	6
542	3
543	4
544	3
545	8
546	5
547	5
548	7
549	5
550	4
551	8
552	6
553	8
554	6
555	7
556	6
557	4
558	3
559	4
560	7
561	6
562	3
563	5
564	3
565	8
566	7
567	7
568	4
569	7
570	7
571	6
572	5
573	7
574	5
575	11
576	2
577	5
578	5
579	7
580	4
581	3
582	6
583	6
584	3
585	10
586	6
587	9
588	7
589	9
590	5
591	7
592	2
593	3
594	3
595	11
596	7
597	4
598	4
599	4
600	5
601	10
602	5
603	10
604	7
605	8
606	9
607	14
608	4
609	4
610	7
611	6
612	5
613	6
614	6
615	6
616	4
617	7
618	4
619	10
620	9
621	6
622	6
623	11
624	4
625	10
626	6
627	6
628	7
629	5
630	12
631	5
632	3
633	10
634	7
635	6
636	7
637	7
638	14
639	13
640	2
641	9
642	9
643	2
644	7
645	7
646	3
647	11
648	3
649	9
650	11
651	8
652	10
653	9
654	8
655	9
656	7
657	5
658	9
659	5
660	12
661	7
662	15
663	6
664	11
665	16
666	12
667	9
668	6
669	13
670	9
671	8
672	3
673	8
674	8
675	9
676	5
677	11
678	5
679	8
680	6
681	7
682	8
683	10
684	5
685	12
686	15
687	13
688	6
689	7
690	8
691	12
692	11
693	8
694	16
695	16
696	4
697	13
698	12
699	11
700	14
701	7
702	14
703	11
704	13
705	13
706	15
707	12
708	13
709	14
710	24
711	21
712	26
713	23
714	19
715	21
716	33
717	21
718	13
719	25
720	13
721	20
722	27
723	33
724	30
725	26
726	41
727	33
728	33
729	57
730	29
731	49
732	31
733	51
734	54
735	73
736	27
737	40
738	50
739	64
740	77
741	66
742	79
743	79
744	68
745	107
746	97
747	103
748	99
749	99
750	110
751	104
752	90
753	127
754	114
755	156
756	140
757	134
758	165
759	165
760	99
761	171
762	139
763	182
764	167
765	196
766	173
767	265
768	109
769	174
770	187
771	213
772	195
773	193
774	224
775	183
776	176
777	237
778	180
779	211
780	219
781	213
782	211
783	245
784	161
785	224
786	209
787	252
788	176
789	194
790	209
791	214
792	179
793	223
794	177
795	222
796	174
797	210
798	169
799	233
800	114
801	168
802	148
803	156
804	185
805	114
806	174
807	158
808	123
809	138
810	112
811	125
812	117
813	112
814	94
815	112
816	86
817	106
818	95
819	95
820	78
821	82
822	105
823	80
824	66
825	83
826	58
827	69
828	70
829	57
830	64
831	86
832	34
833	47
834	48
835	55
836	62
837	58
838	59
839	37
840	50
841	60
842	51
843	44
844	67
845	54
846	40
847	48
848	23
849	47
850	54
851	77
852	55
853	40
854	63
855	53
856	59
857	55
858	48
859	59
860	58
861	53
862	66
863	78
864	41
865	70
866	62
867	73
868	86
869	59
870	76
871	65
872	60
873	77
874	57
875	75
876	86
877	77
878	71
879	70
880	46
881	74
882	64
883	74
884	75
885	63
886	87
887	61
888	48
889	82
890	63
891	64
892	71
893	72
894	84
895	86
896	47
897	62
898	61
899	61
900	69
901	63
902	74
903	65
904	43
905	63
906	61
907	50
908	58
909	49
910	46
911	59
912	40
913	36
914	45
915	47
916	37
917	37
918	35
919	37
920	22
921	42
922	23
923	37
924	22
925	32
926	30
927	48
928	17
929	28
930	28
931	37
932	21
933	27
934	26
935	26
936	15
937	25
938	17
939	27
940	17
941	26
942	14
943	23
944	13
945	18
946	20
947	28
948	16
949	20
950	23
951	27
952	6
953	28
954	10
955	20
956	10
957	16
958	23
959	19
960	13
961	18
962	15
963	22
964	19
965	6
966	20
967	14
968	10
969	16
970	17
971	20
972	20
973	21
974	23
975	25
976	10
977	20
978	17
979	24
980	11
981	13
982	25
983	16
984	21
985	20
986	14
987	9
988	16
989	23
990	19
991	31
992	9
993	25
994	17
995	20
996	24
997	13
998	22
999	13
1000	14
1001	14
1002	10
1003	16
1004	22
1005	11
1006	20
1007	17
1008	13
1009	11
1010	19
1011	20
1012	13
1013	17
1014	18
1015	16
1016	15
1017	18
1018	14
1019	25
1020	13
1021	19
1022	14
1023	34
1024	5
1025	11
1026	16
1027	21
1028	15
1029	10
1030	25
1031	18
1032	5
1033	15
1034	10
1035	16
1036	16
1037	20
1038	16
1039	26
1040	6
1041	13
1042	16
1043	20
1044	21
1045	22
1046	24
1047	13
1048	9
1049	22
1050	17
1051	14
1052	14
1053	23
1054	16
1055	26
1056	10
1057	21
1058	20
1059	33
1060	25
1061	14
1062	21
1063	22
1064	14
1065	26
1066	14
1067	18
1068	27
1069	19
1070	18
1071	21
1072	12
1073	19
1074	22
1075	21
1076	14
1077	19
1078	14
1079	27
1080	12
1081	23
1082	17
1083	25
1084	16
1085	19
1086	13
1087	28
1088	10
1089	19
1090	22
1091	17
1092	25
1093	21
1094	28
1095	20
1096	20
1097	30
1098	17
1099	19
1100	12
1101	16
1102	17
1103	24
1104	15
1105	12
1106	24
1107	29
1108	15
1109	14
1110	19
1111	22
1112	16
1113	30
1114	9
1115	24
1116	15
1117	19
1118	16
1119	41
1120	8
1121	20
1122	21
1123	21
1124	27
1125	23
1126	21
1127	20
1128	18
1129	12
1130	17
1131	20
1132	23
1133	27
1134	13
1135	20
1136	13
1137	18
1138	15
1139	18
1140	14
1141	16
1142	15
1143	22
1144	15
1145	14
1146	17
1147	17
1148	19
1149	25
1150	20
1151	35
1152	6
1153	19
1154	17
1155	16
1156	23
1157	16
1158	27
1159	23
1160	12
1161	28
1162	13
1163	20
1164	22
1165	16
1166	16
1167	24
1168	13
1169	17
1170	26
1171	23
1172	26
1173	17
1174	33
1175	20
1176	21
1177	20
1178	25
1179	27
1180	12
1181	21
1182	19
1183	38
1184	11
1185	24
1186	25
1187	27
1188	16
1189	13
1190	29
1191	24
1192	11
1193	22
1194	27
1195	24
1196	19
1197	24
1198	21
1199	28
1200	16
1201	22
1202	23
1203	29
1204	21
1205	16
1206	19
1207	30
1208	13
1209	23
1210	22
1211	27
1212	12
1213	18
1214	23
1215	27
1216	11
1217	19
1218	32
1219	24
1220	24
1221	11
1222	21
1223	27
1224	13
1225	28
1226	17
1227	22
1228	17
1229	27
1230	28
1231	28
1232	17
1233	18
1234	17
1235	28
1236	17
1237	18
1238	17
1239	19
1240	17
1241	19
1242	19
1243	14
1244	23
1245	22
1246	22
1247	23
1248	12
1249	9
1250	20
1251	27
1252	25
1253	22
1254	20
1255	21
1256	22
1257	34
1258	14
1259	9
1260	26
1261	15
1262	18
1263	21
1264	15
1265	17
1266	18
1267	19
1268	28
1269	11
1270	20
1271	18
1272	15
1273	30
1274	14
1275	23
1276	18
1277	23
1278	20
1279	26
1280	6
1281	25
1282	20
1283	25
1284	19
1285	17
1286	23
1287	20
1288	15
1289	19
1290	16
1291	15
1292	19
1293	13
1294	10
1295	19
1296	11
1297	16
1298	17
1299	22
1300	14
1301	19
1302	18
1303	14
1304	20
1305	24
1306	18
1307	23
1308	20
1309	24
1310	17
1311	18
1312	16
1313	21
1314	15
1315	19
1316	24
1317	23
1318	13
1319	22
1320	17
1321	26
1322	11
1323	22
1324	23
1325	13
1326	20
1327	16
1328	12
1329	13
1330	29
1331	34
1332	20
1333	14
1334	19
1335	23
1336	22
1337	21
1338	22
1339	24
1340	20
1341	11
1342	14
1343	19
1344	9
1345	22
1346	26
1347	15
1348	29
1349	21
1350	26
1351	20
1352	18
1353	30
1354	17
1355	20
1356	13
1357	16
1358	15
1359	19
1360	13
1361	17
1362	23
1363	27
1364	19
1365	18
1366	16
1367	17
1368	21
1369	21
1370	19
1371	22
1372	13
1373	22
1374	24
1375	30
1376	13
1377	19
1378	22
1379	18
1380	21
1381	16
1382	17
1383	16
1384	9
1385	22
1386	13
1387	31
1388	30
1389	17
1390	23
1391	20
1392	17
1393	16
1394	21
1395	28
1396	18
1397	14
1398	22
1399	17
1400	12
1401	21
1402	12
1403	17
1404	8
1405	20
1406	13
1407	30
1408	5
1409	19
1410	24
1411	21
1412	21
1413	18
1414	18
1415	17
1416	19
1417	18
1418	12
1419	26
1420	24
1421	13
1422	19
1423	17
1424	19
1425	19
1426	21
1427	26
1428	20
1429	22
1430	26
1431	17
1432	14
1433	25
1434	16
1435	25
1436	23
1437	25
1438	17
1439	26
1440	12
1441	21
1442	24
1443	21
1444	23
1445	15
1446	22
1447	18
1448	15
1449	23
1450	17
1451	24
1452	21
1453	14
1454	22
1455	24
1456	16
1457	17
1458	14
1459	25
1460	17
1461	19
1462	19
1463	10
1464	16
1465	23
1466	14
1467	17
1468	14
1469	21
1470	17
1471	26
1472	15
1473	21
1474	23
1475	21
1476	21
1477	17
1478	21
1479	15
1480	18
1481	20
1482	16
1483	24
1484	28
1485	21
1486	15
1487	10
1488	15
1489	14
1490	24
1491	14
1492	23
1493	11
1494	23
1495	26
1496	18
1497	25
1498	13
1499	19
1500	18
1501	24
1502	20
1503	26
1504	8
1505	23
1506	14
1507	18
1508	26
1509	20
1510	26
1511	20
1512	14
1513	20
1514	30
1515	20
1516	23
1517	21
1518	21
1519	11
1520	15
1521	14
1522	19
1523	15
1524	17
1525	14
1526	24
1527	16
1528	13
1529	19
1530	17
1531	16
1532	14
1533	19
1534	19
1535	34
1536	8
1537	10
1538	19
1539	22
1540	16
1541	16
1542	16
1543	19
1544	12
1545	18
1546	18
1547	15
1548	20
1549	15
1550	18
1551	15
1552	15
1553	18
1554	22
1555	20
1556	14
1557	13
1558	20
1559	20
1560	14
1561	27
1562	17
1563	24
1564	22
1565	27
1566	9
1567	20
1568	13
1569	16
1570	24
1571	20
1572	24
1573	7
1574	18
1575	13
1576	11
1577	16
1578	11
1579	12
1580	20
1581	16
1582	11
1583	10
1584	14
1585	17
1586	23
1587	16
1588	18
1589	8
1590	18
1591	15
1592	12
1593	12
1594	16
1595	19
1596	13
1597	17
1598	16
1599	16
1600	14
1601	10
1602	11
1603	12
1604	16
1605	14
1606	23
1607	11
1608	16
1609	15
1610	9
1611	17
1612	16
1613	22
1614	25
1615	18
1616	5
1617	16
1618	16
1619	22
1620	15
1621	14
1622	13
1623	9
1624	14
1625	18
1626	8
1627	17
1628	16
1629	14
1630	19
1631	28
1632	11
1633	18
1634	13
1635	19
1636	15
1637	15
1638	14
1639	15
1640	16
1641	17
1642	10
1643	19
1644	22
1645	15
1646	20
1647	13
1648	10
1649	17
1650	13
1651	20
1652	10
1653	13
1654	20
1655	15
1656	8
1657	11
1658	8
1659	13
1660	18
1661	9
1662	10
1663	22
1664	10
1665	14
1666	12
1667	14
1668	20
1669	13
1670	10
1671	17
1672	11
1673	25
1674	11
1675	15
1676	18
1677	19
1678	16
1679	18
1680	13
1681	14
1682	15
1683	15
1684	10
1685	14
1686	11
1687	17
1688	11
1689	14
1690	6
1691	16
1692	13
1693	11
1694	15
1695	7
1696	8
1697	12
1698	10
1699	15
1700	10
1701	9
1702	12
1703	24
1704	11
1705	10
1706	15
1707	14
1708	15
1709	6
1710	11
1711	15
1712	10
1713	13
1714	20
1715	14
1716	14
1717	13
1718	14
1719	11
1720	13
1721	16
1722	15
1723	13
1724	10
1725	14
1726	17
1727	14
1728	9
1729	14
1730	15
1731	14
1732	12
1733	12
1734	16
1735	11
1736	7
1737	12
1738	16
1739	14
1740	12
1741	9
1742	19
1743	12
1744	6
1745	14
1746	19
1747	15
1748	10
1749	9
1750	10
1751	7
1752	11
1753	10
1754	13
1755	14
1756	13
1757	11
1758	11
1759	16
1760	9
1761	7
1762	16
1763	10
1764	23
1765	6
1766	13
1767	10
1768	6
1769	16
1770	11
1771	10
1772	9
1773	11
1774	9
1775	13
1776	12
1777	6
1778	12
1779	17
1780	11
1781	8
1782	11
1783	16
1784	7
1785	21
1786	13
1787	17
1788	13
1789	8
1790	17
1791	17
1792	4
1793	10
1794	10
1795	6
1796	8
1797	18
1798	9
1799	8
1800	13
1801	16
1802	11
1803	6
1804	21
1805	16
1806	14
1807	18
1808	18
1809	12
1810	7
1811	10
1812	12
1813	8
1814	18
1815	6
1816	9
1817	9
1818	9
1819	13
1820	8
1821	7
1822	9
1823	15
1824	7
1825	13
1826	13
1827	10
1828	12
1829	10
1830	14
1831	13
1832	6
1833	15
1834	6
1835	13
1836	10
1837	9
1838	17
1839	11
1840	10
1841	18
1842	11
1843	13
1844	9
1845	7
1846	19
1847	9
1848	17
1849	11
1850	15
1851	15
1852	16
1853	16
1854	15
1855	16
1856	9
1857	16
1858	13
1859	15
1860	20
1861	12
1862	16
1863	14
1864	11
1865	16
1866	10
1867	17
1868	12
1869	15
1870	18
1871	20
1872	17
1873	15
1874	23
1875	27
1876	21
1877	18
1878	23
1879	11
1880	27
1881	25
1882	20
1883	26
1884	16
1885	24
1886	18
1887	22
1888	17
1889	16
1890	26
1891	21
1892	41
1893	12
1894	32
1895	42
1896	22
1897	32
1898	19
1899	24
1900	39
1901	27
1902	23
1903	28
1904	18
1905	19
1906	19
1907	22
1908	23
1909	19
1910	31
1911	23
1912	22
1913	33
1914	32
1915	33
1916	36
1917	34
1918	22
1919	28
1920	22
1921	19
1922	21
1923	16
1924	28
1925	18
1926	23
1927	13
1928	21
1929	21
1930	13
1931	23
1932	31
1933	17
1934	20
1935	16
1936	13
1937	19
1938	22
1939	31
1940	19
1941	14
1942	21
1943	6
1944	8
1945	24
1946	14
1947	22
1948	10
1949	13
1950	11
1951	6
1952	11
1953	8
1954	18
1955	6
1956	13
1957	8
1958	12
1959	11
1960	6
1961	9
1962	12
1963	11
1964	17
1965	7
1966	9
1967	6
1968	7
1969	4
1970	6
1971	13
1972	14
1973	9
1974	16
1975	6
1976	4
1977	10
1978	6
1979	9
1980	13
1981	12
1982	7
1983	9
1984	7
1985	8
1986	9
1987	4
1988	7
1989	8
1990	2
1991	9
1992	9
1993	9
1994	2
1995	4
1996	8
1997	14
1998	11
1999	4
2000	9
2001	5
2002	9
2003	6
2004	10
2005	4
2006	9
2007	4
2008	10
2009	14
2010	11
2011	10
2012	6
2013	10
2014	5
2015	8
2016	7
2017	3
2018	5
2019	8
2020	17
2021	3
2022	8
2023	2
2024	9
2025	7
2026	4
2027	4
2028	6
2029	9
2030	6
2031	2
2032	7
