Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	0
55	1
56	1
57	0
58	3
59	3
60	3
61	3
62	6
63	5
64	1
65	3
66	3
67	1
68	2
69	3
70	0
71	2
72	3
73	1
74	1
75	1
76	1
77	2
78	2
79	1
80	1
81	4
82	1
83	0
84	3
85	4
86	3
87	2
88	0
89	4
90	0
91	3
92	4
93	4
94	6
95	8
96	0
97	0
98	1
99	4
100	3
101	1
102	3
103	2
104	1
105	1
106	5
107	5
108	6
109	3
110	4
111	6
112	2
113	2
114	5
115	3
116	1
117	3
118	0
119	0
120	4
121	3
122	0
123	2
124	1
125	4
126	4
127	2
128	1
129	1
130	1
131	4
132	2
133	3
134	2
135	2
136	3
137	4
138	4
139	6
140	0
141	2
142	4
143	3
144	1
145	1
146	1
147	6
148	3
149	2
150	0
151	3
152	2
153	1
154	4
155	3
156	2
157	4
158	2
159	3
160	1
161	1
162	1
163	0
164	5
165	4
166	3
167	1
168	1
169	0
170	3
171	2
172	0
173	6
174	4
175	3
176	3
177	3
178	1
179	0
180	1
181	2
182	1
183	7
184	0
185	3
186	2
187	2
188	1
189	1
190	4
191	6
192	2
193	3
194	2
195	3
196	4
197	3
198	0
199	1
200	5
201	1
202	3
203	4
204	3
205	2
206	3
207	5
208	1
209	4
210	2
211	3
212	1
213	4
214	3
215	1
216	1
217	2
218	5
219	5
220	0
221	2
222	3
223	2
224	2
225	3
226	1
227	2
228	0
229	1
230	3
231	2
232	4
233	3
234	2
235	4
236	0
237	2
238	5
239	3
240	1
241	1
242	4
243	2
244	3
245	0
246	2
247	3
248	5
249	3
250	4
251	2
252	4
253	5
254	5
255	5
256	0
257	6
258	1
259	2
260	3
261	2
262	7
263	5
264	4
265	3
266	6
267	2
268	7
269	5
270	4
271	8
272	0
273	5
274	3
275	4
276	1
277	4
278	2
279	4
280	3
281	7
282	5
283	7
284	3
285	6
286	2
287	2
288	2
289	2
290	7
291	4
292	3
293	3
294	4
295	3
296	4
297	3
298	2
299	3
300	4
301	7
302	5
303	6
304	5
305	4
306	6
307	5
308	6
309	4
310	5
311	7
312	4
313	3
314	7
315	4
316	6
317	4
318	1
319	7
320	1
321	3
322	5
323	2
324	3
325	3
326	0
327	5
328	3
329	3
330	6
331	4
332	3
333	0
334	6
335	5
336	0
337	2
338	5
339	8
340	5
341	5
342	3
343	3
344	3
345	3
346	6
347	0
348	4
349	1
350	0
351	2
352	1
353	3
354	4
355	3
356	4
357	2
358	3
359	5
360	3
361	2
362	0
363	1
364	4
365	7
366	2
367	4
368	1
369	5
370	3
371	2
372	1
373	6
374	3
375	2
376	2
377	3
378	4
379	3
380	0
381	3
382	1
383	2
384	0
385	5
386	3
387	3
388	1
389	7
390	1
391	2
392	1
393	1
394	1
395	3
396	0
397	2
398	5
399	5
400	3
401	3
402	5
403	4
404	6
405	2
406	3
407	4
408	0
409	5
410	3
411	5
412	3
413	4
414	2
415	3
416	1
417	0
418	2
419	3
420	1
421	1
422	3
423	2
424	2
425	5
426	5
427	5
428	3
429	3
430	1
431	4
432	1
433	1
434	3
435	4
436	2
437	8
438	1
439	3
440	3
441	4
442	3
443	2
444	5
445	4
446	2
447	2
448	1
449	5
450	4
451	2
452	1
453	2
454	5
455	3
456	4
457	5
458	2
459	3
460	2
461	3
462	4
463	6
464	3
465	3
466	2
467	5
468	5
469	5
470	6
471	6
472	1
473	4
474	3
475	5
476	2
477	4
478	5
479	3
480	6
481	3
482	4
483	2
484	5
485	2
486	4
487	9
488	4
489	5
490	8
491	2
492	3
493	3
494	4
495	4
496	5
497	6
498	3
499	3
500	6
501	4
502	4
503	3
504	2
505	6
506	1
507	5
508	7
509	1
510	3
511	4
512	0
513	4
514	6
515	4
516	3
517	3
518	4
519	4
520	1
521	4
522	4
523	7
524	8
525	6
526	2
527	1
528	5
529	2
530	7
531	3
532	5
533	4
534	3
535	5
536	4
537	4
538	1
539	8
540	7
541	3
542	3
543	6
544	3
545	2
546	7
547	7
548	7
549	3
550	5
551	2
552	5
553	7
554	7
555	3
556	4
557	3
558	4
559	8
560	3
561	8
562	2
563	11
564	3
565	2
566	3
567	8
568	4
569	6
570	5
571	5
572	3
573	6
574	3
575	9
576	1
577	3
578	4
579	3
580	4
581	7
582	5
583	7
584	7
585	6
586	7
587	4
588	12
589	6
590	8
591	2
592	6
593	6
594	6
595	2
596	6
597	5
598	12
599	8
600	1
601	2
602	4
603	5
604	8
605	8
606	6
607	4
608	4
609	9
610	10
611	10
612	14
613	9
614	5
615	6
616	5
617	11
618	7
619	4
620	7
621	12
622	6
623	15
624	4
625	6
626	18
627	15
628	22
629	8
630	15
631	12
632	15
633	25
634	19
635	16
636	18
637	29
638	29
639	32
640	9
641	24
642	19
643	34
644	39
645	29
646	47
647	31
648	30
649	69
650	51
651	59
652	63
653	66
654	58
655	75
656	58
657	79
658	90
659	80
660	86
661	98
662	124
663	136
664	104
665	169
666	114
667	158
668	138
669	170
670	155
671	277
672	116
673	186
674	191
675	223
676	231
677	203
678	279
679	260
680	198
681	307
682	238
683	312
684	315
685	314
686	305
687	331
688	246
689	332
690	328
691	346
692	379
693	306
694	425
695	411
696	315
697	423
698	386
699	427
700	377
701	378
702	398
703	532
704	279
705	402
706	420
707	389
708	454
709	345
710	461
711	392
712	374
713	456
714	335
715	429
716	410
717	388
718	393
719	436
720	287
721	361
722	359
723	380
724	338
725	310
726	376
727	302
728	330
729	335
730	257
731	312
732	264
733	288
734	273
735	361
736	187
737	222
738	236
739	206
740	253
741	193
742	234
743	195
744	141
745	199
746	147
747	122
748	174
749	160
750	136
751	130
752	79
753	119
754	118
755	123
756	110
757	86
758	105
759	84
760	81
761	124
762	78
763	59
764	66
765	60
766	68
767	112
768	47
769	65
770	68
771	71
772	66
773	68
774	61
775	50
776	69
777	76
778	53
779	84
780	61
781	60
782	77
783	80
784	48
785	62
786	73
787	65
788	52
789	42
790	77
791	65
792	58
793	87
794	55
795	85
796	72
797	74
798	68
799	81
800	45
801	69
802	54
803	75
804	86
805	59
806	73
807	63
808	54
809	77
810	58
811	72
812	71
813	72
814	74
815	68
816	50
817	76
818	64
819	59
820	61
821	51
822	62
823	58
824	40
825	63
826	39
827	57
828	38
829	43
830	38
831	50
832	15
833	36
834	36
835	27
836	33
837	29
838	22
839	34
840	19
841	31
842	18
843	25
844	27
845	24
846	19
847	21
848	12
849	9
850	8
851	11
852	10
853	8
854	23
855	7
856	14
857	11
858	13
859	10
860	8
861	8
862	7
863	9
864	5
865	8
866	7
867	4
868	7
869	8
870	0
871	1
872	3
873	4
874	1
875	4
876	3
877	1
878	4
879	2
880	1
881	2
882	0
883	1
884	1
885	2
886	2
887	0
888	1
889	2
890	1
891	3
892	0
893	2
894	1
895	3
896	0
897	3
898	0
899	0
900	0
901	1
902	1
903	1
904	0
905	0
906	1
907	1
908	0
909	0
910	0
911	0
912	0
913	0
914	2
915	2
916	0
917	0
918	1
919	0
920	1
921	0
922	2
923	1
924	0
925	0
926	1
927	0
928	1
929	1
930	0
931	0
932	3
933	0
934	0
935	2
936	0
937	0
938	0
939	2
940	0
941	1
942	2
943	0
944	0
945	0
946	0
947	1
948	0
949	0
950	0
951	0
952	0
953	0
954	2
955	1
956	0
957	0
958	1
959	0
960	2
961	0
962	0
963	0
964	1
965	1
966	1
967	1
968	0
969	1
970	0
971	0
972	1
973	1
974	1
975	1
976	0
977	0
978	1
979	2
980	1
981	1
982	0
983	1
984	0
985	1
986	1
987	3
988	0
989	4
990	0
991	0
992	1
993	0
994	2
995	2
996	0
997	0
998	0
999	0
1000	1
1001	2
1002	3
1003	0
1004	1
1005	0
1006	0
1007	1
1008	0
1009	0
1010	0
1011	2
1012	0
1013	1
1014	0
1015	1
1016	2
1017	1
1018	1
1019	0
1020	1
1021	0
1022	0
1023	4
1024	1
1025	0
1026	0
1027	2
1028	1
1029	0
1030	0
1031	0
1032	0
1033	0
1034	1
1035	0
1036	0
1037	0
1038	1
1039	0
1040	0
1041	0
1042	1
1043	0
1044	1
1045	0
1046	1
1047	1
1048	1
1049	1
1050	0
1051	2
1052	0
1053	2
1054	2
1055	0
1056	0
1057	0
1058	1
1059	0
1060	1
1061	0
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	1
1069	0
1070	0
1071	0
1072	1
1073	2
1074	1
1075	0
1076	0
1077	0
1078	2
1079	0
1080	1
1081	1
1082	0
1083	0
1084	1
1085	0
1086	3
1087	0
1088	0
1089	1
1090	0
1091	0
1092	1
1093	2
1094	2
1095	1
1096	0
1097	1
1098	1
1099	1
1100	1
1101	0
1102	2
1103	0
1104	0
1105	0
1106	0
1107	2
1108	0
1109	1
1110	2
1111	0
1112	1
1113	0
1114	1
1115	1
1116	1
1117	0
1118	0
1119	2
1120	1
1121	0
1122	0
1123	5
1124	2
1125	0
1126	1
1127	1
1128	1
1129	1
1130	0
1131	1
1132	2
1133	0
1134	0
1135	0
1136	0
1137	0
1138	2
1139	1
1140	2
1141	0
1142	1
1143	1
1144	0
1145	0
1146	1
1147	3
1148	1
1149	1
1150	1
1151	1
1152	1
1153	1
1154	0
1155	1
1156	3
1157	0
1158	1
1159	1
1160	1
1161	1
1162	0
1163	0
1164	1
1165	0
1166	1
1167	1
1168	0
1169	0
1170	2
1171	0
1172	0
1173	0
1174	1
1175	1
1176	0
1177	0
1178	2
1179	1
1180	1
1181	0
1182	3
1183	2
1184	0
1185	1
1186	0
1187	0
1188	2
1189	1
1190	1
1191	1
1192	1
1193	1
1194	0
1195	0
1196	0
1197	0
1198	1
1199	0
1200	1
1201	2
1202	0
1203	1
1204	0
1205	0
1206	0
1207	1
1208	0
1209	1
1210	1
1211	0
1212	1
1213	3
1214	1
1215	0
1216	0
1217	1
1218	0
1219	0
1220	1
1221	1
1222	0
1223	0
1224	1
1225	2
1226	0
1227	1
1228	1
1229	1
1230	1
1231	0
1232	0
1233	1
1234	0
1235	0
1236	0
1237	0
1238	0
1239	1
1240	1
1241	1
1242	2
1243	2
1244	1
1245	1
1246	2
1247	1
1248	2
1249	2
1250	1
1251	2
1252	1
1253	3
1254	0
1255	1
1256	0
1257	0
1258	0
1259	1
1260	0
1261	4
1262	0
1263	0
1264	2
1265	1
1266	1
1267	1
1268	0
1269	0
1270	0
1271	0
1272	0
1273	1
1274	1
1275	2
1276	1
1277	0
1278	1
1279	1
1280	0
1281	0
1282	0
1283	1
1284	2
1285	0
1286	2
1287	0
1288	0
1289	0
1290	1
1291	0
1292	1
1293	1
1294	0
1295	1
1296	1
1297	2
1298	0
1299	0
1300	1
1301	1
1302	2
1303	1
1304	0
1305	1
1306	1
1307	0
1308	0
1309	1
1310	0
1311	1
1312	1
1313	0
1314	3
1315	3
1316	1
1317	1
1318	0
1319	0
1320	0
1321	1
1322	0
1323	0
1324	0
1325	0
1326	0
1327	1
1328	0
1329	0
1330	2
1331	0
1332	0
1333	1
1334	0
1335	0
1336	1
1337	0
1338	1
1339	1
1340	1
1341	2
1342	1
1343	2
1344	1
1345	1
1346	0
1347	1
1348	2
1349	3
1350	0
1351	0
1352	0
1353	0
1354	0
1355	1
1356	1
1357	1
1358	0
1359	3
1360	0
1361	0
1362	0
1363	2
1364	2
1365	2
1366	1
1367	1
1368	1
1369	1
1370	0
1371	1
1372	1
1373	2
1374	3
1375	3
1376	0
1377	2
1378	0
1379	1
1380	1
1381	3
1382	0
1383	0
1384	1
1385	0
1386	2
1387	1
1388	0
1389	0
1390	2
1391	3
1392	2
1393	1
1394	1
1395	1
1396	2
1397	0
1398	1
1399	2
1400	2
1401	0
1402	1
1403	1
1404	1
1405	0
1406	2
1407	2
1408	0
1409	4
1410	1
1411	0
1412	0
1413	3
1414	0
1415	1
1416	1
1417	1
1418	2
1419	0
1420	1
1421	1
1422	1
1423	1
1424	2
1425	0
1426	1
1427	1
1428	0
1429	2
1430	1
1431	0
1432	1
1433	1
1434	1
1435	3
1436	0
1437	0
1438	0
1439	1
1440	0
1441	1
1442	0
1443	3
1444	0
1445	0
1446	0
1447	2
1448	2
1449	1
1450	1
1451	2
1452	0
1453	0
1454	0
1455	1
1456	0
1457	1
1458	1
1459	1
1460	1
1461	0
1462	1
1463	0
1464	0
1465	1
1466	0
1467	1
1468	1
1469	0
1470	0
1471	2
1472	1
1473	2
1474	2
1475	0
1476	2
1477	1
1478	1
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	1
1487	0
1488	1
1489	1
1490	2
1491	0
1492	0
1493	0
1494	1
1495	1
1496	0
1497	0
1498	0
1499	1
1500	1
1501	1
1502	0
1503	2
1504	0
1505	1
1506	2
1507	0
1508	1
1509	1
1510	1
1511	0
1512	0
1513	2
1514	0
1515	0
1516	0
1517	1
1518	0
1519	0
1520	0
1521	0
1522	0
1523	3
1524	1
1525	0
1526	1
1527	1
1528	3
1529	0
1530	1
1531	0
1532	1
1533	0
1534	2
1535	2
1536	1
1537	0
1538	3
1539	1
1540	1
1541	1
1542	1
1543	0
1544	0
1545	2
1546	0
1547	0
1548	2
1549	1
1550	0
1551	1
1552	1
1553	0
1554	1
1555	0
1556	0
1557	1
1558	3
1559	1
1560	1
1561	2
1562	1
1563	1
1564	1
1565	0
1566	1
1567	2
1568	1
1569	2
1570	0
1571	1
1572	0
1573	1
1574	1
1575	0
1576	1
1577	1
1578	0
1579	0
1580	0
1581	1
1582	2
1583	3
1584	0
1585	1
1586	2
1587	4
1588	1
1589	0
1590	2
1591	1
1592	0
1593	0
1594	1
1595	2
1596	2
1597	0
1598	4
1599	1
1600	2
1601	1
1602	1
1603	0
1604	0
1605	0
1606	1
1607	2
1608	3
1609	5
1610	0
1611	2
1612	1
1613	1
1614	0
1615	2
1616	1
1617	4
1618	0
1619	2
1620	1
1621	1
1622	1
1623	0
1624	1
1625	2
1626	0
1627	2
1628	0
1629	0
1630	2
1631	2
1632	0
1633	1
1634	2
1635	3
1636	1
1637	0
1638	0
1639	0
1640	0
1641	0
1642	1
1643	1
1644	1
1645	0
1646	2
1647	0
1648	0
1649	2
1650	2
1651	0
1652	0
1653	0
1654	0
1655	2
1656	0
1657	0
1658	0
1659	0
1660	1
1661	1
1662	0
1663	0
1664	0
1665	3
1666	1
1667	0
1668	0
1669	1
1670	2
1671	0
1672	1
1673	2
1674	1
1675	0
1676	0
1677	1
1678	0
1679	0
1680	1
1681	2
1682	1
1683	1
1684	0
1685	1
1686	1
1687	1
1688	0
1689	0
1690	2
1691	2
1692	2
1693	0
1694	1
1695	2
1696	1
1697	1
1698	0
1699	2
1700	2
1701	1
1702	0
1703	1
1704	2
1705	1
1706	0
1707	0
1708	3
1709	1
1710	0
1711	1
1712	1
1713	2
1714	2
1715	3
1716	2
1717	3
1718	1
1719	1
1720	0
1721	3
1722	1
1723	2
1724	1
1725	3
1726	1
1727	0
1728	0
1729	0
1730	1
1731	0
1732	1
1733	1
1734	0
1735	1
1736	0
1737	1
1738	2
1739	1
1740	1
1741	0
1742	1
1743	2
1744	2
1745	0
1746	0
1747	3
1748	3
1749	0
1750	1
1751	0
1752	2
1753	3
1754	1
1755	1
1756	1
1757	1
1758	0
1759	3
1760	0
1761	1
1762	1
1763	1
1764	1
1765	1
1766	0
1767	0
1768	2
1769	3
1770	0
1771	3
1772	0
1773	0
1774	1
1775	1
1776	1
1777	4
1778	2
1779	4
1780	2
1781	2
1782	3
1783	1
1784	1
1785	3
1786	1
1787	2
1788	0
1789	1
1790	2
1791	1
1792	0
1793	0
1794	2
1795	0
1796	0
1797	1
1798	3
1799	0
1800	3
1801	1
1802	1
1803	1
1804	2
1805	4
1806	1
1807	4
1808	2
1809	1
1810	1
1811	2
1812	3
1813	0
1814	3
1815	1
1816	3
1817	2
1818	2
1819	4
1820	2
1821	2
1822	2
1823	1
1824	1
1825	1
1826	7
1827	2
1828	4
1829	1
1830	4
1831	0
1832	1
1833	1
1834	1
1835	1
1836	2
1837	1
1838	2
1839	0
1840	0
1841	4
1842	4
1843	4
1844	3
1845	0
1846	1
1847	2
1848	2
1849	3
1850	0
1851	4
1852	2
1853	6
1854	2
1855	6
1856	0
1857	0
1858	1
1859	7
1860	1
1861	3
1862	3
1863	1
1864	1
1865	2
1866	4
1867	1
1868	2
1869	1
1870	3
1871	1
1872	3
1873	2
1874	2
1875	9
1876	3
1877	4
1878	3
1879	5
1880	3
1881	6
1882	1
1883	3
1884	0
1885	2
1886	5
1887	2
1888	2
1889	1
1890	1
1891	2
1892	3
1893	1
1894	6
1895	1
1896	1
1897	6
1898	1
1899	4
1900	3
1901	5
1902	4
1903	1
1904	1
1905	0
1906	2
1907	0
1908	0
1909	3
1910	2
1911	1
1912	4
1913	6
1914	4
1915	4
1916	0
1917	3
1918	0
1919	1
1920	3
1921	3
1922	4
1923	0
1924	1
1925	1
1926	1
1927	1
1928	3
1929	2
1930	2
1931	2
1932	4
1933	2
1934	1
1935	1
1936	3
1937	1
1938	2
1939	1
1940	3
1941	2
1942	2
1943	1
1944	1
1945	3
1946	0
1947	2
1948	1
1949	0
1950	3
1951	1
1952	0
1953	1
1954	0
1955	2
1956	1
1957	0
1958	0
1959	0
1960	0
1961	2
1962	1
1963	0
1964	1
1965	0
1966	0
1967	0
1968	0
1969	1
1970	1
1971	2
1972	0
1973	1
1974	2
1975	1
1976	0
1977	4
1978	0
1979	0
1980	1
1981	0
1982	0
1983	0
1984	0
1985	2
1986	0
1987	2
1988	1
1989	0
1990	0
1991	0
1992	1
1993	0
1994	0
1995	1
1996	0
1997	0
1998	1
1999	1
2000	1
2001	2
2002	0
2003	1
2004	1
2005	2
2006	4
2007	0
2008	2
2009	0
2010	2
2011	0
2012	0
2013	1
2014	0
2015	2
2016	0
2017	0
2018	0
2019	1
2020	0
2021	0
2022	0
2023	0
2024	0
2025	1
2026	1
2027	1
2028	1
2029	0
2030	0
2031	1
2032	0
