Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	2
56	0
57	4
58	4
59	1
60	1
61	2
62	2
63	6
64	0
65	3
66	1
67	4
68	4
69	2
70	0
71	3
72	1
73	3
74	1
75	4
76	1
77	0
78	1
79	3
80	1
81	2
82	0
83	3
84	0
85	4
86	0
87	1
88	2
89	4
90	5
91	3
92	2
93	5
94	3
95	2
96	1
97	5
98	2
99	5
100	0
101	3
102	3
103	2
104	1
105	1
106	1
107	4
108	1
109	1
110	2
111	6
112	3
113	3
114	2
115	2
116	1
117	2
118	4
119	2
120	0
121	7
122	2
123	4
124	0
125	1
126	2
127	4
128	0
129	1
130	1
131	0
132	2
133	0
134	3
135	0
136	0
137	2
138	0
139	0
140	0
141	3
142	1
143	6
144	2
145	4
146	4
147	4
148	2
149	1
150	0
151	4
152	4
153	3
154	6
155	2
156	3
157	2
158	4
159	4
160	0
161	4
162	1
163	2
164	2
165	2
166	2
167	3
168	1
169	5
170	2
171	2
172	3
173	3
174	0
175	6
176	1
177	2
178	1
179	1
180	3
181	0
182	5
183	3
184	1
185	2
186	2
187	4
188	1
189	3
190	3
191	5
192	1
193	2
194	2
195	2
196	2
197	2
198	4
199	4
200	0
201	2
202	5
203	5
204	3
205	6
206	3
207	5
208	2
209	5
210	5
211	1
212	1
213	3
214	2
215	1
216	2
217	5
218	1
219	5
220	2
221	3
222	2
223	4
224	4
225	3
226	0
227	2
228	3
229	3
230	6
231	2
232	1
233	0
234	1
235	2
236	5
237	5
238	1
239	2
240	1
241	0
242	2
243	3
244	3
245	2
246	3
247	3
248	1
249	1
250	1
251	4
252	2
253	3
254	3
255	3
256	2
257	1
258	2
259	2
260	0
261	2
262	5
263	0
264	1
265	0
266	3
267	6
268	2
269	1
270	1
271	3
272	0
273	4
274	0
275	0
276	2
277	1
278	3
279	2
280	0
281	0
282	1
283	6
284	1
285	5
286	1
287	1
288	3
289	3
290	4
291	8
292	2
293	0
294	0
295	3
296	4
297	7
298	2
299	3
300	5
301	0
302	6
303	8
304	2
305	4
306	5
307	4
308	2
309	1
310	5
311	3
312	1
313	5
314	4
315	4
316	1
317	3
318	1
319	0
320	2
321	1
322	1
323	3
324	1
325	0
326	7
327	1
328	0
329	0
330	1
331	2
332	1
333	1
334	2
335	4
336	1
337	2
338	3
339	1
340	1
341	3
342	1
343	2
344	2
345	1
346	1
347	2
348	2
349	2
350	4
351	0
352	5
353	2
354	5
355	5
356	5
357	2
358	2
359	3
360	3
361	5
362	3
363	2
364	4
365	2
366	3
367	8
368	2
369	1
370	1
371	0
372	2
373	3
374	7
375	2
376	2
377	5
378	1
379	3
380	5
381	2
382	3
383	8
384	1
385	7
386	2
387	7
388	4
389	4
390	1
391	1
392	1
393	4
394	5
395	2
396	4
397	2
398	2
399	5
400	1
401	1
402	1
403	1
404	2
405	2
406	4
407	5
408	1
409	2
410	2
411	5
412	3
413	3
414	4
415	2
416	2
417	0
418	1
419	2
420	2
421	4
422	1
423	1
424	2
425	3
426	3
427	7
428	2
429	2
430	2
431	3
432	3
433	1
434	2
435	1
436	0
437	1
438	3
439	1
440	2
441	3
442	2
443	1
444	4
445	1
446	4
447	2
448	1
449	8
450	3
451	2
452	2
453	1
454	1
455	2
456	3
457	1
458	3
459	3
460	4
461	4
462	5
463	0
464	7
465	1
466	4
467	6
468	1
469	2
470	0
471	3
472	5
473	2
474	1
475	3
476	0
477	7
478	2
479	3
480	3
481	5
482	4
483	0
484	1
485	4
486	2
487	2
488	3
489	2
490	4
491	3
492	3
493	5
494	1
495	2
496	1
497	4
498	2
499	2
500	3
501	3
502	7
503	3
504	5
505	3
506	6
507	6
508	2
509	3
510	3
511	11
512	1
513	7
514	3
515	9
516	6
517	7
518	12
519	15
520	7
521	12
522	6
523	7
524	9
525	7
526	17
527	12
528	8
529	13
530	13
531	26
532	10
533	19
534	24
535	25
536	20
537	32
538	29
539	28
540	27
541	23
542	32
543	56
544	18
545	25
546	39
547	45
548	41
549	43
550	52
551	60
552	33
553	58
554	62
555	65
556	55
557	56
558	49
559	70
560	44
561	57
562	67
563	67
564	78
565	62
566	82
567	82
568	63
569	67
570	70
571	107
572	72
573	75
574	80
575	129
576	48
577	84
578	109
579	83
580	93
581	88
582	90
583	87
584	77
585	99
586	77
587	84
588	87
589	97
590	81
591	126
592	68
593	85
594	83
595	103
596	70
597	66
598	81
599	73
600	63
601	76
602	73
603	86
604	64
605	63
606	61
607	84
608	43
609	56
610	59
611	55
612	64
613	46
614	46
615	39
616	34
617	51
618	39
619	41
620	36
621	46
622	25
623	41
624	24
625	35
626	33
627	36
628	32
629	26
630	24
631	18
632	25
633	30
634	21
635	22
636	26
637	12
638	24
639	42
640	11
641	26
642	14
643	36
644	24
645	19
646	27
647	17
648	22
649	20
650	20
651	16
652	21
653	23
654	28
655	18
656	15
657	25
658	12
659	16
660	21
661	16
662	14
663	15
664	18
665	25
666	10
667	20
668	17
669	12
670	16
671	27
672	10
673	20
674	20
675	18
676	10
677	11
678	22
679	15
680	19
681	22
682	17
683	8
684	8
685	8
686	13
687	9
688	9
689	12
690	13
691	11
692	9
693	12
694	12
695	9
696	6
697	9
698	3
699	6
700	5
701	8
702	12
703	5
704	2
705	9
706	5
707	4
708	5
709	5
710	5
711	6
712	5
713	2
714	3
715	3
716	4
717	4
718	6
719	4
720	6
721	6
722	4
723	5
724	4
725	3
726	3
727	2
728	2
729	4
730	5
731	3
732	9
733	5
734	0
735	1
736	6
737	4
738	1
739	5
740	4
741	6
742	6
743	7
744	3
745	7
746	7
747	3
748	5
749	6
750	9
751	5
752	3
753	3
754	8
755	5
756	5
757	4
758	8
759	3
760	6
761	6
762	7
763	8
764	9
765	14
766	12
767	9
768	6
769	12
770	7
771	6
772	13
773	5
774	17
775	12
776	13
777	8
778	11
779	11
780	10
781	14
782	21
783	11
784	9
785	15
786	12
787	19
788	17
789	16
790	19
791	20
792	7
793	23
794	15
795	18
796	23
797	32
798	21
799	30
800	26
801	30
802	33
803	32
804	36
805	31
806	54
807	41
808	32
809	43
810	30
811	44
812	41
813	51
814	46
815	41
816	63
817	54
818	60
819	69
820	60
821	70
822	84
823	83
824	43
825	97
826	88
827	93
828	67
829	83
830	89
831	124
832	45
833	106
834	93
835	95
836	84
837	90
838	101
839	84
840	100
841	119
842	84
843	124
844	94
845	119
846	106
847	107
848	65
849	95
850	100
851	118
852	97
853	82
854	97
855	89
856	97
857	111
858	75
859	97
860	100
861	104
862	115
863	110
864	68
865	74
866	89
867	81
868	63
869	75
870	81
871	68
872	45
873	80
874	63
875	52
876	58
877	71
878	68
879	48
880	35
881	44
882	45
883	44
884	46
885	36
886	54
887	46
888	28
889	33
890	25
891	27
892	26
893	25
894	32
895	36
896	13
897	23
898	14
899	15
900	35
901	10
902	22
903	14
904	15
905	24
906	11
907	12
908	21
909	10
910	7
911	15
912	13
913	7
914	15
915	11
916	10
917	11
918	11
919	8
920	6
921	17
922	17
923	16
924	21
925	11
926	14
927	16
928	10
929	13
930	15
931	11
932	20
933	13
934	13
935	21
936	8
937	21
938	13
939	11
940	19
941	16
942	19
943	15
944	16
945	20
946	25
947	19
948	16
949	16
950	18
951	15
952	21
953	16
954	14
955	17
956	19
957	24
958	18
959	18
960	12
961	24
962	16
963	20
964	25
965	15
966	23
967	19
968	19
969	20
970	15
971	25
972	25
973	15
974	10
975	24
976	13
977	11
978	13
979	11
980	12
981	8
982	15
983	13
984	17
985	10
986	9
987	17
988	11
989	16
990	8
991	20
992	5
993	7
994	6
995	4
996	11
997	11
998	11
999	11
1000	13
1001	11
1002	7
1003	7
1004	9
1005	2
1006	7
1007	6
1008	4
1009	6
1010	3
1011	4
1012	3
1013	2
1014	8
1015	8
1016	1
1017	4
1018	7
1019	3
1020	1
1021	7
1022	2
1023	14
1024	2
1025	8
1026	4
1027	1
1028	5
1029	3
1030	5
1031	7
1032	5
1033	1
1034	4
1035	5
1036	3
1037	7
1038	2
1039	3
1040	3
1041	2
1042	6
1043	9
1044	6
1045	5
1046	7
1047	8
1048	5
1049	9
1050	1
1051	10
1052	8
1053	7
1054	6
1055	11
1056	4
1057	13
1058	5
1059	7
1060	7
1061	6
1062	6
1063	5
1064	6
1065	8
1066	6
1067	7
1068	9
1069	9
1070	7
1071	8
1072	5
1073	3
1074	9
1075	10
1076	10
1077	6
1078	10
1079	11
1080	6
1081	9
1082	7
1083	13
1084	4
1085	4
1086	9
1087	12
1088	5
1089	6
1090	8
1091	9
1092	6
1093	6
1094	5
1095	6
1096	9
1097	9
1098	5
1099	8
1100	6
1101	9
1102	10
1103	7
1104	0
1105	4
1106	5
1107	8
1108	3
1109	3
1110	6
1111	4
1112	10
1113	4
1114	7
1115	8
1116	3
1117	4
1118	4
1119	7
1120	3
1121	2
1122	4
1123	1
1124	7
1125	1
1126	9
1127	7
1128	1
1129	2
1130	3
1131	5
1132	5
1133	4
1134	6
1135	1
1136	2
1137	4
1138	1
1139	1
1140	2
1141	4
1142	3
1143	5
1144	2
1145	3
1146	3
1147	3
1148	1
1149	1
1150	2
1151	6
1152	1
1153	4
1154	2
1155	7
1156	8
1157	3
1158	1
1159	4
1160	1
1161	3
1162	5
1163	4
1164	3
1165	1
1166	4
1167	4
1168	2
1169	3
1170	2
1171	2
1172	2
1173	1
1174	1
1175	1
1176	4
1177	2
1178	0
1179	6
1180	1
1181	3
1182	1
1183	6
1184	6
1185	0
1186	3
1187	3
1188	2
1189	1
1190	5
1191	2
1192	1
1193	2
1194	3
1195	2
1196	4
1197	2
1198	2
1199	5
1200	1
1201	1
1202	1
1203	7
1204	3
1205	3
1206	2
1207	4
1208	0
1209	2
1210	1
1211	3
1212	4
1213	1
1214	4
1215	2
1216	1
1217	2
1218	5
1219	5
1220	4
1221	3
1222	5
1223	3
1224	3
1225	3
1226	4
1227	8
1228	2
1229	3
1230	5
1231	2
1232	1
1233	0
1234	3
1235	6
1236	3
1237	1
1238	4
1239	2
1240	2
1241	3
1242	3
1243	3
1244	4
1245	3
1246	4
1247	3
1248	1
1249	1
1250	6
1251	6
1252	4
1253	3
1254	1
1255	2
1256	1
1257	1
1258	7
1259	6
1260	3
1261	5
1262	5
1263	5
1264	3
1265	5
1266	11
1267	6
1268	8
1269	3
1270	4
1271	4
1272	4
1273	5
1274	2
1275	5
1276	3
1277	3
1278	0
1279	9
1280	1
1281	4
1282	3
1283	2
1284	9
1285	7
1286	3
1287	5
1288	8
1289	10
1290	3
1291	4
1292	6
1293	7
1294	10
1295	10
1296	4
1297	5
1298	10
1299	10
1300	8
1301	12
1302	6
1303	7
1304	8
1305	12
1306	3
1307	13
1308	7
1309	12
1310	14
1311	8
1312	6
1313	5
1314	9
1315	5
1316	10
1317	9
1318	16
1319	6
1320	9
1321	10
1322	9
1323	13
1324	12
1325	10
1326	7
1327	12
1328	13
1329	10
1330	10
1331	13
1332	8
1333	8
1334	14
1335	8
1336	5
1337	4
1338	7
1339	9
1340	10
1341	9
1342	12
1343	13
1344	1
1345	3
1346	12
1347	5
1348	5
1349	12
1350	8
1351	9
1352	7
1353	1
1354	1
1355	9
1356	7
1357	7
1358	6
1359	13
1360	8
1361	7
1362	5
1363	3
1364	5
1365	5
1366	9
1367	5
1368	10
1369	5
1370	3
1371	8
1372	5
1373	5
1374	1
1375	8
1376	2
1377	5
1378	3
1379	6
1380	6
1381	1
1382	11
1383	4
1384	2
1385	4
1386	9
1387	6
1388	5
1389	1
1390	1
1391	4
1392	3
1393	2
1394	2
1395	1
1396	0
1397	4
1398	3
1399	3
1400	5
1401	7
1402	2
1403	3
1404	3
1405	1
1406	2
1407	3
1408	4
1409	7
1410	3
1411	4
1412	5
1413	0
1414	9
1415	6
1416	2
1417	2
1418	3
1419	4
1420	4
1421	1
1422	3
1423	3
1424	4
1425	6
1426	5
1427	6
1428	2
1429	3
1430	5
1431	1
1432	2
1433	2
1434	2
1435	0
1436	3
1437	6
1438	1
1439	7
1440	4
1441	2
1442	5
1443	6
1444	1
1445	7
1446	1
1447	7
1448	3
1449	2
1450	4
1451	3
1452	6
1453	3
1454	3
1455	3
1456	5
1457	6
1458	2
1459	3
1460	4
1461	3
1462	2
1463	2
1464	1
1465	2
1466	4
1467	5
1468	2
1469	4
1470	3
1471	2
1472	4
1473	2
1474	4
1475	4
1476	3
1477	4
1478	4
1479	2
1480	2
1481	4
1482	1
1483	4
1484	4
1485	3
1486	3
1487	5
1488	2
1489	2
1490	7
1491	3
1492	4
1493	6
1494	6
1495	1
1496	6
1497	4
1498	0
1499	1
1500	3
1501	2
1502	7
1503	9
1504	3
1505	5
1506	6
1507	2
1508	5
1509	3
1510	2
1511	2
1512	7
1513	3
1514	2
1515	3
1516	0
1517	2
1518	3
1519	5
1520	6
1521	3
1522	1
1523	4
1524	3
1525	3
1526	4
1527	2
1528	1
1529	3
1530	3
1531	5
1532	6
1533	4
1534	6
1535	6
1536	1
1537	3
1538	3
1539	1
1540	7
1541	3
1542	2
1543	7
1544	3
1545	4
1546	3
1547	4
1548	3
1549	5
1550	3
1551	3
1552	4
1553	1
1554	2
1555	5
1556	1
1557	4
1558	2
1559	6
1560	1
1561	5
1562	5
1563	5
1564	4
1565	6
1566	1
1567	8
1568	5
1569	3
1570	6
1571	2
1572	7
1573	3
1574	1
1575	7
1576	3
1577	1
1578	3
1579	5
1580	4
1581	2
1582	4
1583	3
1584	5
1585	3
1586	7
1587	1
1588	4
1589	3
1590	6
1591	7
1592	2
1593	5
1594	4
1595	5
1596	10
1597	4
1598	4
1599	2
1600	1
1601	5
1602	5
1603	2
1604	4
1605	4
1606	3
1607	7
1608	5
1609	5
1610	4
1611	7
1612	5
1613	2
1614	2
1615	6
1616	0
1617	5
1618	4
1619	0
1620	6
1621	6
1622	3
1623	6
1624	2
1625	1
1626	2
1627	0
1628	2
1629	2
1630	2
1631	4
1632	1
1633	5
1634	3
1635	2
1636	5
1637	3
1638	4
1639	3
1640	3
1641	1
1642	4
1643	1
1644	2
1645	4
1646	8
1647	8
1648	2
1649	3
1650	2
1651	6
1652	7
1653	0
1654	4
1655	1
1656	4
1657	5
1658	3
1659	3
1660	4
1661	2
1662	4
1663	5
1664	0
1665	5
1666	3
1667	4
1668	5
1669	1
1670	0
1671	2
1672	2
1673	3
1674	3
1675	5
1676	3
1677	3
1678	1
1679	5
1680	2
1681	1
1682	1
1683	3
1684	4
1685	3
1686	4
1687	5
1688	3
1689	1
1690	4
1691	4
1692	5
1693	1
1694	5
1695	3
1696	2
1697	5
1698	1
1699	4
1700	2
1701	2
1702	3
1703	5
1704	3
1705	2
1706	4
1707	0
1708	4
1709	2
1710	4
1711	3
1712	3
1713	3
1714	6
1715	7
1716	4
1717	1
1718	1
1719	5
1720	0
1721	3
1722	2
1723	5
1724	5
1725	2
1726	2
1727	2
1728	5
1729	2
1730	2
1731	1
1732	6
1733	1
1734	5
1735	4
1736	2
1737	2
1738	2
1739	3
1740	5
1741	6
1742	4
1743	5
1744	3
1745	6
1746	3
1747	7
1748	6
1749	0
1750	6
1751	3
1752	6
1753	6
1754	2
1755	3
1756	1
1757	5
1758	3
1759	1
1760	2
1761	7
1762	5
1763	4
1764	5
1765	4
1766	9
1767	1
1768	1
1769	3
1770	5
1771	2
1772	6
1773	5
1774	3
1775	2
1776	7
1777	3
1778	7
1779	8
1780	8
1781	7
1782	6
1783	8
1784	9
1785	5
1786	5
1787	7
1788	4
1789	11
1790	8
1791	5
1792	10
1793	11
1794	3
1795	9
1796	3
1797	4
1798	10
1799	4
1800	4
1801	8
1802	10
1803	5
1804	10
1805	5
1806	9
1807	7
1808	4
1809	7
1810	9
1811	8
1812	6
1813	13
1814	9
1815	8
1816	5
1817	8
1818	10
1819	13
1820	9
1821	9
1822	7
1823	11
1824	11
1825	13
1826	13
1827	12
1828	17
1829	10
1830	10
1831	10
1832	8
1833	19
1834	8
1835	17
1836	10
1837	13
1838	9
1839	9
1840	20
1841	9
1842	16
1843	9
1844	16
1845	7
1846	14
1847	12
1848	10
1849	10
1850	7
1851	8
1852	9
1853	14
1854	5
1855	18
1856	8
1857	10
1858	10
1859	4
1860	14
1861	9
1862	15
1863	8
1864	11
1865	15
1866	10
1867	14
1868	12
1869	7
1870	8
1871	13
1872	8
1873	14
1874	13
1875	6
1876	8
1877	6
1878	14
1879	7
1880	8
1881	14
1882	12
1883	10
1884	11
1885	13
1886	10
1887	6
1888	15
1889	8
1890	17
1891	12
1892	12
1893	12
1894	14
1895	4
1896	8
1897	12
1898	13
1899	13
1900	10
1901	7
1902	11
1903	6
1904	15
1905	10
1906	9
1907	13
1908	13
1909	10
1910	14
1911	11
1912	7
1913	15
1914	6
1915	8
1916	7
1917	4
1918	9
1919	6
1920	3
1921	9
1922	8
1923	6
1924	8
1925	2
1926	13
1927	4
1928	9
1929	9
1930	5
1931	9
1932	2
1933	5
1934	5
1935	4
1936	5
1937	8
1938	6
1939	7
1940	8
1941	3
1942	6
1943	2
1944	4
1945	5
1946	1
1947	6
1948	6
1949	2
1950	0
1951	3
1952	5
1953	2
1954	5
1955	8
1956	5
1957	5
1958	6
1959	5
1960	4
1961	4
1962	2
1963	2
1964	4
1965	2
1966	2
1967	2
1968	2
1969	3
1970	2
1971	3
1972	3
1973	2
1974	2
1975	5
1976	2
1977	5
1978	2
1979	3
1980	2
1981	1
1982	6
1983	4
1984	1
1985	1
1986	2
1987	4
1988	1
1989	3
1990	1
1991	0
1992	1
1993	3
1994	2
1995	6
1996	5
1997	4
1998	4
1999	4
2000	3
2001	1
2002	1
2003	2
2004	3
2005	5
2006	3
2007	0
2008	1
2009	2
2010	3
2011	5
2012	4
2013	4
2014	2
2015	3
2016	3
2017	7
2018	4
2019	1
2020	2
2021	0
2022	3
2023	4
2024	1
2025	2
2026	4
2027	3
2028	6
2029	3
2030	5
2031	2
2032	2
