Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1
49	0
50	0
51	1
52	2
53	4
54	2
55	5
56	6
57	10
58	4
59	8
60	7
61	17
62	6
63	11
64	1
65	14
66	6
67	7
68	6
69	6
70	14
71	14
72	4
73	8
74	5
75	10
76	6
77	6
78	17
79	10
80	7
81	9
82	6
83	8
84	6
85	5
86	9
87	8
88	5
89	14
90	6
91	10
92	6
93	14
94	7
95	13
96	4
97	10
98	11
99	8
100	8
101	8
102	6
103	11
104	5
105	8
106	8
107	3
108	10
109	7
110	2
111	12
112	5
113	9
114	6
115	14
116	7
117	3
118	6
119	6
120	10
121	6
122	5
123	5
124	4
125	9
126	5
127	9
128	6
129	3
130	6
131	4
132	5
133	4
134	4
135	11
136	6
137	4
138	10
139	9
140	8
141	8
142	8
143	11
144	3
145	11
146	3
147	10
148	9
149	8
150	8
151	2
152	7
153	12
154	5
155	5
156	3
157	5
158	5
159	12
160	4
161	7
162	6
163	9
164	8
165	8
166	8
167	11
168	11
169	2
170	7
171	5
172	8
173	7
174	5
175	5
176	3
177	6
178	5
179	10
180	3
181	7
182	6
183	11
184	4
185	4
186	7
187	8
188	6
189	8
190	7
191	3
192	3
193	7
194	3
195	11
196	12
197	6
198	7
199	8
200	4
201	5
202	3
203	3
204	5
205	6
206	5
207	10
208	1
209	6
210	6
211	4
212	9
213	15
214	9
215	6
216	3
217	7
218	9
219	8
220	7
221	1
222	5
223	15
224	2
225	8
226	5
227	5
228	5
229	4
230	7
231	7
232	4
233	3
234	4
235	5
236	6
237	8
238	14
239	7
240	1
241	9
242	7
243	5
244	7
245	1
246	6
247	6
248	3
249	6
250	7
251	6
252	9
253	10
254	10
255	15
256	4
257	2
258	10
259	11
260	5
261	7
262	3
263	5
264	5
265	7
266	5
267	10
268	8
269	7
270	5
271	11
272	5
273	7
274	6
275	7
276	5
277	5
278	10
279	9
280	6
281	11
282	3
283	7
284	3
285	7
286	8
287	8
288	6
289	4
290	6
291	6
292	6
293	7
294	5
295	5
296	1
297	6
298	7
299	7
300	3
301	7
302	4
303	5
304	2
305	6
306	6
307	5
308	8
309	3
310	7
311	6
312	0
313	7
314	5
315	5
316	7
317	4
318	10
319	8
320	0
321	6
322	6
323	5
324	5
325	12
326	6
327	5
328	4
329	3
330	1
331	2
332	3
333	4
334	2
335	5
336	0
337	10
338	8
339	6
340	8
341	4
342	4
343	2
344	6
345	8
346	5
347	11
348	4
349	5
350	7
351	6
352	5
353	8
354	3
355	4
356	1
357	6
358	9
359	3
360	6
361	5
362	6
363	6
364	9
365	2
366	4
367	5
368	4
369	5
370	8
371	6
372	2
373	3
374	6
375	9
376	5
377	4
378	5
379	6
380	6
381	4
382	6
383	9
384	2
385	5
386	4
387	3
388	4
389	6
390	6
391	8
392	3
393	6
394	5
395	11
396	2
397	2
398	4
399	6
400	6
401	4
402	3
403	10
404	7
405	4
406	6
407	3
408	9
409	2
410	6
411	3
412	3
413	0
414	4
415	6
416	4
417	5
418	5
419	6
420	3
421	5
422	4
423	2
424	6
425	5
426	3
427	6
428	6
429	9
430	3
431	7
432	3
433	10
434	5
435	4
436	7
437	6
438	7
439	8
440	5
441	3
442	5
443	5
444	6
445	6
446	6
447	4
448	2
449	9
450	13
451	2
452	5
453	5
454	7
455	5
456	8
457	6
458	7
459	5
460	5
461	5
462	4
463	5
464	7
465	5
466	6
467	6
468	2
469	5
470	6
471	8
472	6
473	11
474	3
475	8
476	6
477	9
478	6
479	6
480	5
481	3
482	4
483	5
484	6
485	7
486	12
487	2
488	7
489	8
490	2
491	5
492	7
493	4
494	10
495	9
496	7
497	4
498	7
499	4
500	7
501	4
502	10
503	8
504	5
505	3
506	10
507	10
508	7
509	9
510	5
511	12
512	3
513	7
514	5
515	8
516	9
517	4
518	8
519	5
520	5
521	12
522	7
523	14
524	6
525	6
526	4
527	16
528	2
529	11
530	7
531	3
532	10
533	17
534	16
535	13
536	8
537	16
538	9
539	12
540	9
541	16
542	10
543	17
544	10
545	21
546	15
547	14
548	16
549	13
550	14
551	23
552	11
553	15
554	8
555	14
556	15
557	17
558	24
559	30
560	18
561	18
562	23
563	33
564	13
565	23
566	20
567	18
568	13
569	27
570	27
571	26
572	20
573	26
574	27
575	32
576	21
577	28
578	40
579	28
580	27
581	19
582	23
583	24
584	27
585	26
586	17
587	25
588	25
589	25
590	18
591	29
592	17
593	27
594	26
595	21
596	28
597	22
598	32
599	30
600	24
601	20
602	21
603	17
604	17
605	27
606	23
607	26
608	7
609	15
610	22
611	17
612	13
613	14
614	18
615	19
616	13
617	14
618	16
619	10
620	15
621	12
622	10
623	20
624	3
625	10
626	8
627	18
628	10
629	11
630	12
631	17
632	7
633	17
634	16
635	11
636	10
637	8
638	8
639	15
640	3
641	11
642	8
643	11
644	11
645	8
646	13
647	9
648	3
649	16
650	9
651	14
652	6
653	17
654	6
655	8
656	8
657	8
658	9
659	11
660	8
661	6
662	11
663	7
664	8
665	11
666	6
667	15
668	8
669	16
670	12
671	15
672	4
673	10
674	14
675	11
676	11
677	10
678	8
679	11
680	8
681	4
682	15
683	10
684	10
685	12
686	12
687	7
688	6
689	6
690	7
691	12
692	11
693	7
694	8
695	10
696	6
697	9
698	10
699	15
700	10
701	8
702	11
703	15
704	7
705	7
706	6
707	11
708	4
709	7
710	10
711	9
712	8
713	6
714	4
715	7
716	7
717	3
718	11
719	13
720	9
721	8
722	13
723	7
724	8
725	12
726	5
727	4
728	8
729	14
730	10
731	14
732	5
733	7
734	14
735	17
736	3
737	14
738	10
739	11
740	8
741	12
742	8
743	12
744	5
745	13
746	12
747	8
748	15
749	2
750	18
751	14
752	11
753	11
754	6
755	19
756	13
757	16
758	20
759	14
760	10
761	21
762	10
763	16
764	19
765	17
766	14
767	26
768	8
769	19
770	18
771	21
772	16
773	10
774	25
775	18
776	14
777	21
778	23
779	16
780	19
781	12
782	16
783	19
784	12
785	35
786	27
787	30
788	29
789	29
790	41
791	29
792	19
793	32
794	18
795	34
796	42
797	33
798	36
799	46
800	32
801	37
802	39
803	65
804	49
805	40
806	54
807	54
808	47
809	61
810	64
811	54
812	62
813	46
814	57
815	71
816	43
817	65
818	79
819	85
820	81
821	62
822	91
823	98
824	70
825	88
826	84
827	99
828	99
829	98
830	110
831	119
832	63
833	103
834	108
835	88
836	137
837	103
838	127
839	99
840	115
841	136
842	95
843	112
844	122
845	131
846	117
847	134
848	88
849	129
850	99
851	136
852	112
853	94
854	123
855	103
856	104
857	119
858	98
859	122
860	93
861	121
862	104
863	128
864	85
865	98
866	120
867	94
868	97
869	64
870	97
871	81
872	82
873	92
874	77
875	56
876	80
877	85
878	60
879	64
880	45
881	61
882	56
883	49
884	49
885	48
886	46
887	45
888	40
889	43
890	27
891	48
892	33
893	34
894	36
895	53
896	20
897	31
898	26
899	40
900	24
901	23
902	30
903	19
904	26
905	27
906	22
907	24
908	25
909	17
910	26
911	30
912	17
913	24
914	21
915	21
916	20
917	17
918	14
919	22
920	24
921	31
922	23
923	30
924	22
925	16
926	13
927	26
928	11
929	18
930	24
931	21
932	29
933	19
934	33
935	28
936	14
937	23
938	22
939	19
940	36
941	28
942	28
943	23
944	21
945	24
946	29
947	29
948	34
949	16
950	40
951	25
952	35
953	36
954	31
955	44
956	22
957	33
958	41
959	34
960	13
961	19
962	24
963	19
964	40
965	21
966	33
967	23
968	32
969	32
970	21
971	27
972	17
973	25
974	18
975	19
976	15
977	29
978	20
979	29
980	32
981	32
982	22
983	13
984	15
985	22
986	12
987	21
988	18
989	27
990	15
991	20
992	12
993	23
994	23
995	19
996	10
997	17
998	18
999	9
1000	10
1001	6
1002	13
1003	13
1004	27
1005	12
1006	6
1007	24
1008	12
1009	11
1010	7
1011	16
1012	13
1013	12
1014	13
1015	12
1016	14
1017	14
1018	8
1019	12
1020	8
1021	6
1022	7
1023	21
1024	3
1025	8
1026	9
1027	15
1028	11
1029	10
1030	12
1031	19
1032	12
1033	7
1034	8
1035	7
1036	10
1037	6
1038	8
1039	19
1040	10
1041	17
1042	9
1043	9
1044	10
1045	11
1046	8
1047	6
1048	6
1049	15
1050	10
1051	12
1052	13
1053	15
1054	10
1055	17
1056	7
1057	20
1058	8
1059	10
1060	10
1061	13
1062	14
1063	12
1064	10
1065	11
1066	14
1067	14
1068	13
1069	5
1070	12
1071	12
1072	10
1073	9
1074	11
1075	16
1076	16
1077	10
1078	15
1079	12
1080	13
1081	15
1082	3
1083	14
1084	12
1085	15
1086	11
1087	20
1088	9
1089	2
1090	12
1091	12
1092	9
1093	10
1094	13
1095	10
1096	5
1097	13
1098	10
1099	19
1100	18
1101	13
1102	9
1103	10
1104	10
1105	18
1106	12
1107	19
1108	6
1109	16
1110	9
1111	8
1112	16
1113	13
1114	11
1115	13
1116	10
1117	16
1118	13
1119	16
1120	2
1121	11
1122	11
1123	4
1124	14
1125	17
1126	10
1127	16
1128	7
1129	8
1130	12
1131	12
1132	10
1133	11
1134	11
1135	12
1136	6
1137	10
1138	5
1139	11
1140	12
1141	10
1142	14
1143	17
1144	8
1145	11
1146	20
1147	17
1148	13
1149	21
1150	9
1151	21
1152	2
1153	13
1154	15
1155	15
1156	13
1157	12
1158	18
1159	12
1160	11
1161	12
1162	4
1163	13
1164	12
1165	8
1166	10
1167	20
1168	8
1169	12
1170	14
1171	14
1172	12
1173	18
1174	18
1175	19
1176	9
1177	15
1178	11
1179	16
1180	8
1181	10
1182	10
1183	18
1184	4
1185	13
1186	11
1187	17
1188	20
1189	11
1190	16
1191	18
1192	17
1193	14
1194	7
1195	16
1196	18
1197	17
1198	17
1199	14
1200	11
1201	13
1202	22
1203	16
1204	11
1205	9
1206	16
1207	16
1208	9
1209	17
1210	8
1211	20
1212	11
1213	11
1214	16
1215	14
1216	10
1217	18
1218	8
1219	9
1220	11
1221	10
1222	17
1223	11
1224	9
1225	13
1226	12
1227	11
1228	22
1229	16
1230	8
1231	10
1232	12
1233	8
1234	9
1235	9
1236	14
1237	6
1238	16
1239	5
1240	18
1241	16
1242	13
1243	13
1244	8
1245	12
1246	24
1247	20
1248	6
1249	10
1250	19
1251	10
1252	16
1253	5
1254	14
1255	17
1256	8
1257	22
1258	13
1259	12
1260	11
1261	15
1262	9
1263	18
1264	14
1265	15
1266	8
1267	12
1268	9
1269	10
1270	21
1271	8
1272	11
1273	16
1274	10
1275	21
1276	15
1277	16
1278	15
1279	23
1280	5
1281	11
1282	12
1283	21
1284	10
1285	13
1286	18
1287	13
1288	11
1289	11
1290	13
1291	13
1292	18
1293	14
1294	11
1295	18
1296	16
1297	16
1298	24
1299	12
1300	13
1301	9
1302	14
1303	12
1304	9
1305	20
1306	10
1307	20
1308	16
1309	15
1310	9
1311	18
1312	6
1313	7
1314	12
1315	7
1316	11
1317	11
1318	26
1319	18
1320	12
1321	22
1322	18
1323	10
1324	16
1325	15
1326	19
1327	15
1328	10
1329	20
1330	18
1331	15
1332	12
1333	14
1334	23
1335	16
1336	10
1337	18
1338	12
1339	19
1340	12
1341	14
1342	15
1343	11
1344	6
1345	12
1346	12
1347	16
1348	17
1349	20
1350	17
1351	16
1352	14
1353	16
1354	13
1355	19
1356	16
1357	24
1358	20
1359	15
1360	7
1361	14
1362	27
1363	15
1364	10
1365	16
1366	13
1367	19
1368	9
1369	13
1370	19
1371	19
1372	13
1373	19
1374	16
1375	23
1376	8
1377	12
1378	9
1379	12
1380	15
1381	21
1382	23
1383	14
1384	13
1385	24
1386	16
1387	25
1388	19
1389	19
1390	14
1391	15
1392	16
1393	21
1394	11
1395	19
1396	8
1397	13
1398	20
1399	14
1400	9
1401	17
1402	14
1403	28
1404	13
1405	13
1406	12
1407	17
1408	10
1409	16
1410	15
1411	23
1412	19
1413	14
1414	15
1415	29
1416	22
1417	24
1418	21
1419	21
1420	15
1421	18
1422	15
1423	17
1424	15
1425	15
1426	16
1427	23
1428	19
1429	13
1430	14
1431	12
1432	18
1433	14
1434	9
1435	17
1436	13
1437	17
1438	14
1439	19
1440	17
1441	13
1442	19
1443	15
1444	21
1445	15
1446	15
1447	19
1448	10
1449	12
1450	11
1451	13
1452	13
1453	20
1454	18
1455	16
1456	19
1457	13
1458	20
1459	16
1460	18
1461	16
1462	26
1463	17
1464	12
1465	20
1466	13
1467	14
1468	12
1469	12
1470	25
1471	13
1472	12
1473	12
1474	21
1475	10
1476	22
1477	11
1478	10
1479	11
1480	20
1481	19
1482	8
1483	12
1484	21
1485	14
1486	11
1487	12
1488	8
1489	18
1490	17
1491	9
1492	13
1493	11
1494	21
1495	17
1496	15
1497	17
1498	14
1499	19
1500	22
1501	17
1502	17
1503	21
1504	8
1505	22
1506	25
1507	19
1508	21
1509	15
1510	21
1511	12
1512	15
1513	27
1514	21
1515	19
1516	19
1517	15
1518	14
1519	15
1520	15
1521	7
1522	12
1523	20
1524	16
1525	21
1526	17
1527	15
1528	15
1529	15
1530	26
1531	20
1532	15
1533	10
1534	26
1535	33
1536	14
1537	17
1538	21
1539	23
1540	21
1541	14
1542	21
1543	22
1544	18
1545	22
1546	7
1547	20
1548	25
1549	14
1550	8
1551	16
1552	13
1553	13
1554	7
1555	29
1556	16
1557	15
1558	19
1559	15
1560	14
1561	27
1562	16
1563	13
1564	20
1565	19
1566	11
1567	16
1568	11
1569	11
1570	16
1571	11
1572	15
1573	10
1574	22
1575	16
1576	9
1577	28
1578	12
1579	17
1580	14
1581	16
1582	19
1583	18
1584	14
1585	16
1586	14
1587	19
1588	17
1589	10
1590	18
1591	14
1592	18
1593	14
1594	18
1595	15
1596	12
1597	8
1598	10
1599	14
1600	15
1601	12
1602	22
1603	25
1604	18
1605	14
1606	15
1607	21
1608	23
1609	11
1610	13
1611	17
1612	19
1613	11
1614	10
1615	17
1616	12
1617	18
1618	14
1619	13
1620	14
1621	12
1622	16
1623	13
1624	20
1625	22
1626	14
1627	25
1628	13
1629	13
1630	19
1631	25
1632	10
1633	16
1634	11
1635	11
1636	25
1637	7
1638	25
1639	20
1640	11
1641	19
1642	12
1643	12
1644	13
1645	16
1646	19
1647	17
1648	22
1649	15
1650	15
1651	21
1652	27
1653	9
1654	17
1655	19
1656	12
1657	26
1658	9
1659	10
1660	16
1661	14
1662	17
1663	25
1664	9
1665	10
1666	22
1667	19
1668	16
1669	9
1670	18
1671	14
1672	15
1673	21
1674	26
1675	18
1676	19
1677	24
1678	13
1679	18
1680	18
1681	23
1682	15
1683	25
1684	25
1685	18
1686	16
1687	12
1688	13
1689	27
1690	10
1691	21
1692	17
1693	15
1694	14
1695	24
1696	16
1697	16
1698	19
1699	20
1700	14
1701	12
1702	23
1703	17
1704	18
1705	17
1706	21
1707	16
1708	25
1709	16
1710	20
1711	16
1712	14
1713	17
1714	18
1715	18
1716	32
1717	15
1718	14
1719	15
1720	15
1721	22
1722	11
1723	28
1724	17
1725	20
1726	21
1727	21
1728	14
1729	17
1730	22
1731	21
1732	26
1733	16
1734	23
1735	18
1736	22
1737	22
1738	14
1739	17
1740	23
1741	20
1742	15
1743	18
1744	21
1745	19
1746	22
1747	17
1748	29
1749	16
1750	27
1751	14
1752	20
1753	28
1754	12
1755	16
1756	26
1757	25
1758	32
1759	29
1760	32
1761	30
1762	23
1763	21
1764	31
1765	17
1766	33
1767	34
1768	19
1769	43
1770	26
1771	24
1772	35
1773	31
1774	40
1775	14
1776	20
1777	38
1778	37
1779	30
1780	20
1781	33
1782	30
1783	33
1784	24
1785	40
1786	28
1787	49
1788	35
1789	41
1790	40
1791	55
1792	19
1793	38
1794	46
1795	44
1796	43
1797	38
1798	52
1799	45
1800	32
1801	60
1802	34
1803	41
1804	51
1805	51
1806	38
1807	46
1808	51
1809	38
1810	49
1811	64
1812	45
1813	52
1814	81
1815	42
1816	45
1817	82
1818	54
1819	86
1820	57
1821	58
1822	68
1823	65
1824	71
1825	69
1826	59
1827	73
1828	86
1829	49
1830	79
1831	65
1832	46
1833	79
1834	54
1835	72
1836	94
1837	94
1838	84
1839	65
1840	95
1841	68
1842	63
1843	88
1844	76
1845	51
1846	88
1847	70
1848	58
1849	76
1850	62
1851	94
1852	70
1853	69
1854	72
1855	61
1856	59
1857	71
1858	64
1859	73
1860	86
1861	54
1862	96
1863	53
1864	68
1865	73
1866	49
1867	64
1868	78
1869	64
1870	87
1871	61
1872	65
1873	65
1874	73
1875	64
1876	66
1877	53
1878	72
1879	62
1880	67
1881	67
1882	62
1883	77
1884	67
1885	55
1886	58
1887	68
1888	68
1889	59
1890	64
1891	59
1892	77
1893	46
1894	67
1895	47
1896	54
1897	64
1898	56
1899	51
1900	59
1901	50
1902	81
1903	51
1904	50
1905	57
1906	53
1907	52
1908	49
1909	44
1910	59
1911	40
1912	40
1913	49
1914	37
1915	56
1916	43
1917	45
1918	55
1919	45
1920	60
1921	45
1922	43
1923	40
1924	62
1925	33
1926	43
1927	36
1928	38
1929	47
1930	24
1931	41
1932	59
1933	40
1934	26
1935	12
1936	36
1937	35
1938	28
1939	33
1940	31
1941	26
1942	25
1943	21
1944	27
1945	23
1946	22
1947	23
1948	23
1949	24
1950	21
1951	24
1952	23
1953	24
1954	18
1955	15
1956	28
1957	13
1958	29
1959	14
1960	21
1961	22
1962	9
1963	20
1964	23
1965	17
1966	16
1967	13
1968	16
1969	20
1970	13
1971	22
1972	13
1973	13
1974	30
1975	10
1976	17
1977	10
1978	16
1979	10
1980	20
1981	12
1982	9
1983	11
1984	15
1985	13
1986	18
1987	10
1988	18
1989	7
1990	6
1991	7
1992	12
1993	12
1994	16
1995	11
1996	15
1997	8
1998	17
1999	14
2000	17
2001	16
2002	23
2003	20
2004	26
2005	10
2006	20
2007	7
2008	18
2009	13
2010	7
2011	17
2012	15
2013	9
2014	15
2015	20
2016	21
2017	9
2018	18
2019	17
2020	22
2021	17
2022	18
2023	10
2024	22
2025	20
2026	13
2027	12
2028	23
2029	13
2030	20
2031	11
2032	16
