Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1
49	0
50	0
51	0
52	1
53	2
54	4
55	3
56	4
57	4
58	5
59	7
60	4
61	1
62	5
63	8
64	1
65	5
66	5
67	8
68	1
69	10
70	6
71	7
72	4
73	9
74	7
75	11
76	4
77	6
78	6
79	10
80	6
81	7
82	8
83	3
84	5
85	6
86	5
87	9
88	3
89	5
90	5
91	5
92	6
93	12
94	9
95	11
96	5
97	11
98	4
99	8
100	11
101	5
102	7
103	7
104	11
105	6
106	8
107	4
108	7
109	10
110	13
111	10
112	7
113	5
114	11
115	11
116	9
117	4
118	12
119	6
120	3
121	11
122	6
123	8
124	9
125	7
126	3
127	13
128	3
129	9
130	7
131	13
132	4
133	11
134	5
135	5
136	8
137	10
138	5
139	7
140	7
141	8
142	4
143	7
144	3
145	2
146	7
147	4
148	4
149	4
150	7
151	5
152	3
153	10
154	7
155	7
156	7
157	7
158	5
159	14
160	3
161	7
162	2
163	5
164	4
165	7
166	5
167	7
168	7
169	14
170	5
171	6
172	4
173	6
174	4
175	8
176	4
177	5
178	1
179	4
180	3
181	3
182	11
183	5
184	7
185	3
186	5
187	6
188	3
189	4
190	6
191	10
192	4
193	3
194	5
195	9
196	4
197	8
198	5
199	5
200	9
201	10
202	4
203	3
204	6
205	4
206	2
207	7
208	5
209	5
210	3
211	6
212	7
213	5
214	8
215	3
216	3
217	4
218	5
219	5
220	4
221	6
222	3
223	5
224	4
225	5
226	6
227	9
228	7
229	6
230	4
231	7
232	5
233	3
234	3
235	4
236	7
237	3
238	6
239	6
240	2
241	4
242	7
243	8
244	4
245	4
246	3
247	4
248	2
249	4
250	5
251	3
252	2
253	4
254	6
255	10
256	0
257	1
258	2
259	4
260	3
261	4
262	7
263	5
264	2
265	6
266	4
267	7
268	4
269	7
270	5
271	8
272	5
273	3
274	8
275	7
276	5
277	4
278	3
279	4
280	3
281	6
282	2
283	8
284	3
285	4
286	4
287	7
288	5
289	10
290	6
291	3
292	6
293	13
294	12
295	8
296	6
297	18
298	6
299	14
300	17
301	11
302	18
303	15
304	14
305	23
306	17
307	22
308	22
309	17
310	36
311	27
312	14
313	20
314	19
315	32
316	26
317	33
318	40
319	49
320	19
321	25
322	48
323	51
324	54
325	50
326	60
327	53
328	42
329	78
330	48
331	66
332	63
333	63
334	62
335	95
336	62
337	71
338	70
339	75
340	94
341	92
342	85
343	110
344	85
345	127
346	94
347	120
348	97
349	144
350	100
351	152
352	81
353	99
354	116
355	116
356	127
357	108
358	126
359	130
360	95
361	108
362	130
363	129
364	138
365	121
366	133
367	152
368	60
369	110
370	106
371	122
372	103
373	94
374	118
375	128
376	93
377	130
378	89
379	110
380	99
381	119
382	95
383	128
384	47
385	76
386	91
387	78
388	72
389	62
390	80
391	77
392	66
393	68
394	57
395	65
396	70
397	64
398	63
399	71
400	47
401	44
402	63
403	51
404	56
405	45
406	39
407	52
408	33
409	44
410	38
411	39
412	31
413	44
414	41
415	38
416	31
417	36
418	19
419	35
420	28
421	37
422	31
423	32
424	24
425	30
426	14
427	25
428	18
429	22
430	23
431	21
432	21
433	17
434	18
435	18
436	20
437	17
438	16
439	15
440	6
441	17
442	5
443	14
444	7
445	9
446	8
447	14
448	10
449	10
450	3
451	10
452	7
453	4
454	10
455	4
456	9
457	6
458	6
459	11
460	3
461	5
462	5
463	7
464	2
465	6
466	12
467	5
468	7
469	2
470	3
471	8
472	5
473	10
474	2
475	4
476	7
477	4
478	4
479	2
480	2
481	4
482	8
483	2
484	3
485	3
486	2
487	5
488	5
489	1
490	3
491	7
492	3
493	6
494	4
495	7
496	3
497	5
498	7
499	3
500	4
501	4
502	4
503	3
504	4
505	2
506	3
507	2
508	5
509	4
510	2
511	8
512	2
513	4
514	1
515	4
516	4
517	3
518	6
519	3
520	7
521	5
522	7
523	8
524	2
525	8
526	6
527	5
528	3
529	8
530	4
531	4
532	3
533	4
534	5
535	7
536	7
537	4
538	5
539	3
540	7
541	9
542	6
543	8
544	3
545	12
546	6
547	8
548	7
549	5
550	5
551	6
552	5
553	9
554	2
555	8
556	6
557	1
558	9
559	12
560	6
561	6
562	7
563	11
564	8
565	8
566	14
567	14
568	4
569	7
570	9
571	8
572	4
573	11
574	14
575	12
576	4
577	5
578	10
579	10
580	7
581	5
582	9
583	4
584	7
585	10
586	4
587	9
588	11
589	11
590	6
591	10
592	5
593	6
594	5
595	8
596	5
597	11
598	11
599	9
600	5
601	11
602	4
603	4
604	7
605	6
606	6
607	7
608	6
609	8
610	7
611	4
612	7
613	6
614	6
615	5
616	5
617	5
618	4
619	2
620	7
621	8
622	2
623	3
624	3
625	1
626	3
627	5
628	5
629	5
630	6
631	3
632	1
633	2
634	1
635	5
636	3
637	5
638	7
639	8
640	0
641	5
642	4
643	3
644	3
645	7
646	6
647	4
648	1
649	6
650	1
651	1
652	5
653	2
654	4
655	2
656	3
657	9
658	3
659	7
660	3
661	4
662	1
663	5
664	4
665	12
666	2
667	3
668	2
669	5
670	2
671	10
672	0
673	7
674	5
675	2
676	3
677	2
678	2
679	6
680	2
681	5
682	3
683	1
684	3
685	5
686	5
687	2
688	2
689	1
690	3
691	7
692	8
693	3
694	5
695	2
696	6
697	4
698	1
699	8
700	5
701	5
702	2
703	3
704	0
705	4
706	3
707	8
708	8
709	8
710	2
711	2
712	7
713	4
714	8
715	2
716	5
717	5
718	6
719	7
720	1
721	5
722	3
723	5
724	4
725	3
726	5
727	5
728	2
729	4
730	7
731	3
732	3
733	2
734	3
735	9
736	1
737	4
738	5
739	4
740	8
741	4
742	6
743	4
744	3
745	8
746	6
747	4
748	1
749	4
750	7
751	7
752	2
753	1
754	8
755	5
756	4
757	6
758	8
759	8
760	3
761	6
762	4
763	6
764	8
765	7
766	3
767	10
768	4
769	6
770	5
771	8
772	7
773	7
774	3
775	4
776	9
777	10
778	7
779	11
780	7
781	12
782	14
783	9
784	8
785	12
786	12
787	9
788	10
789	5
790	11
791	6
792	13
793	4
794	7
795	7
796	4
797	11
798	17
799	8
800	0
801	7
802	10
803	12
804	8
805	14
806	4
807	12
808	9
809	6
810	12
811	8
812	15
813	11
814	7
815	10
816	9
817	12
818	15
819	9
820	12
821	11
822	18
823	22
824	8
825	16
826	13
827	21
828	11
829	18
830	17
831	25
832	12
833	15
834	14
835	14
836	14
837	19
838	21
839	17
840	15
841	24
842	18
843	12
844	14
845	28
846	23
847	18
848	13
849	16
850	18
851	26
852	23
853	22
854	23
855	10
856	17
857	23
858	21
859	16
860	19
861	23
862	24
863	33
864	14
865	21
866	22
867	24
868	18
869	20
870	19
871	26
872	14
873	17
874	9
875	6
876	18
877	14
878	11
879	12
880	13
881	12
882	8
883	15
884	22
885	11
886	15
887	9
888	10
889	12
890	11
891	8
892	16
893	10
894	9
895	13
896	3
897	9
898	12
899	7
900	8
901	9
902	5
903	7
904	8
905	11
906	4
907	11
908	17
909	8
910	10
911	5
912	9
913	1
914	11
915	7
916	3
917	5
918	11
919	11
920	9
921	7
922	11
923	6
924	8
925	5
926	8
927	4
928	7
929	5
930	11
931	4
932	7
933	5
934	7
935	11
936	4
937	8
938	10
939	4
940	4
941	4
942	9
943	9
944	6
945	8
946	8
947	8
948	11
949	11
950	11
951	9
952	6
953	10
954	8
955	5
956	7
957	5
958	9
959	12
960	3
961	9
962	17
963	9
964	7
965	3
966	15
967	11
968	7
969	14
970	11
971	4
972	8
973	13
974	4
975	10
976	8
977	6
978	2
979	10
980	8
981	14
982	9
983	5
984	12
985	8
986	3
987	13
988	9
989	7
990	7
991	7
992	5
993	8
994	4
995	2
996	7
997	7
998	14
999	9
1000	3
1001	5
1002	5
1003	6
1004	4
1005	10
1006	4
1007	11
1008	6
1009	3
1010	6
1011	6
1012	5
1013	5
1014	7
1015	8
1016	5
1017	8
1018	5
1019	9
1020	12
1021	10
1022	6
1023	14
1024	4
1025	7
1026	5
1027	7
1028	7
1029	5
1030	7
1031	7
1032	3
1033	6
1034	3
1035	8
1036	7
1037	7
1038	6
1039	12
1040	4
1041	8
1042	7
1043	9
1044	2
1045	9
1046	6
1047	8
1048	7
1049	8
1050	12
1051	12
1052	11
1053	12
1054	4
1055	8
1056	3
1057	10
1058	8
1059	3
1060	8
1061	7
1062	10
1063	7
1064	2
1065	11
1066	10
1067	5
1068	17
1069	6
1070	5
1071	7
1072	10
1073	7
1074	9
1075	9
1076	12
1077	7
1078	9
1079	10
1080	2
1081	6
1082	10
1083	8
1084	10
1085	11
1086	10
1087	13
1088	7
1089	3
1090	5
1091	6
1092	2
1093	9
1094	5
1095	10
1096	4
1097	12
1098	9
1099	7
1100	8
1101	11
1102	9
1103	10
1104	4
1105	6
1106	13
1107	10
1108	4
1109	7
1110	6
1111	14
1112	11
1113	8
1114	9
1115	15
1116	5
1117	5
1118	9
1119	16
1120	5
1121	2
1122	6
1123	8
1124	4
1125	3
1126	8
1127	5
1128	4
1129	16
1130	9
1131	9
1132	8
1133	9
1134	12
1135	15
1136	8
1137	14
1138	3
1139	8
1140	11
1141	9
1142	7
1143	3
1144	6
1145	12
1146	5
1147	6
1148	10
1149	6
1150	12
1151	12
1152	9
1153	8
1154	8
1155	7
1156	7
1157	2
1158	6
1159	11
1160	7
1161	11
1162	8
1163	9
1164	6
1165	7
1166	8
1167	10
1168	2
1169	6
1170	5
1171	10
1172	7
1173	6
1174	8
1175	6
1176	2
1177	5
1178	10
1179	6
1180	8
1181	7
1182	6
1183	11
1184	6
1185	7
1186	10
1187	8
1188	9
1189	7
1190	6
1191	11
1192	1
1193	10
1194	5
1195	12
1196	9
1197	10
1198	8
1199	7
1200	2
1201	6
1202	4
1203	9
1204	3
1205	12
1206	8
1207	5
1208	5
1209	10
1210	10
1211	12
1212	6
1213	4
1214	6
1215	9
1216	6
1217	6
1218	6
1219	8
1220	8
1221	14
1222	5
1223	5
1224	1
1225	11
1226	2
1227	10
1228	14
1229	8
1230	11
1231	6
1232	4
1233	9
1234	8
1235	8
1236	6
1237	8
1238	14
1239	6
1240	5
1241	9
1242	4
1243	5
1244	5
1245	13
1246	13
1247	6
1248	10
1249	11
1250	6
1251	12
1252	12
1253	4
1254	5
1255	5
1256	5
1257	10
1258	6
1259	8
1260	13
1261	3
1262	7
1263	10
1264	3
1265	5
1266	6
1267	9
1268	9
1269	7
1270	7
1271	10
1272	5
1273	7
1274	11
1275	6
1276	6
1277	13
1278	12
1279	7
1280	4
1281	5
1282	11
1283	12
1284	8
1285	8
1286	11
1287	7
1288	7
1289	8
1290	3
1291	7
1292	8
1293	6
1294	8
1295	5
1296	6
1297	10
1298	4
1299	9
1300	7
1301	12
1302	17
1303	6
1304	4
1305	5
1306	8
1307	10
1308	3
1309	13
1310	9
1311	13
1312	8
1313	7
1314	7
1315	7
1316	7
1317	5
1318	5
1319	9
1320	8
1321	16
1322	6
1323	8
1324	5
1325	11
1326	7
1327	6
1328	7
1329	6
1330	15
1331	6
1332	8
1333	10
1334	9
1335	5
1336	7
1337	18
1338	6
1339	8
1340	8
1341	10
1342	14
1343	10
1344	4
1345	18
1346	7
1347	5
1348	14
1349	6
1350	14
1351	8
1352	8
1353	5
1354	13
1355	12
1356	11
1357	9
1358	7
1359	14
1360	5
1361	17
1362	9
1363	13
1364	12
1365	6
1366	8
1367	10
1368	9
1369	10
1370	9
1371	12
1372	15
1373	10
1374	10
1375	9
1376	13
1377	8
1378	9
1379	10
1380	15
1381	12
1382	9
1383	21
1384	3
1385	3
1386	11
1387	9
1388	14
1389	14
1390	8
1391	19
1392	6
1393	6
1394	9
1395	6
1396	15
1397	10
1398	12
1399	10
1400	5
1401	13
1402	8
1403	12
1404	10
1405	4
1406	12
1407	12
1408	8
1409	11
1410	8
1411	18
1412	11
1413	12
1414	11
1415	5
1416	14
1417	13
1418	12
1419	9
1420	17
1421	3
1422	9
1423	9
1424	9
1425	8
1426	10
1427	10
1428	4
1429	5
1430	9
1431	7
1432	7
1433	12
1434	5
1435	10
1436	9
1437	9
1438	8
1439	10
1440	8
1441	8
1442	10
1443	11
1444	18
1445	9
1446	12
1447	6
1448	6
1449	8
1450	6
1451	10
1452	11
1453	11
1454	14
1455	8
1456	7
1457	10
1458	6
1459	6
1460	2
1461	3
1462	6
1463	14
1464	2
1465	8
1466	8
1467	13
1468	12
1469	15
1470	8
1471	9
1472	9
1473	12
1474	10
1475	8
1476	4
1477	5
1478	9
1479	12
1480	9
1481	9
1482	10
1483	6
1484	13
1485	16
1486	9
1487	4
1488	9
1489	12
1490	10
1491	15
1492	4
1493	9
1494	9
1495	7
1496	13
1497	16
1498	10
1499	8
1500	13
1501	12
1502	8
1503	9
1504	9
1505	9
1506	10
1507	8
1508	9
1509	10
1510	11
1511	12
1512	9
1513	9
1514	5
1515	12
1516	12
1517	7
1518	15
1519	9
1520	7
1521	7
1522	10
1523	3
1524	8
1525	7
1526	12
1527	9
1528	6
1529	25
1530	13
1531	10
1532	14
1533	10
1534	12
1535	13
1536	10
1537	7
1538	10
1539	9
1540	12
1541	11
1542	7
1543	9
1544	10
1545	7
1546	8
1547	13
1548	14
1549	12
1550	8
1551	11
1552	9
1553	10
1554	12
1555	9
1556	9
1557	9
1558	14
1559	7
1560	6
1561	12
1562	7
1563	11
1564	7
1565	12
1566	14
1567	13
1568	8
1569	11
1570	6
1571	14
1572	9
1573	8
1574	13
1575	6
1576	9
1577	11
1578	8
1579	9
1580	13
1581	11
1582	12
1583	8
1584	9
1585	5
1586	15
1587	9
1588	10
1589	7
1590	17
1591	10
1592	5
1593	13
1594	12
1595	4
1596	9
1597	8
1598	9
1599	6
1600	10
1601	17
1602	8
1603	10
1604	8
1605	15
1606	10
1607	9
1608	8
1609	10
1610	9
1611	13
1612	11
1613	6
1614	9
1615	8
1616	6
1617	9
1618	6
1619	10
1620	7
1621	2
1622	16
1623	6
1624	3
1625	12
1626	8
1627	10
1628	8
1629	9
1630	8
1631	9
1632	11
1633	13
1634	5
1635	6
1636	3
1637	10
1638	7
1639	11
1640	5
1641	9
1642	10
1643	11
1644	9
1645	16
1646	8
1647	6
1648	4
1649	9
1650	9
1651	8
1652	7
1653	7
1654	7
1655	6
1656	7
1657	3
1658	2
1659	5
1660	6
1661	8
1662	7
1663	10
1664	8
1665	17
1666	5
1667	19
1668	10
1669	7
1670	9
1671	10
1672	9
1673	6
1674	11
1675	11
1676	2
1677	11
1678	7
1679	9
1680	8
1681	7
1682	9
1683	10
1684	7
1685	7
1686	16
1687	10
1688	9
1689	6
1690	4
1691	13
1692	7
1693	8
1694	12
1695	15
1696	6
1697	10
1698	15
1699	6
1700	17
1701	5
1702	15
1703	16
1704	10
1705	13
1706	11
1707	10
1708	13
1709	8
1710	10
1711	7
1712	11
1713	18
1714	13
1715	7
1716	6
1717	4
1718	12
1719	14
1720	7
1721	15
1722	7
1723	14
1724	13
1725	15
1726	14
1727	12
1728	14
1729	5
1730	8
1731	14
1732	12
1733	8
1734	11
1735	5
1736	9
1737	5
1738	10
1739	9
1740	10
1741	12
1742	6
1743	8
1744	12
1745	13
1746	15
1747	11
1748	10
1749	14
1750	12
1751	10
1752	14
1753	10
1754	11
1755	16
1756	12
1757	17
1758	10
1759	22
1760	13
1761	11
1762	13
1763	17
1764	17
1765	11
1766	13
1767	13
1768	10
1769	14
1770	13
1771	9
1772	20
1773	18
1774	20
1775	17
1776	17
1777	16
1778	22
1779	18
1780	20
1781	14
1782	22
1783	18
1784	11
1785	21
1786	11
1787	26
1788	26
1789	18
1790	19
1791	22
1792	18
1793	20
1794	19
1795	25
1796	24
1797	19
1798	31
1799	16
1800	21
1801	21
1802	25
1803	27
1804	30
1805	27
1806	29
1807	21
1808	24
1809	24
1810	25
1811	26
1812	29
1813	20
1814	40
1815	19
1816	28
1817	37
1818	17
1819	38
1820	32
1821	32
1822	25
1823	31
1824	32
1825	30
1826	23
1827	37
1828	39
1829	23
1830	37
1831	36
1832	28
1833	45
1834	24
1835	23
1836	46
1837	24
1838	34
1839	21
1840	34
1841	19
1842	34
1843	25
1844	37
1845	27
1846	38
1847	32
1848	24
1849	42
1850	33
1851	42
1852	42
1853	26
1854	32
1855	39
1856	25
1857	37
1858	41
1859	26
1860	37
1861	19
1862	34
1863	28
1864	31
1865	27
1866	34
1867	43
1868	42
1869	44
1870	32
1871	29
1872	21
1873	35
1874	31
1875	45
1876	32
1877	24
1878	35
1879	26
1880	34
1881	35
1882	30
1883	37
1884	39
1885	27
1886	38
1887	34
1888	37
1889	32
1890	37
1891	34
1892	44
1893	27
1894	49
1895	35
1896	33
1897	35
1898	32
1899	34
1900	31
1901	33
1902	46
1903	34
1904	27
1905	38
1906	35
1907	39
1908	29
1909	30
1910	36
1911	44
1912	30
1913	28
1914	19
1915	38
1916	38
1917	27
1918	22
1919	25
1920	22
1921	25
1922	23
1923	22
1924	40
1925	21
1926	30
1927	20
1928	18
1929	22
1930	26
1931	22
1932	28
1933	28
1934	20
1935	8
1936	15
1937	21
1938	18
1939	25
1940	10
1941	12
1942	24
1943	9
1944	15
1945	16
1946	20
1947	16
1948	18
1949	13
1950	19
1951	15
1952	15
1953	11
1954	11
1955	8
1956	18
1957	10
1958	8
1959	10
1960	13
1961	9
1962	8
1963	10
1964	12
1965	8
1966	11
1967	11
1968	8
1969	7
1970	10
1971	7
1972	4
1973	5
1974	9
1975	6
1976	7
1977	13
1978	5
1979	9
1980	10
1981	7
1982	7
1983	8
1984	6
1985	9
1986	6
1987	10
1988	11
1989	3
1990	10
1991	3
1992	6
1993	6
1994	7
1995	5
1996	8
1997	8
1998	7
1999	2
2000	11
2001	9
2002	7
2003	9
2004	9
2005	10
2006	8
2007	3
2008	7
2009	11
2010	4
2011	10
2012	7
2013	8
2014	8
2015	8
2016	8
2017	9
2018	15
2019	3
2020	8
2021	8
2022	7
2023	5
2024	6
2025	5
2026	8
2027	7
2028	13
2029	7
2030	8
2031	6
2032	5
