Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	2
56	0
57	1
58	2
59	4
60	1
61	0
62	2
63	2
64	1
65	2
66	1
67	4
68	2
69	3
70	6
71	4
72	1
73	2
74	4
75	3
76	1
77	1
78	3
79	1
80	0
81	1
82	3
83	5
84	4
85	1
86	3
87	1
88	1
89	1
90	3
91	3
92	1
93	1
94	2
95	2
96	1
97	2
98	3
99	1
100	2
101	2
102	1
103	5
104	2
105	2
106	1
107	0
108	2
109	0
110	0
111	2
112	0
113	4
114	1
115	2
116	1
117	3
118	2
119	3
120	1
121	2
122	2
123	3
124	5
125	2
126	1
127	2
128	1
129	2
130	5
131	3
132	0
133	4
134	4
135	4
136	2
137	2
138	3
139	3
140	1
141	3
142	2
143	1
144	2
145	3
146	1
147	0
148	3
149	1
150	4
151	2
152	2
153	4
154	2
155	3
156	1
157	2
158	4
159	1
160	2
161	0
162	2
163	2
164	2
165	2
166	3
167	0
168	1
169	3
170	1
171	0
172	1
173	2
174	0
175	2
176	1
177	2
178	1
179	1
180	2
181	1
182	1
183	5
184	0
185	0
186	3
187	4
188	4
189	2
190	0
191	4
192	3
193	1
194	3
195	0
196	1
197	3
198	5
199	2
200	2
201	1
202	3
203	3
204	4
205	3
206	2
207	1
208	0
209	1
210	1
211	2
212	2
213	5
214	2
215	2
216	2
217	1
218	3
219	1
220	2
221	1
222	1
223	7
224	2
225	4
226	1
227	2
228	1
229	0
230	3
231	3
232	1
233	1
234	2
235	3
236	2
237	1
238	2
239	3
240	2
241	1
242	2
243	2
244	2
245	1
246	3
247	1
248	0
249	2
250	2
251	5
252	4
253	1
254	3
255	7
256	1
257	1
258	2
259	4
260	0
261	1
262	5
263	2
264	1
265	3
266	3
267	5
268	2
269	3
270	2
271	1
272	1
273	2
274	3
275	0
276	3
277	3
278	1
279	5
280	3
281	5
282	5
283	1
284	0
285	3
286	1
287	4
288	2
289	2
290	1
291	4
292	2
293	6
294	4
295	1
296	1
297	4
298	2
299	1
300	2
301	2
302	6
303	3
304	1
305	2
306	1
307	7
308	0
309	3
310	2
311	7
312	2
313	3
314	6
315	2
316	2
317	2
318	5
319	8
320	1
321	8
322	3
323	5
324	5
325	6
326	0
327	4
328	1
329	4
330	0
331	3
332	4
333	5
334	7
335	2
336	3
337	2
338	5
339	8
340	3
341	3
342	1
343	6
344	3
345	6
346	2
347	4
348	4
349	7
350	0
351	0
352	0
353	2
354	2
355	2
356	0
357	2
358	4
359	3
360	3
361	5
362	1
363	3
364	3
365	8
366	2
367	7
368	3
369	1
370	3
371	5
372	6
373	3
374	1
375	6
376	1
377	3
378	5
379	2
380	3
381	2
382	5
383	6
384	2
385	2
386	1
387	2
388	2
389	2
390	3
391	3
392	0
393	2
394	5
395	3
396	1
397	1
398	1
399	3
400	4
401	1
402	3
403	2
404	2
405	3
406	3
407	1
408	2
409	3
410	3
411	2
412	2
413	1
414	2
415	4
416	1
417	3
418	3
419	2
420	4
421	5
422	2
423	1
424	1
425	3
426	5
427	0
428	4
429	4
430	3
431	3
432	2
433	3
434	0
435	0
436	4
437	4
438	2
439	2
440	1
441	3
442	1
443	2
444	1
445	5
446	4
447	3
448	0
449	0
450	1
451	2
452	2
453	0
454	1
455	5
456	3
457	4
458	0
459	0
460	3
461	0
462	2
463	4
464	0
465	4
466	6
467	5
468	4
469	2
470	2
471	4
472	3
473	3
474	1
475	4
476	5
477	3
478	1
479	1
480	2
481	1
482	4
483	1
484	1
485	2
486	4
487	3
488	1
489	6
490	4
491	2
492	2
493	1
494	3
495	2
496	1
497	5
498	3
499	3
500	2
501	1
502	2
503	1
504	1
505	1
506	2
507	5
508	4
509	1
510	2
511	3
512	0
513	4
514	6
515	1
516	3
517	0
518	5
519	1
520	4
521	5
522	4
523	4
524	5
525	5
526	3
527	5
528	3
529	6
530	2
531	6
532	0
533	3
534	3
535	1
536	4
537	1
538	0
539	5
540	3
541	4
542	0
543	9
544	2
545	2
546	5
547	1
548	1
549	3
550	2
551	3
552	1
553	6
554	5
555	5
556	3
557	2
558	3
559	4
560	2
561	7
562	2
563	6
564	3
565	6
566	3
567	8
568	3
569	8
570	3
571	4
572	3
573	3
574	4
575	6
576	3
577	2
578	11
579	5
580	2
581	3
582	3
583	4
584	3
585	6
586	3
587	6
588	5
589	6
590	5
591	5
592	1
593	4
594	7
595	9
596	4
597	5
598	3
599	3
600	3
601	6
602	1
603	7
604	2
605	4
606	3
607	9
608	3
609	4
610	5
611	6
612	6
613	5
614	5
615	4
616	2
617	4
618	1
619	5
620	5
621	2
622	2
623	4
624	4
625	3
626	3
627	7
628	2
629	5
630	8
631	7
632	3
633	7
634	3
635	7
636	5
637	3
638	4
639	5
640	2
641	3
642	7
643	5
644	2
645	6
646	5
647	3
648	5
649	1
650	3
651	3
652	6
653	8
654	0
655	11
656	4
657	9
658	7
659	1
660	2
661	2
662	2
663	4
664	10
665	10
666	2
667	4
668	8
669	11
670	5
671	19
672	2
673	8
674	11
675	10
676	6
677	8
678	8
679	7
680	6
681	12
682	10
683	6
684	6
685	8
686	10
687	7
688	7
689	15
690	14
691	14
692	13
693	11
694	13
695	12
696	8
697	19
698	10
699	19
700	12
701	18
702	22
703	21
704	16
705	16
706	20
707	32
708	15
709	19
710	25
711	35
712	25
713	32
714	30
715	43
716	39
717	35
718	43
719	47
720	33
721	46
722	56
723	66
724	49
725	56
726	62
727	62
728	53
729	83
730	59
731	90
732	80
733	94
734	96
735	140
736	83
737	108
738	102
739	98
740	137
741	135
742	133
743	144
744	111
745	194
746	149
747	169
748	198
749	203
750	197
751	223
752	158
753	193
754	251
755	239
756	250
757	206
758	285
759	255
760	200
761	293
762	247
763	297
764	263
765	270
766	290
767	415
768	146
769	271
770	322
771	289
772	322
773	289
774	373
775	256
776	283
777	345
778	265
779	311
780	331
781	324
782	307
783	316
784	253
785	322
786	303
787	355
788	255
789	252
790	337
791	264
792	219
793	299
794	215
795	307
796	219
797	261
798	233
799	324
800	155
801	215
802	225
803	200
804	220
805	141
806	179
807	168
808	134
809	171
810	119
811	136
812	150
813	129
814	112
815	126
816	97
817	100
818	101
819	104
820	111
821	93
822	98
823	90
824	72
825	82
826	55
827	79
828	67
829	52
830	48
831	82
832	33
833	48
834	43
835	37
836	42
837	48
838	49
839	41
840	40
841	62
842	32
843	63
844	38
845	46
846	41
847	34
848	29
849	53
850	38
851	44
852	28
853	31
854	41
855	35
856	44
857	41
858	42
859	53
860	50
861	48
862	47
863	56
864	34
865	48
866	43
867	57
868	53
869	30
870	68
871	45
872	45
873	57
874	47
875	50
876	59
877	44
878	66
879	56
880	46
881	39
882	50
883	69
884	41
885	42
886	49
887	43
888	45
889	57
890	47
891	61
892	46
893	43
894	41
895	62
896	24
897	39
898	59
899	33
900	45
901	32
902	36
903	25
904	34
905	33
906	22
907	29
908	34
909	20
910	23
911	32
912	16
913	19
914	25
915	17
916	19
917	21
918	17
919	10
920	13
921	17
922	11
923	31
924	15
925	12
926	7
927	14
928	7
929	4
930	8
931	13
932	12
933	8
934	5
935	9
936	4
937	8
938	3
939	3
940	8
941	8
942	2
943	4
944	5
945	1
946	3
947	2
948	3
949	1
950	4
951	2
952	2
953	0
954	0
955	0
956	1
957	0
958	2
959	1
960	2
961	0
962	2
963	5
964	0
965	0
966	1
967	3
968	0
969	2
970	2
971	0
972	0
973	4
974	2
975	3
976	2
977	2
978	1
979	3
980	1
981	2
982	2
983	1
984	0
985	1
986	0
987	0
988	1
989	1
990	0
991	1
992	1
993	2
994	2
995	1
996	0
997	0
998	1
999	0
1000	1
1001	0
1002	0
1003	0
1004	1
1005	2
1006	3
1007	0
1008	1
1009	0
1010	1
1011	1
1012	0
1013	0
1014	3
1015	1
1016	0
1017	0
1018	3
1019	1
1020	2
1021	2
1022	1
1023	1
1024	0
1025	1
1026	0
1027	2
1028	2
1029	3
1030	1
1031	0
1032	2
1033	0
1034	0
1035	1
1036	0
1037	3
1038	1
1039	1
1040	0
1041	0
1042	0
1043	0
1044	0
1045	1
1046	0
1047	0
1048	1
1049	0
1050	1
1051	1
1052	2
1053	2
1054	2
1055	0
1056	0
1057	2
1058	2
1059	1
1060	1
1061	1
1062	1
1063	2
1064	0
1065	1
1066	1
1067	1
1068	1
1069	1
1070	2
1071	1
1072	1
1073	0
1074	0
1075	1
1076	2
1077	2
1078	2
1079	0
1080	0
1081	3
1082	2
1083	2
1084	0
1085	0
1086	3
1087	2
1088	0
1089	0
1090	2
1091	2
1092	0
1093	2
1094	1
1095	0
1096	0
1097	1
1098	2
1099	0
1100	1
1101	0
1102	2
1103	0
1104	0
1105	2
1106	1
1107	1
1108	1
1109	1
1110	1
1111	1
1112	0
1113	1
1114	0
1115	0
1116	3
1117	3
1118	0
1119	2
1120	1
1121	2
1122	1
1123	1
1124	0
1125	0
1126	1
1127	0
1128	0
1129	1
1130	2
1131	4
1132	0
1133	0
1134	0
1135	0
1136	0
1137	1
1138	1
1139	2
1140	0
1141	1
1142	1
1143	0
1144	0
1145	1
1146	3
1147	1
1148	0
1149	0
1150	1
1151	5
1152	0
1153	2
1154	2
1155	1
1156	0
1157	0
1158	1
1159	1
1160	0
1161	0
1162	0
1163	1
1164	0
1165	1
1166	1
1167	0
1168	2
1169	1
1170	0
1171	2
1172	1
1173	1
1174	1
1175	1
1176	0
1177	1
1178	2
1179	1
1180	1
1181	1
1182	0
1183	1
1184	0
1185	0
1186	0
1187	0
1188	0
1189	1
1190	2
1191	0
1192	1
1193	0
1194	2
1195	1
1196	0
1197	1
1198	1
1199	1
1200	0
1201	1
1202	0
1203	2
1204	1
1205	2
1206	0
1207	1
1208	1
1209	1
1210	2
1211	1
1212	1
1213	2
1214	0
1215	4
1216	0
1217	2
1218	2
1219	2
1220	2
1221	0
1222	1
1223	0
1224	1
1225	1
1226	1
1227	2
1228	3
1229	2
1230	1
1231	0
1232	1
1233	1
1234	0
1235	0
1236	1
1237	2
1238	3
1239	1
1240	2
1241	2
1242	1
1243	2
1244	0
1245	0
1246	2
1247	5
1248	0
1249	0
1250	1
1251	1
1252	2
1253	0
1254	2
1255	1
1256	1
1257	1
1258	0
1259	2
1260	1
1261	1
1262	0
1263	0
1264	0
1265	2
1266	0
1267	2
1268	3
1269	1
1270	1
1271	0
1272	1
1273	1
1274	1
1275	0
1276	1
1277	2
1278	1
1279	3
1280	1
1281	1
1282	1
1283	3
1284	1
1285	1
1286	2
1287	1
1288	1
1289	1
1290	0
1291	1
1292	1
1293	0
1294	1
1295	1
1296	1
1297	0
1298	0
1299	3
1300	1
1301	0
1302	2
1303	0
1304	1
1305	0
1306	0
1307	3
1308	1
1309	2
1310	3
1311	2
1312	1
1313	1
1314	2
1315	1
1316	3
1317	1
1318	3
1319	1
1320	1
1321	0
1322	3
1323	0
1324	4
1325	2
1326	1
1327	1
1328	1
1329	5
1330	3
1331	2
1332	1
1333	1
1334	1
1335	0
1336	1
1337	0
1338	1
1339	2
1340	0
1341	0
1342	2
1343	2
1344	0
1345	2
1346	0
1347	1
1348	2
1349	2
1350	2
1351	3
1352	3
1353	0
1354	4
1355	3
1356	3
1357	0
1358	0
1359	3
1360	1
1361	3
1362	2
1363	0
1364	1
1365	0
1366	1
1367	0
1368	1
1369	0
1370	0
1371	1
1372	3
1373	2
1374	0
1375	2
1376	1
1377	0
1378	1
1379	3
1380	1
1381	0
1382	0
1383	1
1384	1
1385	0
1386	0
1387	2
1388	1
1389	1
1390	3
1391	1
1392	4
1393	3
1394	1
1395	3
1396	2
1397	1
1398	1
1399	1
1400	1
1401	1
1402	0
1403	5
1404	2
1405	1
1406	1
1407	1
1408	0
1409	0
1410	1
1411	1
1412	1
1413	0
1414	2
1415	1
1416	1
1417	1
1418	3
1419	2
1420	1
1421	3
1422	2
1423	3
1424	2
1425	2
1426	2
1427	1
1428	0
1429	3
1430	0
1431	2
1432	3
1433	1
1434	2
1435	2
1436	3
1437	0
1438	0
1439	1
1440	1
1441	1
1442	2
1443	1
1444	2
1445	0
1446	1
1447	3
1448	1
1449	0
1450	1
1451	0
1452	0
1453	0
1454	2
1455	1
1456	1
1457	3
1458	2
1459	3
1460	0
1461	1
1462	0
1463	3
1464	3
1465	3
1466	0
1467	0
1468	0
1469	0
1470	2
1471	4
1472	1
1473	1
1474	1
1475	2
1476	4
1477	2
1478	0
1479	0
1480	0
1481	2
1482	0
1483	2
1484	1
1485	3
1486	1
1487	0
1488	0
1489	0
1490	0
1491	0
1492	3
1493	2
1494	1
1495	2
1496	1
1497	1
1498	0
1499	1
1500	4
1501	1
1502	0
1503	0
1504	0
1505	1
1506	0
1507	2
1508	0
1509	0
1510	1
1511	1
1512	1
1513	0
1514	2
1515	0
1516	1
1517	1
1518	3
1519	1
1520	2
1521	4
1522	1
1523	1
1524	2
1525	0
1526	3
1527	0
1528	0
1529	3
1530	1
1531	1
1532	2
1533	1
1534	0
1535	2
1536	2
1537	0
1538	1
1539	0
1540	1
1541	1
1542	2
1543	2
1544	0
1545	1
1546	3
1547	2
1548	2
1549	2
1550	3
1551	2
1552	0
1553	1
1554	1
1555	1
1556	2
1557	2
1558	2
1559	2
1560	2
1561	0
1562	1
1563	3
1564	0
1565	1
1566	2
1567	0
1568	0
1569	3
1570	3
1571	0
1572	2
1573	2
1574	2
1575	1
1576	0
1577	3
1578	2
1579	2
1580	2
1581	1
1582	1
1583	1
1584	1
1585	1
1586	2
1587	1
1588	0
1589	0
1590	0
1591	0
1592	0
1593	1
1594	1
1595	1
1596	0
1597	3
1598	0
1599	3
1600	0
1601	1
1602	2
1603	1
1604	4
1605	0
1606	1
1607	2
1608	2
1609	1
1610	3
1611	1
1612	1
1613	0
1614	2
1615	1
1616	2
1617	0
1618	2
1619	3
1620	1
1621	1
1622	0
1623	0
1624	1
1625	0
1626	1
1627	1
1628	0
1629	1
1630	4
1631	1
1632	1
1633	5
1634	0
1635	0
1636	2
1637	0
1638	3
1639	2
1640	1
1641	2
1642	2
1643	0
1644	2
1645	2
1646	2
1647	4
1648	0
1649	2
1650	0
1651	2
1652	2
1653	0
1654	2
1655	1
1656	1
1657	0
1658	2
1659	2
1660	3
1661	1
1662	3
1663	0
1664	0
1665	1
1666	2
1667	1
1668	1
1669	2
1670	2
1671	3
1672	2
1673	1
1674	1
1675	1
1676	1
1677	3
1678	1
1679	5
1680	0
1681	1
1682	1
1683	0
1684	1
1685	1
1686	2
1687	1
1688	0
1689	2
1690	1
1691	4
1692	0
1693	3
1694	2
1695	1
1696	2
1697	1
1698	1
1699	1
1700	2
1701	2
1702	0
1703	2
1704	0
1705	2
1706	1
1707	0
1708	1
1709	3
1710	2
1711	1
1712	1
1713	1
1714	2
1715	1
1716	0
1717	0
1718	1
1719	3
1720	2
1721	4
1722	0
1723	1
1724	2
1725	2
1726	4
1727	3
1728	0
1729	3
1730	4
1731	2
1732	1
1733	1
1734	1
1735	2
1736	1
1737	0
1738	0
1739	0
1740	0
1741	2
1742	1
1743	4
1744	0
1745	1
1746	0
1747	1
1748	2
1749	1
1750	3
1751	0
1752	2
1753	1
1754	1
1755	1
1756	0
1757	3
1758	0
1759	2
1760	1
1761	1
1762	4
1763	1
1764	2
1765	1
1766	5
1767	2
1768	1
1769	3
1770	1
1771	3
1772	1
1773	3
1774	1
1775	2
1776	3
1777	1
1778	1
1779	3
1780	3
1781	1
1782	1
1783	4
1784	1
1785	3
1786	0
1787	2
1788	2
1789	0
1790	1
1791	1
1792	3
1793	2
1794	1
1795	6
1796	1
1797	3
1798	8
1799	2
1800	5
1801	1
1802	3
1803	1
1804	3
1805	3
1806	6
1807	2
1808	7
1809	2
1810	5
1811	3
1812	3
1813	3
1814	8
1815	2
1816	6
1817	3
1818	3
1819	9
1820	3
1821	4
1822	4
1823	6
1824	1
1825	1
1826	3
1827	4
1828	3
1829	2
1830	3
1831	3
1832	6
1833	4
1834	4
1835	6
1836	7
1837	4
1838	7
1839	3
1840	5
1841	4
1842	3
1843	7
1844	4
1845	4
1846	4
1847	6
1848	6
1849	3
1850	4
1851	10
1852	9
1853	3
1854	7
1855	2
1856	0
1857	5
1858	7
1859	6
1860	6
1861	3
1862	4
1863	2
1864	8
1865	6
1866	2
1867	5
1868	3
1869	6
1870	5
1871	7
1872	2
1873	3
1874	5
1875	3
1876	8
1877	6
1878	9
1879	2
1880	3
1881	8
1882	5
1883	8
1884	4
1885	6
1886	6
1887	2
1888	1
1889	6
1890	8
1891	3
1892	9
1893	4
1894	8
1895	6
1896	5
1897	7
1898	4
1899	5
1900	5
1901	8
1902	4
1903	2
1904	6
1905	7
1906	4
1907	6
1908	3
1909	7
1910	12
1911	5
1912	3
1913	3
1914	3
1915	5
1916	6
1917	7
1918	4
1919	2
1920	5
1921	4
1922	3
1923	3
1924	8
1925	4
1926	5
1927	4
1928	4
1929	1
1930	4
1931	1
1932	4
1933	2
1934	3
1935	4
1936	3
1937	4
1938	0
1939	1
1940	1
1941	0
1942	6
1943	1
1944	2
1945	0
1946	5
1947	4
1948	6
1949	3
1950	3
1951	5
1952	2
1953	1
1954	4
1955	2
1956	0
1957	2
1958	3
1959	4
1960	4
1961	2
1962	0
1963	0
1964	3
1965	1
1966	1
1967	1
1968	0
1969	1
1970	0
1971	0
1972	1
1973	2
1974	4
1975	3
1976	1
1977	2
1978	0
1979	1
1980	3
1981	0
1982	2
1983	1
1984	0
1985	1
1986	0
1987	2
1988	0
1989	0
1990	2
1991	0
1992	0
1993	0
1994	1
1995	0
1996	1
1997	1
1998	3
1999	1
2000	0
2001	0
2002	2
2003	0
2004	1
2005	2
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	1
2013	3
2014	1
2015	3
2016	1
2017	0
2018	3
2019	0
2020	1
2021	2
2022	3
2023	1
2024	2
2025	0
2026	1
2027	1
2028	2
2029	2
2030	2
2031	2
2032	1
