Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	0
51	0
52	0
53	0
54	2
55	1
56	2
57	2
58	6
59	5
60	4
61	8
62	4
63	11
64	1
65	4
66	4
67	4
68	5
69	4
70	1
71	1
72	3
73	8
74	3
75	6
76	2
77	4
78	3
79	4
80	2
81	7
82	5
83	12
84	2
85	1
86	6
87	3
88	2
89	7
90	5
91	7
92	3
93	3
94	6
95	5
96	1
97	9
98	0
99	2
100	2
101	4
102	1
103	3
104	5
105	2
106	7
107	4
108	5
109	2
110	5
111	6
112	7
113	5
114	4
115	2
116	4
117	3
118	3
119	4
120	3
121	7
122	3
123	3
124	4
125	6
126	0
127	9
128	3
129	5
130	6
131	6
132	5
133	7
134	4
135	5
136	2
137	3
138	3
139	2
140	2
141	6
142	5
143	2
144	0
145	2
146	2
147	5
148	2
149	0
150	2
151	5
152	4
153	5
154	4
155	3
156	2
157	2
158	0
159	2
160	4
161	8
162	4
163	4
164	8
165	5
166	5
167	1
168	4
169	7
170	3
171	8
172	7
173	4
174	5
175	3
176	6
177	7
178	4
179	6
180	3
181	8
182	5
183	7
184	4
185	5
186	6
187	4
188	6
189	5
190	6
191	7
192	1
193	6
194	4
195	5
196	4
197	6
198	6
199	7
200	0
201	8
202	3
203	8
204	7
205	1
206	1
207	10
208	5
209	9
210	6
211	5
212	3
213	6
214	6
215	5
216	3
217	6
218	5
219	11
220	5
221	5
222	5
223	6
224	1
225	9
226	4
227	7
228	6
229	8
230	8
231	10
232	8
233	3
234	7
235	5
236	4
237	9
238	7
239	9
240	4
241	9
242	7
243	7
244	9
245	6
246	6
247	9
248	5
249	8
250	7
251	6
252	8
253	3
254	6
255	10
256	4
257	5
258	6
259	10
260	5
261	3
262	8
263	4
264	3
265	6
266	1
267	5
268	5
269	3
270	3
271	5
272	6
273	6
274	4
275	6
276	2
277	5
278	7
279	3
280	4
281	3
282	6
283	9
284	2
285	4
286	5
287	3
288	4
289	4
290	1
291	6
292	4
293	1
294	6
295	9
296	1
297	7
298	5
299	4
300	5
301	5
302	2
303	4
304	1
305	2
306	5
307	6
308	5
309	2
310	1
311	1
312	0
313	4
314	3
315	3
316	1
317	4
318	4
319	7
320	3
321	3
322	3
323	10
324	1
325	3
326	3
327	3
328	6
329	4
330	4
331	7
332	1
333	3
334	7
335	6
336	6
337	1
338	5
339	6
340	2
341	7
342	9
343	3
344	7
345	3
346	3
347	5
348	4
349	2
350	2
351	9
352	4
353	0
354	6
355	13
356	5
357	5
358	5
359	5
360	4
361	5
362	2
363	2
364	12
365	6
366	8
367	3
368	7
369	6
370	2
371	1
372	7
373	1
374	4
375	4
376	6
377	2
378	2
379	7
380	5
381	5
382	7
383	5
384	3
385	6
386	3
387	5
388	7
389	2
390	0
391	5
392	2
393	2
394	7
395	1
396	5
397	4
398	6
399	9
400	6
401	2
402	5
403	8
404	5
405	4
406	9
407	6
408	8
409	6
410	3
411	5
412	4
413	6
414	3
415	5
416	4
417	6
418	5
419	6
420	4
421	3
422	5
423	7
424	4
425	6
426	3
427	5
428	7
429	2
430	4
431	2
432	2
433	8
434	4
435	6
436	8
437	3
438	5
439	3
440	6
441	5
442	3
443	6
444	7
445	2
446	4
447	2
448	1
449	8
450	2
451	6
452	5
453	0
454	4
455	8
456	7
457	4
458	4
459	7
460	5
461	9
462	4
463	4
464	4
465	8
466	6
467	5
468	7
469	7
470	6
471	5
472	5
473	3
474	4
475	5
476	5
477	10
478	7
479	5
480	7
481	7
482	5
483	9
484	8
485	4
486	5
487	6
488	8
489	10
490	6
491	10
492	9
493	4
494	10
495	12
496	10
497	8
498	8
499	8
500	11
501	7
502	9
503	13
504	3
505	11
506	9
507	14
508	19
509	16
510	7
511	21
512	9
513	10
514	22
515	21
516	25
517	12
518	31
519	24
520	28
521	45
522	27
523	47
524	35
525	42
526	38
527	48
528	33
529	63
530	43
531	51
532	67
533	56
534	73
535	80
536	43
537	108
538	63
539	109
540	75
541	93
542	113
543	169
544	83
545	143
546	132
547	159
548	137
549	147
550	174
551	200
552	116
553	198
554	165
555	195
556	201
557	205
558	209
559	245
560	172
561	254
562	245
563	257
564	233
565	240
566	310
567	325
568	203
569	332
570	257
571	344
572	270
573	318
574	329
575	411
576	166
577	291
578	342
579	347
580	323
581	310
582	346
583	311
584	274
585	297
586	307
587	361
588	332
589	327
590	287
591	371
592	225
593	313
594	296
595	327
596	244
597	262
598	283
599	254
600	217
601	263
602	219
603	271
604	213
605	223
606	199
607	305
608	133
609	182
610	184
611	170
612	176
613	155
614	190
615	158
616	128
617	164
618	136
619	150
620	148
621	118
622	119
623	111
624	90
625	111
626	100
627	126
628	89
629	80
630	82
631	84
632	58
633	91
634	68
635	81
636	82
637	60
638	70
639	112
640	28
641	62
642	73
643	78
644	76
645	74
646	85
647	73
648	66
649	74
650	60
651	64
652	59
653	57
654	66
655	58
656	57
657	60
658	65
659	82
660	48
661	49
662	66
663	63
664	60
665	60
666	46
667	62
668	57
669	57
670	52
671	82
672	26
673	53
674	44
675	46
676	55
677	43
678	46
679	52
680	39
681	39
682	35
683	43
684	40
685	52
686	30
687	32
688	37
689	31
690	24
691	29
692	25
693	29
694	37
695	18
696	20
697	21
698	16
699	21
700	23
701	13
702	16
703	13
704	10
705	16
706	18
707	14
708	9
709	14
710	12
711	7
712	10
713	9
714	8
715	7
716	8
717	2
718	6
719	3
720	7
721	4
722	5
723	3
724	1
725	8
726	5
727	5
728	6
729	2
730	1
731	3
732	2
733	2
734	1
735	3
736	3
737	1
738	3
739	1
740	5
741	5
742	4
743	1
744	0
745	3
746	1
747	3
748	1
749	2
750	4
751	3
752	2
753	3
754	2
755	2
756	3
757	4
758	4
759	2
760	2
761	3
762	2
763	8
764	5
765	2
766	3
767	2
768	1
769	2
770	1
771	3
772	1
773	2
774	6
775	6
776	2
777	6
778	6
779	3
780	1
781	2
782	2
783	5
784	1
785	1
786	2
787	1
788	1
789	1
790	1
791	3
792	3
793	3
794	1
795	6
796	3
797	4
798	4
799	3
800	2
801	4
802	4
803	6
804	2
805	1
806	2
807	3
808	4
809	2
810	4
811	4
812	1
813	5
814	6
815	0
816	5
817	4
818	4
819	7
820	4
821	5
822	3
823	9
824	4
825	5
826	2
827	5
828	2
829	2
830	4
831	6
832	1
833	3
834	1
835	7
836	2
837	4
838	6
839	2
840	6
841	8
842	3
843	5
844	6
845	6
846	2
847	2
848	1
849	3
850	3
851	5
852	5
853	8
854	2
855	2
856	4
857	2
858	2
859	4
860	5
861	1
862	2
863	2
864	2
865	2
866	3
867	0
868	7
869	5
870	3
871	4
872	1
873	7
874	4
875	1
876	0
877	1
878	5
879	4
880	2
881	4
882	2
883	5
884	1
885	1
886	5
887	2
888	0
889	2
890	1
891	7
892	2
893	2
894	4
895	5
896	2
897	4
898	3
899	5
900	3
901	1
902	4
903	1
904	2
905	2
906	1
907	3
908	3
909	1
910	1
911	0
912	5
913	2
914	3
915	2
916	3
917	2
918	5
919	2
920	4
921	2
922	1
923	3
924	0
925	4
926	6
927	5
928	2
929	0
930	3
931	1
932	3
933	2
934	2
935	2
936	0
937	2
938	3
939	2
940	5
941	1
942	2
943	2
944	1
945	4
946	3
947	8
948	5
949	3
950	3
951	6
952	3
953	5
954	3
955	4
956	2
957	3
958	3
959	2
960	4
961	3
962	1
963	2
964	3
965	2
966	3
967	5
968	0
969	3
970	1
971	2
972	3
973	1
974	2
975	2
976	3
977	3
978	3
979	3
980	2
981	2
982	6
983	1
984	0
985	4
986	1
987	5
988	5
989	4
990	3
991	2
992	3
993	2
994	2
995	2
996	2
997	7
998	4
999	2
1000	0
1001	2
1002	1
1003	2
1004	3
1005	1
1006	1
1007	0
1008	2
1009	2
1010	4
1011	3
1012	1
1013	5
1014	2
1015	3
1016	0
1017	4
1018	6
1019	0
1020	0
1021	1
1022	2
1023	3
1024	3
1025	2
1026	4
1027	3
1028	3
1029	5
1030	2
1031	2
1032	5
1033	3
1034	2
1035	5
1036	0
1037	3
1038	2
1039	2
1040	3
1041	3
1042	2
1043	1
1044	3
1045	5
1046	0
1047	2
1048	2
1049	3
1050	0
1051	0
1052	3
1053	0
1054	2
1055	5
1056	2
1057	3
1058	2
1059	2
1060	2
1061	2
1062	2
1063	0
1064	3
1065	2
1066	1
1067	1
1068	5
1069	2
1070	4
1071	3
1072	0
1073	3
1074	2
1075	6
1076	4
1077	3
1078	3
1079	4
1080	0
1081	2
1082	2
1083	3
1084	3
1085	2
1086	0
1087	2
1088	5
1089	0
1090	1
1091	3
1092	2
1093	2
1094	1
1095	6
1096	1
1097	2
1098	2
1099	3
1100	2
1101	0
1102	3
1103	6
1104	2
1105	1
1106	2
1107	4
1108	3
1109	4
1110	3
1111	0
1112	0
1113	5
1114	3
1115	3
1116	0
1117	1
1118	0
1119	3
1120	1
1121	1
1122	1
1123	3
1124	3
1125	2
1126	4
1127	2
1128	4
1129	2
1130	2
1131	2
1132	2
1133	2
1134	1
1135	3
1136	2
1137	1
1138	2
1139	7
1140	6
1141	1
1142	3
1143	3
1144	1
1145	1
1146	2
1147	3
1148	1
1149	2
1150	4
1151	2
1152	1
1153	2
1154	3
1155	1
1156	3
1157	1
1158	2
1159	1
1160	4
1161	3
1162	1
1163	3
1164	3
1165	3
1166	4
1167	2
1168	4
1169	2
1170	3
1171	4
1172	3
1173	3
1174	3
1175	1
1176	3
1177	2
1178	3
1179	0
1180	2
1181	3
1182	3
1183	5
1184	1
1185	3
1186	2
1187	1
1188	3
1189	2
1190	3
1191	6
1192	3
1193	6
1194	3
1195	3
1196	4
1197	5
1198	6
1199	4
1200	4
1201	0
1202	3
1203	2
1204	3
1205	1
1206	0
1207	5
1208	3
1209	3
1210	4
1211	5
1212	3
1213	3
1214	5
1215	2
1216	0
1217	1
1218	1
1219	5
1220	2
1221	1
1222	2
1223	2
1224	1
1225	3
1226	1
1227	2
1228	4
1229	2
1230	1
1231	7
1232	2
1233	4
1234	3
1235	5
1236	1
1237	3
1238	3
1239	1
1240	1
1241	3
1242	3
1243	2
1244	3
1245	6
1246	2
1247	4
1248	1
1249	1
1250	5
1251	2
1252	3
1253	3
1254	3
1255	4
1256	0
1257	6
1258	2
1259	1
1260	6
1261	2
1262	2
1263	4
1264	3
1265	6
1266	2
1267	4
1268	4
1269	1
1270	5
1271	2
1272	2
1273	2
1274	2
1275	1
1276	2
1277	3
1278	6
1279	5
1280	1
1281	3
1282	6
1283	1
1284	2
1285	2
1286	5
1287	4
1288	4
1289	6
1290	5
1291	2
1292	4
1293	1
1294	2
1295	3
1296	1
1297	2
1298	2
1299	5
1300	3
1301	2
1302	2
1303	4
1304	5
1305	4
1306	1
1307	3
1308	4
1309	1
1310	4
1311	4
1312	4
1313	3
1314	5
1315	3
1316	5
1317	3
1318	5
1319	3
1320	2
1321	6
1322	3
1323	0
1324	0
1325	4
1326	2
1327	2
1328	3
1329	4
1330	7
1331	2
1332	5
1333	1
1334	3
1335	0
1336	5
1337	4
1338	4
1339	5
1340	2
1341	0
1342	5
1343	5
1344	5
1345	3
1346	8
1347	3
1348	6
1349	5
1350	5
1351	3
1352	2
1353	4
1354	5
1355	3
1356	5
1357	5
1358	9
1359	3
1360	1
1361	4
1362	5
1363	7
1364	3
1365	8
1366	4
1367	6
1368	6
1369	5
1370	6
1371	4
1372	4
1373	6
1374	7
1375	7
1376	3
1377	3
1378	5
1379	4
1380	5
1381	2
1382	4
1383	6
1384	2
1385	2
1386	3
1387	3
1388	6
1389	3
1390	5
1391	7
1392	5
1393	6
1394	5
1395	6
1396	3
1397	3
1398	6
1399	6
1400	6
1401	2
1402	2
1403	6
1404	8
1405	6
1406	4
1407	8
1408	3
1409	6
1410	4
1411	4
1412	8
1413	4
1414	7
1415	7
1416	5
1417	9
1418	10
1419	2
1420	5
1421	4
1422	8
1423	8
1424	9
1425	7
1426	6
1427	8
1428	8
1429	9
1430	12
1431	14
1432	10
1433	8
1434	10
1435	10
1436	7
1437	12
1438	9
1439	25
1440	14
1441	13
1442	12
1443	14
1444	14
1445	13
1446	26
1447	17
1448	26
1449	22
1450	13
1451	23
1452	23
1453	16
1454	24
1455	31
1456	32
1457	24
1458	31
1459	41
1460	27
1461	45
1462	49
1463	60
1464	40
1465	67
1466	46
1467	58
1468	45
1469	50
1470	54
1471	72
1472	43
1473	68
1474	68
1475	64
1476	99
1477	65
1478	87
1479	69
1480	76
1481	99
1482	74
1483	95
1484	99
1485	81
1486	109
1487	102
1488	80
1489	101
1490	98
1491	111
1492	113
1493	84
1494	146
1495	108
1496	117
1497	126
1498	107
1499	138
1500	118
1501	128
1502	121
1503	188
1504	97
1505	133
1506	151
1507	121
1508	150
1509	121
1510	135
1511	121
1512	131
1513	138
1514	104
1515	131
1516	141
1517	127
1518	138
1519	140
1520	87
1521	116
1522	131
1523	119
1524	110
1525	95
1526	137
1527	124
1528	72
1529	101
1530	81
1531	90
1532	108
1533	81
1534	84
1535	92
1536	50
1537	67
1538	58
1539	83
1540	66
1541	63
1542	80
1543	67
1544	41
1545	77
1546	34
1547	37
1548	47
1549	63
1550	45
1551	34
1552	30
1553	38
1554	39
1555	29
1556	27
1557	20
1558	36
1559	29
1560	22
1561	26
1562	14
1563	30
1564	12
1565	18
1566	19
1567	20
1568	8
1569	13
1570	12
1571	10
1572	20
1573	9
1574	12
1575	8
1576	3
1577	13
1578	10
1579	10
1580	5
1581	10
1582	5
1583	6
1584	3
1585	6
1586	4
1587	3
1588	3
1589	8
1590	1
1591	6
1592	2
1593	4
1594	2
1595	2
1596	2
1597	6
1598	3
1599	3
1600	1
1601	2
1602	2
1603	2
1604	6
1605	2
1606	5
1607	3
1608	4
1609	4
1610	5
1611	2
1612	2
1613	3
1614	1
1615	3
1616	0
1617	3
1618	2
1619	3
1620	2
1621	1
1622	6
1623	2
1624	4
1625	1
1626	2
1627	3
1628	1
1629	5
1630	4
1631	6
1632	4
1633	4
1634	3
1635	4
1636	6
1637	5
1638	5
1639	2
1640	2
1641	4
1642	7
1643	1
1644	7
1645	6
1646	4
1647	5
1648	4
1649	2
1650	4
1651	7
1652	7
1653	2
1654	10
1655	9
1656	6
1657	6
1658	4
1659	5
1660	12
1661	5
1662	5
1663	10
1664	6
1665	8
1666	6
1667	8
1668	11
1669	6
1670	15
1671	4
1672	10
1673	11
1674	4
1675	14
1676	7
1677	9
1678	10
1679	5
1680	8
1681	17
1682	20
1683	17
1684	15
1685	17
1686	26
1687	11
1688	14
1689	23
1690	17
1691	26
1692	25
1693	20
1694	21
1695	34
1696	16
1697	13
1698	18
1699	29
1700	21
1701	14
1702	29
1703	29
1704	25
1705	27
1706	22
1707	29
1708	27
1709	28
1710	22
1711	24
1712	18
1713	30
1714	15
1715	40
1716	25
1717	29
1718	34
1719	22
1720	18
1721	18
1722	26
1723	24
1724	24
1725	22
1726	30
1727	23
1728	20
1729	23
1730	21
1731	28
1732	13
1733	12
1734	30
1735	24
1736	21
1737	23
1738	13
1739	16
1740	15
1741	15
1742	18
1743	10
1744	8
1745	10
1746	15
1747	21
1748	10
1749	8
1750	14
1751	9
1752	8
1753	12
1754	7
1755	7
1756	6
1757	12
1758	7
1759	11
1760	7
1761	6
1762	8
1763	9
1764	7
1765	5
1766	5
1767	2
1768	5
1769	6
1770	6
1771	3
1772	5
1773	5
1774	6
1775	3
1776	5
1777	7
1778	1
1779	3
1780	3
1781	3
1782	7
1783	3
1784	3
1785	5
1786	7
1787	2
1788	6
1789	5
1790	6
1791	5
1792	3
1793	5
1794	7
1795	3
1796	5
1797	3
1798	3
1799	3
1800	4
1801	9
1802	3
1803	6
1804	3
1805	2
1806	9
1807	4
1808	1
1809	5
1810	8
1811	5
1812	5
1813	2
1814	3
1815	6
1816	8
1817	2
1818	2
1819	7
1820	3
1821	1
1822	5
1823	5
1824	9
1825	5
1826	7
1827	5
1828	3
1829	2
1830	3
1831	4
1832	3
1833	9
1834	5
1835	6
1836	4
1837	1
1838	9
1839	7
1840	5
1841	5
1842	6
1843	4
1844	3
1845	3
1846	7
1847	8
1848	3
1849	5
1850	5
1851	10
1852	6
1853	7
1854	12
1855	11
1856	4
1857	7
1858	6
1859	9
1860	13
1861	1
1862	6
1863	5
1864	9
1865	4
1866	6
1867	6
1868	6
1869	1
1870	4
1871	6
1872	1
1873	7
1874	3
1875	4
1876	8
1877	1
1878	9
1879	6
1880	3
1881	8
1882	6
1883	7
1884	6
1885	7
1886	6
1887	5
1888	9
1889	11
1890	10
1891	3
1892	16
1893	6
1894	10
1895	8
1896	7
1897	8
1898	1
1899	4
1900	7
1901	7
1902	5
1903	10
1904	9
1905	7
1906	11
1907	5
1908	4
1909	4
1910	7
1911	4
1912	7
1913	10
1914	3
1915	3
1916	5
1917	3
1918	4
1919	4
1920	4
1921	5
1922	9
1923	4
1924	8
1925	5
1926	4
1927	6
1928	9
1929	4
1930	3
1931	1
1932	7
1933	3
1934	4
1935	0
1936	5
1937	4
1938	3
1939	4
1940	1
1941	4
1942	5
1943	2
1944	3
1945	3
1946	4
1947	2
1948	2
1949	2
1950	0
1951	4
1952	1
1953	1
1954	1
1955	1
1956	2
1957	0
1958	2
1959	0
1960	4
1961	2
1962	0
1963	2
1964	0
1965	1
1966	4
1967	2
1968	3
1969	2
1970	1
1971	1
1972	2
1973	2
1974	2
1975	2
1976	2
1977	1
1978	0
1979	1
1980	0
1981	2
1982	2
1983	2
1984	1
1985	2
1986	0
1987	0
1988	2
1989	0
1990	2
1991	1
1992	3
1993	1
1994	1
1995	0
1996	0
1997	1
1998	0
1999	0
2000	4
2001	0
2002	1
2003	0
2004	1
2005	1
2006	2
2007	0
2008	0
2009	0
2010	1
2011	1
2012	3
2013	0
2014	0
2015	1
2016	2
2017	1
2018	2
2019	1
2020	4
2021	1
2022	2
2023	2
2024	2
2025	2
2026	2
2027	3
2028	0
2029	2
2030	2
2031	1
2032	1
