Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	1
44	0
45	0
46	0
47	1
48	4
49	3
50	6
51	7
52	19
53	7
54	16
55	19
56	2
57	16
58	12
59	13
60	12
61	13
62	16
63	13
64	2
65	15
66	21
67	22
68	19
69	12
70	12
71	27
72	13
73	11
74	15
75	24
76	10
77	14
78	11
79	16
80	8
81	13
82	10
83	15
84	11
85	10
86	9
87	21
88	14
89	17
90	8
91	12
92	12
93	15
94	13
95	17
96	9
97	9
98	12
99	15
100	10
101	13
102	16
103	25
104	11
105	15
106	11
107	11
108	10
109	17
110	10
111	15
112	8
113	22
114	9
115	14
116	13
117	14
118	16
119	16
120	8
121	14
122	6
123	16
124	10
125	17
126	19
127	15
128	2
129	8
130	11
131	17
132	19
133	12
134	7
135	14
136	7
137	16
138	6
139	11
140	10
141	14
142	10
143	14
144	7
145	17
146	8
147	11
148	10
149	3
150	8
151	13
152	10
153	8
154	5
155	18
156	9
157	8
158	8
159	14
160	3
161	13
162	11
163	12
164	10
165	5
166	15
167	13
168	7
169	13
170	9
171	17
172	7
173	9
174	9
175	16
176	7
177	20
178	9
179	10
180	12
181	9
182	10
183	8
184	7
185	13
186	7
187	8
188	7
189	8
190	12
191	14
192	2
193	10
194	11
195	9
196	8
197	15
198	12
199	6
200	5
201	11
202	9
203	8
204	7
205	12
206	10
207	10
208	5
209	8
210	5
211	6
212	8
213	9
214	3
215	5
216	8
217	13
218	6
219	11
220	7
221	12
222	5
223	14
224	5
225	6
226	20
227	9
228	9
229	8
230	9
231	8
232	6
233	6
234	3
235	4
236	4
237	8
238	3
239	10
240	6
241	6
242	7
243	9
244	2
245	6
246	11
247	9
248	6
249	11
250	8
251	4
252	11
253	11
254	7
255	15
256	1
257	3
258	6
259	2
260	5
261	8
262	6
263	18
264	5
265	5
266	6
267	5
268	3
269	8
270	9
271	6
272	2
273	7
274	5
275	9
276	10
277	2
278	12
279	10
280	8
281	9
282	3
283	8
284	7
285	4
286	2
287	10
288	3
289	3
290	6
291	10
292	9
293	4
294	12
295	12
296	9
297	12
298	7
299	4
300	10
301	3
302	8
303	8
304	2
305	9
306	4
307	11
308	10
309	5
310	8
311	14
312	5
313	5
314	10
315	7
316	5
317	7
318	7
319	7
320	1
321	10
322	5
323	7
324	8
325	2
326	5
327	7
328	9
329	6
330	4
331	5
332	5
333	3
334	4
335	9
336	2
337	4
338	5
339	6
340	2
341	8
342	5
343	10
344	5
345	6
346	7
347	10
348	2
349	5
350	6
351	6
352	2
353	7
354	10
355	12
356	11
357	6
358	4
359	6
360	9
361	4
362	6
363	6
364	5
365	10
366	4
367	5
368	4
369	8
370	6
371	5
372	10
373	5
374	5
375	8
376	4
377	5
378	5
379	10
380	2
381	13
382	3
383	11
384	2
385	6
386	1
387	5
388	7
389	4
390	8
391	13
392	10
393	4
394	8
395	8
396	4
397	1
398	11
399	5
400	11
401	4
402	3
403	1
404	9
405	8
406	4
407	6
408	5
409	7
410	9
411	4
412	3
413	6
414	5
415	10
416	5
417	4
418	6
419	2
420	6
421	7
422	11
423	9
424	3
425	6
426	5
427	3
428	5
429	6
430	8
431	8
432	4
433	4
434	4
435	5
436	5
437	3
438	9
439	9
440	4
441	9
442	1
443	10
444	2
445	6
446	6
447	11
448	1
449	5
450	5
451	6
452	9
453	3
454	5
455	8
456	6
457	9
458	4
459	5
460	7
461	5
462	6
463	5
464	7
465	7
466	10
467	4
468	7
469	10
470	3
471	6
472	9
473	8
474	8
475	9
476	8
477	4
478	3
479	7
480	3
481	5
482	8
483	9
484	10
485	5
486	10
487	2
488	3
489	4
490	2
491	4
492	6
493	6
494	5
495	4
496	2
497	5
498	8
499	6
500	5
501	2
502	6
503	5
504	5
505	5
506	4
507	9
508	10
509	9
510	9
511	15
512	2
513	6
514	2
515	5
516	4
517	4
518	5
519	5
520	1
521	5
522	4
523	3
524	5
525	9
526	4
527	6
528	5
529	7
530	8
531	5
532	3
533	4
534	3
535	9
536	5
537	3
538	9
539	8
540	2
541	8
542	6
543	11
544	7
545	3
546	5
547	3
548	3
549	7
550	6
551	1
552	4
553	4
554	5
555	4
556	3
557	3
558	8
559	7
560	5
561	2
562	4
563	5
564	4
565	5
566	5
567	5
568	1
569	4
570	2
571	5
572	7
573	5
574	4
575	5
576	2
577	4
578	6
579	6
580	5
581	2
582	12
583	6
584	3
585	5
586	4
587	1
588	5
589	5
590	2
591	10
592	5
593	3
594	4
595	6
596	4
597	3
598	5
599	5
600	7
601	7
602	9
603	5
604	5
605	3
606	6
607	7
608	1
609	8
610	7
611	5
612	3
613	8
614	5
615	6
616	5
617	6
618	3
619	3
620	7
621	7
622	4
623	3
624	5
625	6
626	5
627	7
628	3
629	6
630	8
631	6
632	4
633	5
634	7
635	7
636	5
637	2
638	6
639	10
640	6
641	4
642	4
643	14
644	10
645	3
646	9
647	4
648	3
649	9
650	3
651	8
652	2
653	6
654	5
655	3
656	3
657	5
658	5
659	5
660	6
661	11
662	5
663	7
664	3
665	11
666	8
667	3
668	6
669	8
670	9
671	10
672	5
673	8
674	5
675	7
676	4
677	11
678	11
679	5
680	4
681	5
682	4
683	4
684	9
685	8
686	3
687	8
688	2
689	3
690	7
691	7
692	5
693	4
694	5
695	9
696	7
697	12
698	7
699	11
700	4
701	7
702	6
703	5
704	3
705	6
706	6
707	9
708	12
709	9
710	10
711	6
712	0
713	11
714	10
715	9
716	10
717	3
718	6
719	9
720	3
721	3
722	7
723	8
724	7
725	7
726	11
727	7
728	7
729	8
730	9
731	12
732	9
733	6
734	14
735	13
736	8
737	5
738	12
739	9
740	4
741	5
742	8
743	10
744	3
745	8
746	3
747	7
748	2
749	6
750	11
751	9
752	5
753	9
754	9
755	11
756	7
757	5
758	16
759	11
760	9
761	11
762	2
763	6
764	14
765	8
766	10
767	16
768	7
769	8
770	10
771	16
772	12
773	12
774	9
775	9
776	5
777	11
778	11
779	10
780	8
781	19
782	6
783	8
784	8
785	11
786	12
787	15
788	11
789	15
790	16
791	9
792	10
793	12
794	10
795	10
796	9
797	9
798	13
799	12
800	10
801	8
802	22
803	13
804	13
805	11
806	13
807	21
808	12
809	9
810	10
811	11
812	13
813	12
814	12
815	22
816	7
817	17
818	19
819	10
820	19
821	16
822	19
823	22
824	19
825	20
826	18
827	19
828	24
829	17
830	20
831	23
832	10
833	28
834	21
835	23
836	32
837	20
838	21
839	18
840	19
841	29
842	26
843	21
844	27
845	16
846	34
847	29
848	19
849	22
850	33
851	33
852	34
853	28
854	31
855	29
856	38
857	30
858	23
859	33
860	35
861	47
862	28
863	36
864	31
865	27
866	35
867	28
868	38
869	31
870	31
871	41
872	19
873	37
874	25
875	28
876	31
877	42
878	39
879	33
880	11
881	22
882	20
883	37
884	28
885	23
886	29
887	26
888	22
889	32
890	21
891	20
892	19
893	22
894	23
895	35
896	10
897	24
898	26
899	21
900	28
901	24
902	25
903	23
904	17
905	27
906	16
907	20
908	25
909	19
910	27
911	32
912	15
913	18
914	28
915	28
916	25
917	19
918	26
919	18
920	20
921	32
922	13
923	36
924	28
925	23
926	19
927	24
928	22
929	21
930	18
931	28
932	25
933	16
934	36
935	23
936	16
937	24
938	29
939	29
940	26
941	17
942	27
943	12
944	29
945	26
946	24
947	22
948	24
949	19
950	26
951	25
952	24
953	32
954	14
955	26
956	20
957	32
958	23
959	33
960	14
961	35
962	25
963	22
964	30
965	31
966	26
967	19
968	23
969	22
970	17
971	23
972	38
973	27
974	19
975	22
976	12
977	25
978	22
979	24
980	26
981	21
982	28
983	17
984	28
985	27
986	26
987	24
988	18
989	20
990	25
991	34
992	23
993	20
994	26
995	21
996	24
997	14
998	27
999	29
1000	17
1001	20
1002	29
1003	21
1004	25
1005	32
1006	21
1007	32
1008	15
1009	26
1010	26
1011	27
1012	29
1013	19
1014	32
1015	26
1016	24
1017	24
1018	14
1019	27
1020	28
1021	21
1022	24
1023	35
1024	9
1025	22
1026	18
1027	28
1028	13
1029	21
1030	29
1031	20
1032	23
1033	23
1034	19
1035	16
1036	19
1037	27
1038	32
1039	32
1040	14
1041	21
1042	25
1043	39
1044	21
1045	24
1046	22
1047	34
1048	20
1049	37
1050	22
1051	32
1052	13
1053	26
1054	24
1055	33
1056	16
1057	29
1058	34
1059	29
1060	27
1061	24
1062	30
1063	30
1064	7
1065	36
1066	23
1067	25
1068	24
1069	29
1070	19
1071	32
1072	15
1073	24
1074	25
1075	31
1076	17
1077	22
1078	38
1079	22
1080	22
1081	31
1082	22
1083	21
1084	16
1085	36
1086	27
1087	34
1088	8
1089	23
1090	24
1091	31
1092	18
1093	19
1094	29
1095	32
1096	16
1097	46
1098	11
1099	37
1100	22
1101	19
1102	21
1103	31
1104	11
1105	23
1106	20
1107	27
1108	30
1109	21
1110	25
1111	28
1112	17
1113	30
1114	22
1115	26
1116	15
1117	25
1118	31
1119	19
1120	15
1121	18
1122	27
1123	27
1124	26
1125	21
1126	35
1127	27
1128	15
1129	28
1130	17
1131	22
1132	24
1133	25
1134	28
1135	37
1136	11
1137	27
1138	29
1139	31
1140	29
1141	15
1142	34
1143	20
1144	18
1145	34
1146	25
1147	30
1148	32
1149	24
1150	27
1151	40
1152	14
1153	19
1154	19
1155	23
1156	31
1157	29
1158	25
1159	27
1160	19
1161	33
1162	18
1163	36
1164	26
1165	34
1166	17
1167	38
1168	22
1169	28
1170	30
1171	21
1172	26
1173	22
1174	25
1175	21
1176	20
1177	28
1178	26
1179	22
1180	21
1181	31
1182	19
1183	42
1184	14
1185	28
1186	28
1187	27
1188	34
1189	20
1190	38
1191	37
1192	22
1193	23
1194	31
1195	28
1196	30
1197	24
1198	30
1199	35
1200	17
1201	17
1202	27
1203	22
1204	42
1205	25
1206	30
1207	31
1208	23
1209	39
1210	28
1211	36
1212	24
1213	29
1214	16
1215	33
1216	19
1217	25
1218	38
1219	25
1220	31
1221	26
1222	31
1223	22
1224	35
1225	31
1226	25
1227	28
1228	31
1229	40
1230	28
1231	29
1232	16
1233	29
1234	36
1235	17
1236	23
1237	16
1238	29
1239	38
1240	25
1241	34
1242	25
1243	30
1244	27
1245	31
1246	24
1247	42
1248	23
1249	27
1250	31
1251	24
1252	17
1253	29
1254	33
1255	26
1256	19
1257	27
1258	20
1259	39
1260	26
1261	31
1262	24
1263	31
1264	20
1265	27
1266	33
1267	25
1268	31
1269	23
1270	38
1271	31
1272	35
1273	31
1274	23
1275	45
1276	21
1277	27
1278	36
1279	57
1280	14
1281	25
1282	22
1283	43
1284	33
1285	27
1286	40
1287	34
1288	27
1289	35
1290	30
1291	32
1292	26
1293	37
1294	25
1295	34
1296	23
1297	35
1298	27
1299	29
1300	21
1301	28
1302	28
1303	40
1304	24
1305	44
1306	27
1307	38
1308	30
1309	31
1310	31
1311	44
1312	16
1313	25
1314	24
1315	21
1316	24
1317	27
1318	52
1319	39
1320	23
1321	35
1322	26
1323	41
1324	35
1325	36
1326	26
1327	28
1328	33
1329	31
1330	29
1331	38
1332	25
1333	23
1334	38
1335	32
1336	32
1337	29
1338	28
1339	25
1340	26
1341	27
1342	33
1343	37
1344	20
1345	29
1346	33
1347	28
1348	28
1349	28
1350	32
1351	25
1352	27
1353	28
1354	20
1355	26
1356	27
1357	30
1358	24
1359	35
1360	27
1361	26
1362	22
1363	38
1364	23
1365	27
1366	40
1367	26
1368	17
1369	22
1370	23
1371	29
1372	38
1373	26
1374	35
1375	33
1376	15
1377	25
1378	23
1379	25
1380	24
1381	38
1382	36
1383	40
1384	22
1385	34
1386	17
1387	23
1388	32
1389	19
1390	24
1391	40
1392	27
1393	30
1394	34
1395	35
1396	29
1397	29
1398	36
1399	40
1400	19
1401	28
1402	21
1403	33
1404	24
1405	31
1406	28
1407	36
1408	24
1409	25
1410	30
1411	24
1412	24
1413	18
1414	22
1415	23
1416	30
1417	29
1418	21
1419	45
1420	38
1421	36
1422	29
1423	19
1424	30
1425	25
1426	34
1427	26
1428	32
1429	20
1430	29
1431	31
1432	28
1433	27
1434	19
1435	41
1436	32
1437	31
1438	35
1439	35
1440	18
1441	32
1442	32
1443	25
1444	26
1445	21
1446	28
1447	38
1448	22
1449	33
1450	19
1451	34
1452	24
1453	24
1454	26
1455	19
1456	21
1457	26
1458	30
1459	36
1460	21
1461	26
1462	36
1463	32
1464	22
1465	26
1466	21
1467	33
1468	35
1469	26
1470	26
1471	30
1472	15
1473	35
1474	34
1475	22
1476	48
1477	18
1478	41
1479	24
1480	25
1481	32
1482	19
1483	33
1484	42
1485	26
1486	30
1487	27
1488	28
1489	30
1490	28
1491	30
1492	32
1493	20
1494	35
1495	18
1496	29
1497	33
1498	23
1499	22
1500	28
1501	21
1502	29
1503	38
1504	24
1505	17
1506	23
1507	31
1508	37
1509	24
1510	33
1511	30
1512	13
1513	31
1514	25
1515	24
1516	34
1517	23
1518	24
1519	25
1520	14
1521	24
1522	24
1523	29
1524	24
1525	29
1526	34
1527	24
1528	26
1529	29
1530	28
1531	27
1532	29
1533	24
1534	21
1535	53
1536	14
1537	19
1538	31
1539	29
1540	30
1541	23
1542	26
1543	26
1544	27
1545	23
1546	17
1547	17
1548	28
1549	16
1550	31
1551	27
1552	27
1553	26
1554	20
1555	36
1556	19
1557	28
1558	37
1559	33
1560	19
1561	34
1562	21
1563	25
1564	28
1565	36
1566	35
1567	28
1568	21
1569	32
1570	24
1571	34
1572	35
1573	19
1574	39
1575	35
1576	20
1577	31
1578	22
1579	29
1580	29
1581	33
1582	33
1583	29
1584	23
1585	32
1586	31
1587	40
1588	15
1589	25
1590	35
1591	33
1592	18
1593	42
1594	18
1595	29
1596	32
1597	22
1598	21
1599	28
1600	13
1601	29
1602	21
1603	22
1604	37
1605	21
1606	22
1607	28
1608	25
1609	20
1610	23
1611	22
1612	29
1613	35
1614	30
1615	31
1616	12
1617	31
1618	29
1619	38
1620	32
1621	21
1622	33
1623	16
1624	15
1625	29
1626	16
1627	25
1628	14
1629	24
1630	27
1631	29
1632	20
1633	25
1634	12
1635	32
1636	33
1637	21
1638	34
1639	21
1640	25
1641	30
1642	22
1643	27
1644	30
1645	31
1646	24
1647	29
1648	21
1649	33
1650	23
1651	34
1652	20
1653	23
1654	35
1655	21
1656	25
1657	34
1658	19
1659	33
1660	23
1661	30
1662	25
1663	40
1664	13
1665	26
1666	21
1667	23
1668	34
1669	24
1670	29
1671	16
1672	28
1673	32
1674	17
1675	27
1676	24
1677	22
1678	20
1679	32
1680	23
1681	18
1682	29
1683	34
1684	28
1685	17
1686	26
1687	22
1688	27
1689	22
1690	21
1691	35
1692	23
1693	23
1694	15
1695	35
1696	11
1697	18
1698	22
1699	20
1700	28
1701	18
1702	31
1703	29
1704	15
1705	26
1706	19
1707	19
1708	36
1709	29
1710	18
1711	18
1712	17
1713	23
1714	24
1715	25
1716	17
1717	19
1718	14
1719	21
1720	17
1721	20
1722	14
1723	19
1724	24
1725	25
1726	21
1727	17
1728	14
1729	18
1730	27
1731	18
1732	23
1733	20
1734	26
1735	15
1736	24
1737	24
1738	16
1739	19
1740	22
1741	21
1742	22
1743	28
1744	11
1745	15
1746	22
1747	28
1748	24
1749	24
1750	24
1751	21
1752	21
1753	25
1754	19
1755	19
1756	23
1757	17
1758	24
1759	28
1760	14
1761	20
1762	25
1763	23
1764	29
1765	20
1766	23
1767	21
1768	24
1769	27
1770	21
1771	24
1772	28
1773	22
1774	15
1775	17
1776	12
1777	25
1778	25
1779	16
1780	16
1781	19
1782	27
1783	20
1784	16
1785	24
1786	17
1787	31
1788	22
1789	28
1790	18
1791	29
1792	16
1793	20
1794	22
1795	26
1796	36
1797	20
1798	28
1799	18
1800	16
1801	23
1802	14
1803	38
1804	20
1805	22
1806	17
1807	22
1808	18
1809	22
1810	22
1811	22
1812	25
1813	17
1814	21
1815	13
1816	20
1817	23
1818	23
1819	28
1820	18
1821	20
1822	29
1823	14
1824	21
1825	17
1826	27
1827	20
1828	22
1829	20
1830	32
1831	16
1832	18
1833	21
1834	15
1835	29
1836	25
1837	15
1838	21
1839	19
1840	16
1841	16
1842	24
1843	23
1844	15
1845	20
1846	24
1847	22
1848	11
1849	24
1850	15
1851	28
1852	21
1853	26
1854	12
1855	25
1856	20
1857	28
1858	23
1859	14
1860	24
1861	16
1862	22
1863	12
1864	20
1865	21
1866	20
1867	20
1868	25
1869	29
1870	21
1871	21
1872	14
1873	26
1874	21
1875	30
1876	32
1877	13
1878	27
1879	21
1880	23
1881	25
1882	20
1883	28
1884	19
1885	23
1886	10
1887	26
1888	19
1889	25
1890	22
1891	22
1892	29
1893	17
1894	23
1895	15
1896	17
1897	26
1898	14
1899	21
1900	20
1901	22
1902	23
1903	19
1904	19
1905	22
1906	32
1907	28
1908	27
1909	20
1910	23
1911	15
1912	15
1913	23
1914	18
1915	25
1916	31
1917	20
1918	21
1919	33
1920	24
1921	24
1922	31
1923	26
1924	29
1925	21
1926	31
1927	24
1928	25
1929	34
1930	20
1931	28
1932	40
1933	37
1934	39
1935	18
1936	40
1937	32
1938	40
1939	38
1940	26
1941	31
1942	44
1943	37
1944	46
1945	55
1946	40
1947	50
1948	43
1949	60
1950	50
1951	69
1952	67
1953	59
1954	46
1955	54
1956	74
1957	52
1958	89
1959	58
1960	75
1961	76
1962	72
1963	81
1964	86
1965	85
1966	86
1967	67
1968	99
1969	71
1970	103
1971	99
1972	92
1973	94
1974	121
1975	109
1976	98
1977	121
1978	87
1979	123
1980	101
1981	104
1982	110
1983	103
1984	102
1985	119
1986	131
1987	108
1988	160
1989	100
1990	141
1991	86
1992	154
1993	139
1994	102
1995	137
1996	160
1997	115
1998	126
1999	105
2000	108
2001	107
2002	116
2003	145
2004	133
2005	88
2006	153
2007	75
2008	129
2009	123
2010	94
2011	120
2012	100
2013	78
2014	105
2015	84
2016	106
2017	71
2018	85
2019	71
2020	99
2021	64
2022	115
2023	68
2024	62
2025	78
2026	54
2027	60
2028	85
2029	59
2030	48
2031	50
2032	56
