Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	1
43	5
44	4
45	7
46	11
47	16
48	11
49	11
50	18
51	17
52	10
53	19
54	18
55	28
56	13
57	11
58	13
59	29
60	8
61	22
62	12
63	22
64	11
65	13
66	14
67	14
68	7
69	10
70	13
71	10
72	9
73	13
74	6
75	12
76	4
77	8
78	10
79	11
80	3
81	7
82	5
83	7
84	10
85	3
86	6
87	2
88	4
89	6
90	5
91	9
92	7
93	4
94	1
95	5
96	2
97	3
98	9
99	0
100	4
101	7
102	4
103	6
104	5
105	3
106	5
107	4
108	5
109	5
110	5
111	8
112	4
113	6
114	3
115	4
116	2
117	2
118	1
119	2
120	0
121	6
122	2
123	4
124	0
125	1
126	4
127	13
128	1
129	4
130	6
131	1
132	0
133	11
134	6
135	6
136	2
137	3
138	6
139	3
140	2
141	5
142	2
143	10
144	3
145	6
146	0
147	4
148	1
149	1
150	3
151	0
152	3
153	4
154	2
155	1
156	2
157	1
158	2
159	6
160	0
161	2
162	6
163	2
164	2
165	4
166	3
167	1
168	0
169	8
170	3
171	0
172	3
173	2
174	4
175	0
176	2
177	0
178	3
179	3
180	1
181	4
182	0
183	3
184	1
185	1
186	3
187	2
188	1
189	4
190	4
191	2
192	0
193	2
194	2
195	0
196	1
197	3
198	2
199	3
200	3
201	5
202	1
203	3
204	2
205	8
206	3
207	2
208	0
209	2
210	5
211	5
212	2
213	3
214	4
215	4
216	2
217	1
218	2
219	1
220	5
221	5
222	5
223	4
224	2
225	3
226	3
227	2
228	4
229	5
230	1
231	2
232	2
233	6
234	4
235	4
236	4
237	1
238	2
239	3
240	1
241	1
242	1
243	2
244	2
245	1
246	3
247	5
248	4
249	3
250	2
251	3
252	0
253	3
254	2
255	5
256	1
257	1
258	2
259	2
260	2
261	3
262	4
263	4
264	4
265	5
266	1
267	2
268	1
269	1
270	4
271	3
272	1
273	3
274	5
275	2
276	1
277	2
278	8
279	4
280	2
281	3
282	5
283	2
284	3
285	3
286	3
287	2
288	2
289	2
290	4
291	1
292	0
293	4
294	3
295	6
296	1
297	4
298	5
299	5
300	1
301	2
302	6
303	4
304	5
305	6
306	3
307	4
308	3
309	4
310	7
311	4
312	3
313	5
314	3
315	4
316	4
317	5
318	4
319	6
320	2
321	5
322	2
323	4
324	5
325	5
326	6
327	13
328	7
329	4
330	2
331	8
332	10
333	3
334	3
335	7
336	9
337	11
338	5
339	14
340	7
341	1
342	2
343	13
344	8
345	9
346	13
347	13
348	11
349	15
350	9
351	9
352	5
353	9
354	13
355	7
356	11
357	8
358	13
359	12
360	2
361	7
362	8
363	5
364	11
365	7
366	12
367	10
368	4
369	5
370	5
371	5
372	3
373	5
374	8
375	5
376	7
377	8
378	6
379	5
380	6
381	5
382	5
383	7
384	0
385	6
386	4
387	6
388	6
389	8
390	5
391	4
392	6
393	6
394	4
395	4
396	2
397	2
398	2
399	5
400	2
401	5
402	2
403	7
404	4
405	5
406	6
407	3
408	2
409	4
410	1
411	3
412	3
413	3
414	2
415	4
416	1
417	4
418	5
419	1
420	2
421	1
422	6
423	3
424	1
425	1
426	2
427	3
428	4
429	0
430	4
431	4
432	2
433	2
434	6
435	1
436	2
437	2
438	4
439	1
440	1
441	2
442	1
443	2
444	3
445	4
446	1
447	3
448	1
449	1
450	1
451	1
452	1
453	1
454	5
455	1
456	2
457	3
458	4
459	2
460	1
461	2
462	2
463	1
464	2
465	4
466	2
467	4
468	2
469	2
470	6
471	2
472	2
473	5
474	0
475	6
476	3
477	2
478	2
479	2
480	0
481	7
482	2
483	6
484	3
485	3
486	3
487	6
488	5
489	4
490	0
491	3
492	2
493	4
494	3
495	3
496	3
497	6
498	2
499	4
500	3
501	0
502	2
503	3
504	7
505	4
506	1
507	2
508	4
509	4
510	2
511	2
512	1
513	2
514	3
515	2
516	6
517	4
518	2
519	8
520	1
521	5
522	4
523	5
524	1
525	2
526	7
527	3
528	1
529	3
530	3
531	3
532	2
533	2
534	2
535	7
536	2
537	4
538	1
539	3
540	2
541	4
542	1
543	7
544	1
545	5
546	0
547	2
548	3
549	4
550	11
551	4
552	8
553	4
554	2
555	1
556	1
557	2
558	4
559	3
560	3
561	6
562	7
563	2
564	4
565	3
566	4
567	4
568	2
569	6
570	5
571	4
572	5
573	5
574	3
575	5
576	2
577	4
578	3
579	0
580	6
581	6
582	2
583	5
584	4
585	6
586	6
587	5
588	3
589	1
590	5
591	0
592	1
593	3
594	1
595	2
596	2
597	2
598	2
599	6
600	3
601	1
602	3
603	3
604	1
605	3
606	2
607	6
608	0
609	4
610	3
611	4
612	3
613	6
614	2
615	3
616	3
617	3
618	1
619	2
620	2
621	0
622	1
623	5
624	0
625	1
626	2
627	4
628	3
629	2
630	2
631	4
632	1
633	2
634	5
635	5
636	4
637	3
638	7
639	9
640	1
641	4
642	3
643	1
644	3
645	0
646	4
647	1
648	4
649	4
650	5
651	6
652	8
653	9
654	3
655	2
656	4
657	4
658	4
659	9
660	7
661	2
662	4
663	1
664	3
665	6
666	1
667	4
668	2
669	7
670	4
671	8
672	4
673	9
674	5
675	6
676	4
677	7
678	7
679	2
680	2
681	4
682	4
683	4
684	5
685	5
686	9
687	2
688	4
689	2
690	5
691	3
692	3
693	3
694	4
695	4
696	2
697	1
698	5
699	3
700	6
701	4
702	2
703	6
704	2
705	6
706	5
707	2
708	1
709	2
710	1
711	2
712	3
713	5
714	2
715	2
716	1
717	2
718	4
719	1
720	2
721	1
722	5
723	4
724	5
725	4
726	5
727	2
728	2
729	1
730	8
731	1
732	1
733	2
734	4
735	3
736	1
737	2
738	6
739	6
740	5
741	3
742	6
743	1
744	1
745	5
746	1
747	3
748	4
749	3
750	4
751	1
752	5
753	6
754	4
755	4
756	2
757	1
758	5
759	3
760	2
761	4
762	3
763	2
764	4
765	2
766	2
767	3
768	4
769	6
770	2
771	5
772	5
773	3
774	3
775	3
776	2
777	6
778	4
779	6
780	5
781	3
782	3
783	4
784	3
785	2
786	5
787	1
788	7
789	5
790	3
791	2
792	4
793	2
794	7
795	0
796	6
797	3
798	9
799	9
800	2
801	5
802	2
803	5
804	7
805	1
806	5
807	3
808	6
809	3
810	2
811	7
812	2
813	8
814	2
815	2
816	3
817	10
818	5
819	4
820	1
821	6
822	6
823	4
824	5
825	10
826	2
827	3
828	5
829	2
830	8
831	11
832	6
833	3
834	11
835	7
836	4
837	6
838	11
839	7
840	4
841	4
842	4
843	7
844	12
845	7
846	4
847	7
848	4
849	3
850	6
851	8
852	8
853	7
854	8
855	4
856	11
857	15
858	5
859	7
860	8
861	9
862	9
863	10
864	5
865	9
866	13
867	14
868	15
869	5
870	4
871	8
872	7
873	11
874	17
875	17
876	14
877	10
878	14
879	13
880	14
881	7
882	22
883	12
884	16
885	7
886	18
887	24
888	15
889	18
890	20
891	20
892	27
893	37
894	30
895	33
896	13
897	27
898	31
899	33
900	46
901	29
902	45
903	31
904	38
905	55
906	28
907	53
908	46
909	50
910	62
911	47
912	47
913	67
914	56
915	63
916	52
917	48
918	70
919	61
920	60
921	65
922	54
923	70
924	63
925	56
926	70
927	102
928	40
929	73
930	67
931	67
932	89
933	67
934	88
935	72
936	56
937	70
938	66
939	76
940	75
941	63
942	63
943	64
944	76
945	65
946	61
947	69
948	44
949	49
950	82
951	49
952	54
953	60
954	56
955	57
956	61
957	50
958	59
959	53
960	34
961	44
962	52
963	39
964	62
965	33
966	40
967	28
968	31
969	42
970	24
971	30
972	33
973	25
974	33
975	18
976	20
977	27
978	21
979	30
980	16
981	14
982	17
983	10
984	16
985	13
986	11
987	19
988	21
989	14
990	15
991	20
992	16
993	7
994	15
995	14
996	10
997	13
998	8
999	8
1000	10
1001	16
1002	8
1003	6
1004	10
1005	7
1006	10
1007	18
1008	7
1009	10
1010	13
1011	16
1012	13
1013	19
1014	15
1015	9
1016	12
1017	11
1018	7
1019	18
1020	13
1021	14
1022	13
1023	19
1024	4
1025	13
1026	20
1027	17
1028	17
1029	18
1030	15
1031	12
1032	12
1033	11
1034	11
1035	18
1036	29
1037	29
1038	15
1039	23
1040	16
1041	17
1042	17
1043	19
1044	16
1045	16
1046	20
1047	23
1048	19
1049	20
1050	12
1051	9
1052	15
1053	19
1054	14
1055	24
1056	13
1057	20
1058	21
1059	26
1060	16
1061	16
1062	17
1063	18
1064	10
1065	17
1066	9
1067	18
1068	18
1069	16
1070	14
1071	16
1072	11
1073	22
1074	10
1075	17
1076	11
1077	5
1078	10
1079	8
1080	6
1081	8
1082	15
1083	12
1084	8
1085	10
1086	10
1087	14
1088	4
1089	9
1090	11
1091	9
1092	10
1093	5
1094	14
1095	11
1096	7
1097	8
1098	8
1099	10
1100	18
1101	11
1102	11
1103	12
1104	3
1105	15
1106	7
1107	16
1108	10
1109	13
1110	15
1111	9
1112	12
1113	13
1114	18
1115	10
1116	22
1117	14
1118	12
1119	21
1120	13
1121	22
1122	14
1123	13
1124	28
1125	19
1126	34
1127	22
1128	18
1129	27
1130	19
1131	31
1132	27
1133	23
1134	22
1135	40
1136	18
1137	29
1138	37
1139	45
1140	37
1141	37
1142	39
1143	35
1144	23
1145	47
1146	38
1147	51
1148	39
1149	61
1150	41
1151	78
1152	25
1153	47
1154	50
1155	52
1156	62
1157	46
1158	58
1159	34
1160	46
1161	55
1162	47
1163	54
1164	69
1165	48
1166	62
1167	74
1168	29
1169	53
1170	46
1171	58
1172	49
1173	33
1174	54
1175	58
1176	34
1177	45
1178	42
1179	49
1180	44
1181	47
1182	40
1183	71
1184	22
1185	35
1186	37
1187	38
1188	42
1189	35
1190	30
1191	28
1192	16
1193	41
1194	19
1195	25
1196	16
1197	23
1198	20
1199	27
1200	20
1201	27
1202	21
1203	20
1204	17
1205	16
1206	17
1207	23
1208	9
1209	14
1210	13
1211	18
1212	15
1213	15
1214	9
1215	15
1216	9
1217	8
1218	11
1219	9
1220	11
1221	5
1222	5
1223	9
1224	6
1225	7
1226	9
1227	10
1228	3
1229	6
1230	6
1231	7
1232	6
1233	6
1234	3
1235	12
1236	3
1237	4
1238	7
1239	2
1240	13
1241	7
1242	5
1243	10
1244	10
1245	8
1246	5
1247	7
1248	3
1249	6
1250	6
1251	8
1252	3
1253	11
1254	10
1255	7
1256	6
1257	9
1258	12
1259	5
1260	9
1261	3
1262	6
1263	3
1264	6
1265	8
1266	7
1267	8
1268	3
1269	5
1270	8
1271	5
1272	8
1273	7
1274	4
1275	7
1276	5
1277	7
1278	3
1279	10
1280	4
1281	4
1282	6
1283	9
1284	3
1285	10
1286	3
1287	11
1288	9
1289	7
1290	7
1291	7
1292	7
1293	9
1294	4
1295	11
1296	4
1297	6
1298	4
1299	10
1300	5
1301	1
1302	8
1303	7
1304	4
1305	7
1306	7
1307	7
1308	6
1309	6
1310	9
1311	5
1312	1
1313	8
1314	4
1315	6
1316	18
1317	7
1318	7
1319	8
1320	0
1321	5
1322	4
1323	15
1324	10
1325	3
1326	10
1327	4
1328	6
1329	9
1330	10
1331	7
1332	6
1333	11
1334	7
1335	10
1336	3
1337	7
1338	6
1339	6
1340	6
1341	8
1342	5
1343	15
1344	1
1345	7
1346	11
1347	9
1348	8
1349	7
1350	13
1351	17
1352	13
1353	8
1354	12
1355	11
1356	14
1357	18
1358	15
1359	25
1360	8
1361	14
1362	17
1363	24
1364	21
1365	12
1366	19
1367	17
1368	19
1369	21
1370	21
1371	26
1372	22
1373	19
1374	29
1375	33
1376	18
1377	30
1378	34
1379	40
1380	36
1381	33
1382	43
1383	42
1384	22
1385	37
1386	30
1387	44
1388	45
1389	35
1390	32
1391	48
1392	29
1393	36
1394	44
1395	55
1396	52
1397	59
1398	62
1399	49
1400	45
1401	63
1402	44
1403	67
1404	50
1405	62
1406	51
1407	82
1408	23
1409	54
1410	47
1411	62
1412	53
1413	45
1414	51
1415	47
1416	59
1417	65
1418	48
1419	41
1420	59
1421	45
1422	38
1423	60
1424	55
1425	57
1426	44
1427	64
1428	61
1429	46
1430	55
1431	42
1432	40
1433	56
1434	31
1435	50
1436	28
1437	39
1438	34
1439	61
1440	27
1441	40
1442	34
1443	40
1444	25
1445	29
1446	35
1447	27
1448	26
1449	36
1450	33
1451	21
1452	31
1453	20
1454	22
1455	21
1456	28
1457	22
1458	20
1459	22
1460	14
1461	8
1462	13
1463	17
1464	8
1465	13
1466	14
1467	11
1468	14
1469	15
1470	12
1471	9
1472	9
1473	5
1474	14
1475	12
1476	10
1477	9
1478	11
1479	7
1480	9
1481	12
1482	10
1483	5
1484	6
1485	13
1486	12
1487	7
1488	8
1489	5
1490	7
1491	8
1492	3
1493	6
1494	6
1495	2
1496	4
1497	12
1498	3
1499	6
1500	6
1501	7
1502	10
1503	7
1504	4
1505	6
1506	9
1507	4
1508	4
1509	3
1510	3
1511	5
1512	7
1513	4
1514	3
1515	5
1516	6
1517	2
1518	6
1519	6
1520	2
1521	3
1522	2
1523	5
1524	9
1525	3
1526	7
1527	4
1528	5
1529	4
1530	10
1531	7
1532	3
1533	6
1534	8
1535	9
1536	3
1537	6
1538	4
1539	8
1540	4
1541	5
1542	4
1543	6
1544	3
1545	9
1546	5
1547	7
1548	3
1549	6
1550	2
1551	5
1552	5
1553	2
1554	9
1555	4
1556	5
1557	9
1558	10
1559	8
1560	6
1561	3
1562	2
1563	7
1564	2
1565	8
1566	9
1567	8
1568	4
1569	7
1570	7
1571	6
1572	7
1573	5
1574	7
1575	7
1576	3
1577	8
1578	6
1579	7
1580	4
1581	8
1582	4
1583	7
1584	11
1585	5
1586	11
1587	4
1588	8
1589	5
1590	5
1591	5
1592	6
1593	4
1594	2
1595	6
1596	6
1597	8
1598	8
1599	11
1600	4
1601	6
1602	4
1603	10
1604	10
1605	7
1606	8
1607	5
1608	2
1609	9
1610	8
1611	7
1612	8
1613	4
1614	7
1615	7
1616	4
1617	9
1618	6
1619	8
1620	2
1621	10
1622	14
1623	5
1624	6
1625	10
1626	7
1627	15
1628	10
1629	9
1630	8
1631	7
1632	8
1633	13
1634	10
1635	8
1636	10
1637	4
1638	12
1639	10
1640	7
1641	18
1642	8
1643	3
1644	13
1645	11
1646	9
1647	10
1648	10
1649	18
1650	8
1651	9
1652	13
1653	5
1654	3
1655	6
1656	11
1657	8
1658	10
1659	21
1660	6
1661	17
1662	18
1663	23
1664	4
1665	10
1666	11
1667	12
1668	11
1669	12
1670	12
1671	10
1672	15
1673	15
1674	11
1675	16
1676	11
1677	20
1678	8
1679	7
1680	13
1681	12
1682	5
1683	12
1684	9
1685	10
1686	17
1687	6
1688	14
1689	13
1690	10
1691	9
1692	6
1693	12
1694	13
1695	13
1696	6
1697	11
1698	9
1699	10
1700	15
1701	8
1702	7
1703	9
1704	6
1705	8
1706	3
1707	14
1708	8
1709	9
1710	10
1711	10
1712	10
1713	8
1714	7
1715	10
1716	7
1717	5
1718	7
1719	10
1720	8
1721	8
1722	5
1723	9
1724	10
1725	13
1726	8
1727	10
1728	3
1729	10
1730	8
1731	4
1732	10
1733	10
1734	17
1735	10
1736	10
1737	8
1738	5
1739	6
1740	9
1741	5
1742	4
1743	9
1744	8
1745	8
1746	7
1747	15
1748	9
1749	5
1750	6
1751	6
1752	6
1753	7
1754	7
1755	9
1756	9
1757	7
1758	7
1759	5
1760	1
1761	5
1762	2
1763	3
1764	3
1765	3
1766	1
1767	6
1768	1
1769	8
1770	2
1771	9
1772	4
1773	6
1774	9
1775	5
1776	7
1777	5
1778	6
1779	8
1780	7
1781	5
1782	11
1783	6
1784	6
1785	13
1786	6
1787	9
1788	5
1789	10
1790	12
1791	12
1792	3
1793	5
1794	10
1795	6
1796	7
1797	6
1798	9
1799	10
1800	9
1801	8
1802	6
1803	5
1804	7
1805	7
1806	5
1807	7
1808	6
1809	3
1810	8
1811	7
1812	6
1813	3
1814	6
1815	7
1816	1
1817	6
1818	6
1819	5
1820	2
1821	8
1822	4
1823	6
1824	8
1825	8
1826	8
1827	5
1828	10
1829	3
1830	9
1831	14
1832	10
1833	11
1834	6
1835	3
1836	10
1837	7
1838	7
1839	3
1840	6
1841	10
1842	0
1843	12
1844	7
1845	9
1846	8
1847	8
1848	3
1849	13
1850	4
1851	6
1852	1
1853	3
1854	10
1855	8
1856	3
1857	8
1858	13
1859	6
1860	12
1861	5
1862	11
1863	8
1864	11
1865	9
1866	5
1867	8
1868	7
1869	7
1870	6
1871	14
1872	9
1873	11
1874	14
1875	10
1876	10
1877	10
1878	16
1879	8
1880	12
1881	21
1882	5
1883	11
1884	14
1885	9
1886	8
1887	11
1888	17
1889	9
1890	12
1891	16
1892	25
1893	9
1894	18
1895	11
1896	18
1897	15
1898	11
1899	18
1900	17
1901	21
1902	16
1903	16
1904	15
1905	20
1906	25
1907	27
1908	18
1909	21
1910	25
1911	16
1912	22
1913	22
1914	17
1915	21
1916	19
1917	18
1918	29
1919	19
1920	21
1921	20
1922	26
1923	19
1924	29
1925	21
1926	18
1927	12
1928	17
1929	28
1930	18
1931	25
1932	25
1933	19
1934	28
1935	16
1936	18
1937	20
1938	16
1939	24
1940	23
1941	26
1942	30
1943	22
1944	32
1945	21
1946	16
1947	30
1948	17
1949	16
1950	16
1951	31
1952	23
1953	21
1954	19
1955	22
1956	15
1957	15
1958	27
1959	22
1960	20
1961	19
1962	15
1963	25
1964	21
1965	28
1966	28
1967	14
1968	21
1969	9
1970	30
1971	20
1972	32
1973	23
1974	27
1975	15
1976	22
1977	18
1978	19
1979	19
1980	19
1981	22
1982	16
1983	17
1984	21
1985	24
1986	23
1987	24
1988	23
1989	14
1990	17
1991	8
1992	21
1993	29
1994	22
1995	17
1996	17
1997	15
1998	25
1999	11
2000	18
2001	20
2002	20
2003	19
2004	13
2005	15
2006	20
2007	11
2008	19
2009	25
2010	7
2011	16
2012	9
2013	17
2014	8
2015	15
2016	14
2017	11
2018	13
2019	13
2020	13
2021	6
2022	15
2023	10
2024	4
2025	16
2026	10
2027	5
2028	16
2029	8
2030	9
2031	12
2032	5
