Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	1
46	3
47	6
48	5
49	7
50	10
51	15
52	17
53	11
54	10
55	18
56	13
57	16
58	17
59	15
60	13
61	13
62	19
63	30
64	4
65	13
66	15
67	14
68	19
69	17
70	18
71	17
72	11
73	16
74	15
75	19
76	11
77	16
78	18
79	29
80	8
81	11
82	18
83	19
84	16
85	16
86	19
87	22
88	13
89	36
90	12
91	17
92	12
93	9
94	16
95	28
96	8
97	8
98	18
99	12
100	16
101	11
102	9
103	21
104	10
105	16
106	5
107	14
108	8
109	14
110	16
111	20
112	9
113	15
114	11
115	19
116	16
117	12
118	19
119	18
120	9
121	9
122	11
123	24
124	20
125	12
126	16
127	18
128	4
129	16
130	9
131	17
132	11
133	11
134	10
135	12
136	8
137	14
138	13
139	8
140	16
141	13
142	9
143	13
144	1
145	18
146	12
147	16
148	9
149	13
150	9
151	18
152	10
153	12
154	11
155	17
156	11
157	8
158	13
159	21
160	9
161	11
162	13
163	12
164	11
165	14
166	7
167	12
168	6
169	14
170	12
171	7
172	13
173	5
174	10
175	10
176	7
177	16
178	14
179	8
180	14
181	9
182	11
183	16
184	7
185	10
186	9
187	7
188	5
189	11
190	12
191	10
192	6
193	13
194	10
195	13
196	8
197	15
198	11
199	12
200	4
201	17
202	10
203	5
204	4
205	11
206	10
207	15
208	10
209	17
210	10
211	8
212	8
213	3
214	10
215	10
216	7
217	18
218	11
219	12
220	6
221	15
222	7
223	11
224	8
225	4
226	8
227	6
228	10
229	8
230	13
231	10
232	8
233	7
234	9
235	9
236	8
237	11
238	3
239	8
240	8
241	8
242	8
243	8
244	10
245	8
246	9
247	17
248	7
249	12
250	10
251	12
252	6
253	11
254	11
255	16
256	2
257	13
258	5
259	6
260	8
261	6
262	17
263	9
264	7
265	5
266	8
267	8
268	8
269	6
270	8
271	14
272	6
273	8
274	7
275	9
276	9
277	7
278	8
279	11
280	9
281	7
282	11
283	9
284	5
285	5
286	5
287	14
288	3
289	5
290	4
291	10
292	5
293	6
294	9
295	12
296	5
297	7
298	3
299	13
300	12
301	8
302	8
303	9
304	10
305	9
306	2
307	8
308	6
309	11
310	9
311	14
312	1
313	7
314	4
315	10
316	7
317	9
318	6
319	11
320	4
321	4
322	11
323	9
324	8
325	5
326	10
327	5
328	7
329	7
330	8
331	7
332	7
333	7
334	6
335	7
336	2
337	8
338	5
339	11
340	19
341	6
342	5
343	4
344	2
345	12
346	3
347	4
348	4
349	10
350	6
351	7
352	6
353	8
354	8
355	5
356	5
357	7
358	6
359	7
360	2
361	13
362	8
363	5
364	4
365	11
366	8
367	9
368	5
369	6
370	6
371	7
372	11
373	7
374	10
375	6
376	8
377	5
378	10
379	8
380	5
381	6
382	4
383	5
384	6
385	13
386	4
387	11
388	6
389	7
390	4
391	7
392	9
393	8
394	4
395	5
396	4
397	5
398	4
399	4
400	9
401	9
402	10
403	8
404	5
405	4
406	10
407	7
408	6
409	5
410	1
411	6
412	8
413	8
414	6
415	8
416	1
417	5
418	4
419	8
420	12
421	3
422	8
423	8
424	2
425	5
426	4
427	4
428	14
429	4
430	11
431	7
432	8
433	5
434	6
435	7
436	5
437	5
438	8
439	6
440	9
441	3
442	3
443	6
444	5
445	3
446	0
447	10
448	1
449	7
450	2
451	3
452	9
453	6
454	9
455	4
456	5
457	7
458	5
459	4
460	7
461	5
462	5
463	5
464	6
465	8
466	4
467	4
468	8
469	3
470	8
471	11
472	4
473	7
474	3
475	8
476	5
477	5
478	7
479	9
480	5
481	8
482	4
483	2
484	4
485	5
486	4
487	10
488	3
489	7
490	6
491	7
492	9
493	7
494	7
495	5
496	2
497	3
498	4
499	5
500	3
501	6
502	8
503	9
504	2
505	2
506	5
507	4
508	1
509	4
510	8
511	16
512	0
513	4
514	3
515	4
516	7
517	10
518	8
519	6
520	4
521	4
522	2
523	7
524	3
525	3
526	5
527	10
528	1
529	8
530	3
531	6
532	4
533	6
534	9
535	4
536	3
537	6
538	5
539	9
540	3
541	12
542	5
543	19
544	6
545	5
546	6
547	3
548	2
549	6
550	8
551	11
552	3
553	10
554	6
555	5
556	2
557	8
558	7
559	8
560	3
561	8
562	10
563	7
564	4
565	7
566	6
567	7
568	2
569	8
570	7
571	10
572	4
573	5
574	6
575	5
576	3
577	1
578	4
579	3
580	7
581	3
582	6
583	6
584	9
585	4
586	2
587	3
588	9
589	4
590	7
591	10
592	6
593	9
594	4
595	6
596	5
597	2
598	6
599	8
600	2
601	4
602	6
603	6
604	3
605	8
606	4
607	12
608	2
609	4
610	1
611	10
612	9
613	6
614	4
615	3
616	1
617	7
618	5
619	4
620	2
621	3
622	2
623	5
624	2
625	6
626	2
627	7
628	4
629	6
630	4
631	4
632	2
633	3
634	1
635	0
636	2
637	6
638	5
639	11
640	4
641	3
642	8
643	8
644	3
645	7
646	9
647	11
648	1
649	5
650	4
651	3
652	7
653	3
654	3
655	6
656	6
657	3
658	7
659	2
660	4
661	2
662	7
663	3
664	5
665	7
666	1
667	4
668	6
669	6
670	6
671	7
672	1
673	5
674	7
675	8
676	6
677	4
678	5
679	3
680	8
681	9
682	5
683	11
684	8
685	4
686	7
687	8
688	7
689	6
690	6
691	4
692	6
693	3
694	8
695	9
696	5
697	10
698	4
699	9
700	7
701	8
702	7
703	8
704	1
705	7
706	5
707	7
708	6
709	6
710	3
711	9
712	7
713	10
714	6
715	6
716	5
717	6
718	5
719	8
720	3
721	7
722	12
723	11
724	7
725	10
726	2
727	8
728	9
729	5
730	4
731	7
732	3
733	5
734	5
735	8
736	3
737	9
738	7
739	3
740	7
741	4
742	5
743	4
744	4
745	6
746	3
747	5
748	5
749	4
750	9
751	7
752	4
753	6
754	5
755	6
756	3
757	9
758	2
759	3
760	9
761	10
762	6
763	3
764	12
765	4
766	7
767	14
768	5
769	3
770	11
771	5
772	7
773	6
774	4
775	4
776	2
777	4
778	5
779	8
780	7
781	6
782	8
783	6
784	6
785	5
786	9
787	6
788	3
789	6
790	11
791	7
792	3
793	12
794	7
795	8
796	4
797	8
798	12
799	6
800	3
801	9
802	10
803	5
804	6
805	6
806	7
807	5
808	6
809	7
810	10
811	5
812	4
813	3
814	5
815	6
816	8
817	8
818	9
819	7
820	7
821	8
822	9
823	6
824	6
825	12
826	11
827	12
828	6
829	8
830	9
831	15
832	2
833	8
834	6
835	6
836	7
837	13
838	4
839	17
840	10
841	10
842	9
843	8
844	11
845	5
846	9
847	7
848	7
849	8
850	12
851	14
852	6
853	14
854	10
855	7
856	9
857	13
858	8
859	17
860	10
861	16
862	16
863	14
864	8
865	7
866	14
867	6
868	14
869	8
870	8
871	8
872	7
873	17
874	10
875	2
876	14
877	9
878	7
879	9
880	6
881	11
882	15
883	11
884	11
885	11
886	8
887	1
888	12
889	11
890	10
891	12
892	8
893	13
894	11
895	12
896	6
897	7
898	6
899	13
900	12
901	5
902	11
903	20
904	11
905	10
906	7
907	6
908	13
909	15
910	6
911	10
912	9
913	10
914	5
915	11
916	6
917	11
918	13
919	6
920	16
921	7
922	12
923	9
924	8
925	14
926	6
927	16
928	4
929	7
930	11
931	13
932	8
933	7
934	14
935	10
936	9
937	11
938	9
939	6
940	16
941	12
942	14
943	5
944	13
945	11
946	11
947	12
948	10
949	16
950	11
951	12
952	7
953	11
954	19
955	13
956	3
957	14
958	15
959	14
960	10
961	12
962	14
963	8
964	14
965	8
966	17
967	10
968	15
969	18
970	13
971	6
972	11
973	12
974	13
975	9
976	10
977	12
978	14
979	11
980	5
981	9
982	15
983	14
984	9
985	12
986	9
987	13
988	9
989	9
990	11
991	17
992	5
993	14
994	21
995	10
996	14
997	3
998	16
999	9
1000	10
1001	19
1002	13
1003	11
1004	15
1005	15
1006	8
1007	12
1008	11
1009	13
1010	9
1011	16
1012	20
1013	16
1014	13
1015	16
1016	12
1017	14
1018	10
1019	14
1020	8
1021	12
1022	12
1023	22
1024	4
1025	10
1026	7
1027	15
1028	13
1029	4
1030	15
1031	17
1032	7
1033	24
1034	7
1035	21
1036	18
1037	14
1038	12
1039	21
1040	12
1041	11
1042	8
1043	17
1044	7
1045	9
1046	14
1047	14
1048	9
1049	21
1050	10
1051	22
1052	13
1053	16
1054	12
1055	20
1056	4
1057	17
1058	10
1059	13
1060	21
1061	16
1062	17
1063	16
1064	11
1065	13
1066	17
1067	12
1068	14
1069	6
1070	11
1071	20
1072	8
1073	21
1074	12
1075	14
1076	17
1077	16
1078	15
1079	17
1080	9
1081	13
1082	12
1083	20
1084	9
1085	17
1086	9
1087	25
1088	5
1089	18
1090	19
1091	12
1092	9
1093	12
1094	17
1095	13
1096	8
1097	18
1098	10
1099	10
1100	19
1101	16
1102	7
1103	17
1104	7
1105	17
1106	11
1107	16
1108	13
1109	12
1110	18
1111	15
1112	13
1113	25
1114	10
1115	16
1116	8
1117	13
1118	15
1119	21
1120	6
1121	12
1122	14
1123	15
1124	17
1125	19
1126	18
1127	12
1128	7
1129	25
1130	5
1131	16
1132	15
1133	14
1134	9
1135	16
1136	12
1137	13
1138	13
1139	18
1140	12
1141	7
1142	11
1143	15
1144	11
1145	18
1146	11
1147	11
1148	11
1149	14
1150	19
1151	25
1152	5
1153	22
1154	21
1155	11
1156	15
1157	10
1158	18
1159	16
1160	8
1161	16
1162	11
1163	22
1164	18
1165	12
1166	15
1167	15
1168	5
1169	17
1170	12
1171	20
1172	9
1173	15
1174	17
1175	11
1176	5
1177	21
1178	15
1179	17
1180	17
1181	13
1182	9
1183	29
1184	4
1185	13
1186	16
1187	15
1188	24
1189	8
1190	23
1191	11
1192	11
1193	19
1194	15
1195	16
1196	12
1197	15
1198	17
1199	12
1200	19
1201	16
1202	16
1203	11
1204	14
1205	11
1206	20
1207	18
1208	14
1209	12
1210	6
1211	19
1212	16
1213	11
1214	20
1215	22
1216	11
1217	20
1218	21
1219	20
1220	19
1221	23
1222	10
1223	17
1224	18
1225	20
1226	13
1227	14
1228	25
1229	14
1230	20
1231	21
1232	13
1233	19
1234	16
1235	22
1236	13
1237	17
1238	21
1239	18
1240	23
1241	24
1242	19
1243	26
1244	16
1245	20
1246	21
1247	21
1248	17
1249	21
1250	15
1251	28
1252	13
1253	14
1254	20
1255	32
1256	13
1257	26
1258	24
1259	21
1260	25
1261	19
1262	27
1263	28
1264	16
1265	16
1266	18
1267	31
1268	26
1269	24
1270	33
1271	28
1272	13
1273	26
1274	24
1275	26
1276	16
1277	32
1278	13
1279	21
1280	2
1281	15
1282	17
1283	27
1284	23
1285	18
1286	26
1287	23
1288	18
1289	20
1290	28
1291	22
1292	17
1293	19
1294	31
1295	27
1296	16
1297	26
1298	25
1299	28
1300	22
1301	20
1302	19
1303	20
1304	24
1305	25
1306	13
1307	38
1308	22
1309	21
1310	17
1311	22
1312	13
1313	17
1314	22
1315	17
1316	36
1317	16
1318	22
1319	22
1320	17
1321	29
1322	23
1323	22
1324	16
1325	20
1326	31
1327	29
1328	16
1329	29
1330	18
1331	26
1332	19
1333	23
1334	29
1335	19
1336	19
1337	23
1338	15
1339	22
1340	18
1341	18
1342	18
1343	32
1344	9
1345	19
1346	11
1347	22
1348	19
1349	21
1350	22
1351	19
1352	22
1353	28
1354	19
1355	20
1356	23
1357	20
1358	24
1359	31
1360	16
1361	28
1362	28
1363	20
1364	16
1365	23
1366	22
1367	23
1368	20
1369	24
1370	18
1371	17
1372	26
1373	27
1374	40
1375	34
1376	15
1377	23
1378	34
1379	27
1380	27
1381	19
1382	30
1383	32
1384	26
1385	30
1386	17
1387	24
1388	35
1389	27
1390	25
1391	26
1392	15
1393	16
1394	28
1395	30
1396	36
1397	20
1398	32
1399	31
1400	19
1401	23
1402	30
1403	27
1404	27
1405	18
1406	25
1407	31
1408	11
1409	23
1410	23
1411	20
1412	27
1413	21
1414	33
1415	24
1416	21
1417	28
1418	16
1419	25
1420	38
1421	21
1422	22
1423	34
1424	24
1425	30
1426	24
1427	39
1428	31
1429	14
1430	31
1431	18
1432	27
1433	23
1434	16
1435	22
1436	24
1437	26
1438	33
1439	31
1440	17
1441	23
1442	23
1443	30
1444	16
1445	21
1446	36
1447	19
1448	21
1449	25
1450	20
1451	20
1452	27
1453	22
1454	20
1455	23
1456	21
1457	20
1458	31
1459	24
1460	27
1461	18
1462	31
1463	29
1464	17
1465	26
1466	26
1467	38
1468	23
1469	23
1470	33
1471	32
1472	22
1473	23
1474	25
1475	28
1476	36
1477	17
1478	19
1479	33
1480	18
1481	21
1482	16
1483	25
1484	28
1485	25
1486	35
1487	23
1488	21
1489	14
1490	37
1491	34
1492	22
1493	22
1494	39
1495	24
1496	29
1497	25
1498	15
1499	27
1500	25
1501	26
1502	29
1503	30
1504	16
1505	27
1506	23
1507	24
1508	40
1509	26
1510	29
1511	33
1512	27
1513	27
1514	23
1515	24
1516	28
1517	24
1518	24
1519	29
1520	27
1521	27
1522	33
1523	32
1524	38
1525	21
1526	32
1527	22
1528	24
1529	36
1530	29
1531	36
1532	28
1533	18
1534	28
1535	34
1536	22
1537	26
1538	26
1539	17
1540	37
1541	22
1542	19
1543	28
1544	20
1545	38
1546	16
1547	22
1548	31
1549	22
1550	29
1551	29
1552	28
1553	33
1554	21
1555	35
1556	31
1557	27
1558	31
1559	33
1560	20
1561	28
1562	16
1563	36
1564	29
1565	27
1566	24
1567	43
1568	11
1569	23
1570	23
1571	30
1572	35
1573	22
1574	36
1575	27
1576	31
1577	35
1578	17
1579	25
1580	28
1581	31
1582	20
1583	27
1584	26
1585	34
1586	32
1587	38
1588	25
1589	13
1590	42
1591	35
1592	25
1593	31
1594	23
1595	39
1596	25
1597	27
1598	26
1599	26
1600	13
1601	30
1602	24
1603	31
1604	38
1605	23
1606	26
1607	30
1608	25
1609	31
1610	35
1611	26
1612	21
1613	21
1614	24
1615	34
1616	19
1617	31
1618	29
1619	33
1620	31
1621	19
1622	35
1623	27
1624	20
1625	32
1626	20
1627	41
1628	33
1629	30
1630	26
1631	35
1632	19
1633	31
1634	36
1635	24
1636	26
1637	28
1638	33
1639	31
1640	21
1641	29
1642	30
1643	26
1644	36
1645	29
1646	37
1647	29
1648	20
1649	29
1650	28
1651	33
1652	23
1653	28
1654	32
1655	29
1656	21
1657	26
1658	23
1659	32
1660	23
1661	33
1662	29
1663	46
1664	9
1665	32
1666	42
1667	28
1668	35
1669	23
1670	31
1671	28
1672	27
1673	35
1674	22
1675	34
1676	31
1677	30
1678	18
1679	31
1680	27
1681	25
1682	34
1683	35
1684	31
1685	20
1686	39
1687	21
1688	14
1689	42
1690	23
1691	47
1692	33
1693	28
1694	34
1695	42
1696	18
1697	26
1698	30
1699	20
1700	29
1701	29
1702	28
1703	41
1704	29
1705	30
1706	17
1707	29
1708	19
1709	33
1710	31
1711	28
1712	32
1713	36
1714	41
1715	45
1716	25
1717	23
1718	39
1719	44
1720	23
1721	30
1722	35
1723	32
1724	20
1725	33
1726	33
1727	33
1728	32
1729	36
1730	22
1731	31
1732	36
1733	25
1734	46
1735	32
1736	29
1737	37
1738	22
1739	21
1740	38
1741	28
1742	32
1743	33
1744	22
1745	34
1746	35
1747	41
1748	37
1749	29
1750	37
1751	23
1752	36
1753	37
1754	24
1755	36
1756	40
1757	34
1758	21
1759	38
1760	33
1761	26
1762	27
1763	44
1764	39
1765	30
1766	44
1767	32
1768	35
1769	43
1770	28
1771	25
1772	36
1773	28
1774	38
1775	31
1776	30
1777	35
1778	36
1779	34
1780	29
1781	24
1782	45
1783	23
1784	31
1785	39
1786	15
1787	33
1788	26
1789	24
1790	26
1791	40
1792	17
1793	36
1794	30
1795	37
1796	37
1797	21
1798	34
1799	40
1800	38
1801	27
1802	27
1803	33
1804	41
1805	31
1806	35
1807	28
1808	29
1809	31
1810	34
1811	39
1812	29
1813	26
1814	40
1815	28
1816	34
1817	45
1818	24
1819	45
1820	33
1821	38
1822	38
1823	39
1824	32
1825	33
1826	41
1827	36
1828	32
1829	32
1830	37
1831	29
1832	31
1833	43
1834	44
1835	44
1836	32
1837	35
1838	44
1839	37
1840	23
1841	31
1842	34
1843	49
1844	40
1845	26
1846	44
1847	27
1848	34
1849	37
1850	29
1851	40
1852	33
1853	38
1854	49
1855	35
1856	34
1857	34
1858	42
1859	34
1860	41
1861	30
1862	54
1863	37
1864	43
1865	38
1866	33
1867	40
1868	38
1869	38
1870	34
1871	40
1872	35
1873	34
1874	44
1875	39
1876	30
1877	42
1878	37
1879	24
1880	31
1881	38
1882	41
1883	36
1884	39
1885	38
1886	45
1887	38
1888	35
1889	39
1890	48
1891	50
1892	43
1893	35
1894	53
1895	34
1896	37
1897	42
1898	37
1899	57
1900	56
1901	48
1902	38
1903	35
1904	24
1905	40
1906	54
1907	54
1908	57
1909	33
1910	53
1911	45
1912	59
1913	61
1914	47
1915	63
1916	46
1917	45
1918	49
1919	61
1920	53
1921	62
1922	57
1923	62
1924	77
1925	52
1926	75
1927	62
1928	94
1929	85
1930	59
1931	76
1932	96
1933	81
1934	89
1935	84
1936	92
1937	83
1938	89
1939	117
1940	115
1941	76
1942	133
1943	86
1944	98
1945	149
1946	95
1947	155
1948	128
1949	125
1950	123
1951	134
1952	120
1953	132
1954	160
1955	132
1956	179
1957	120
1958	194
1959	156
1960	149
1961	202
1962	138
1963	175
1964	216
1965	173
1966	189
1967	158
1968	214
1969	183
1970	240
1971	224
1972	234
1973	196
1974	279
1975	198
1976	201
1977	235
1978	235
1979	216
1980	234
1981	218
1982	247
1983	196
1984	240
1985	207
1986	211
1987	174
1988	278
1989	183
1990	275
1991	166
1992	233
1993	248
1994	174
1995	216
1996	260
1997	202
1998	189
1999	160
2000	195
2001	186
2002	203
2003	190
2004	186
2005	124
2006	240
2007	144
2008	178
2009	186
2010	143
2011	175
2012	147
2013	140
2014	165
2015	134
2016	154
2017	110
2018	152
2019	117
2020	161
2021	94
2022	134
2023	96
2024	85
2025	112
2026	78
2027	92
2028	109
2029	94
2030	88
2031	83
2032	65
